Wear of a journal bearing versus temperature.  Data from Example 13.3,
p. 385 in C. Lipson, and N.J. Sheth, "Statistical Design and Analysis of
Engineering Experiments", 1973, McGraw-Hill.

T(C)   wear(mg/100hr)
200     3
250     4
300     5
400     5.5
450     6
500     7.5
600    10
650    11.1
700    12
