Viscosity in centiStokes of Krytox GPL100 oil.  Data courtesy of
Gregory Bell at Dupont.  Krytox(TM) is a synthetic oil that	is
nonflammable and resistant to aggressive chemicals.  Krytox(TM) is
a registered trademark of E. I. du Pont de Nemours and Company
	
T(C)  mu(centiStoke)
-40	275.2
-30	107.1
-20	49.28
-10	26.8
0	16
10	10.3
20	7.1
30	5.5
40	3.8
50	3
60	2.3
70	1.9
80	1.6
90	1.3
