   T       k
   (C)     (W/cm*K)
   16.62    15.3
   17.85   15.37
   19.25   16.31
      21   17.06
   23.09   16.55
   25.38   18.98
   27.76   16.61
   30.46   15.83
    33.1   14.66
   36.22   13.34
   39.38   12.16
   48.86   8.891
