Virulence,Replicate,ShannonDiversity
0.5,1,0.0592619
0.5,2,1.0936
0.5,3,1.13939
0.5,4,0.547651
0.5,5,0.0659277
0.5,6,1.34433
0.5,7,1.68048
0.5,8,0
0.5,9,2.04768
0.5,10,0
0.5,11,1.50714
0.5,12,0
0.5,13,1.58981
0.5,14,1.1448
0.5,15,1.01119
0.5,16,0
0.5,17,0.776665
0.5,18,0.00174899
0.5,19,1.7612
0.5,20,0.0210908
0.5,21,0.790915
0.5,22,0
0.5,23,0.0188665
0.5,24,0.994268
0.5,25,1.72962
0.5,26,0.967537
0.5,27,0.457318
0.5,28,0.992525
0.5,29,1.50664
0.5,30,0.697241
0.5,31,1.79058
0.5,32,1.78771
0.5,33,0.857742
0.5,34,0
0.5,35,0.445267
0.5,36,0.0454712
0.5,37,0.00348978
0.5,38,0
0.5,39,0.11583
0.5,40,0.980076
0.5,41,0
0.5,42,0.820405
0.5,43,0.124755
0.5,44,0.719755
0.5,45,0.584252
0.5,46,1.93793
0.5,47,1.28415
0.5,48,1.65168
0.5,49,0
0.5,50,0
0.6,1,0
0.6,2,1.02233
0.6,3,0
0.6,4,0
0.6,5,1.83399
0.6,6,1.0117
0.6,7,0
0.6,8,0.568674
0.6,9,1.27023
0.6,10,0.655764
0.6,11,0
0.6,12,1.8984
0.6,13,1.49551
0.6,14,0.052372
0.6,15,0.321375
0.6,16,1.97185
0.6,17,0
0.6,18,1.90202
0.6,19,0.999456
0.6,20,1.035
0.6,21,0.345177
0.6,22,0
0.6,23,0
0.6,24,0.296054
0.6,25,1.07258
0.6,26,0.00596288
0.6,27,0.271429
0.6,28,1.85963
0.6,29,0
0.6,30,1.09448
0.6,31,0.68715
0.6,32,0.00580162
0.6,33,1.15516
0.6,34,1.78104
0.6,35,0.757638
0.6,36,0
0.6,37,0.348283
0.6,38,0.288455
0.6,39,0.269136
0.6,40,2.01066
0.6,41,1.00485
0.6,42,0
0.6,43,2.90081
0.6,44,1.74604
0.6,45,1.96167
0.6,46,1.18013
0.6,47,2.02915
0.6,48,0.721134
0.6,49,1.00513
0.6,50,0.812238
0.7,1,1.59544
0.7,2,1.41973
0.7,3,0
0.7,4,0
0.7,5,0.787591
0.7,6,2.23427
0.7,7,1.70044
0.7,8,0.954747
0.7,9,1.12732
0.7,10,1.76133
0.7,11,0
0.7,12,0.374074
0.7,13,1.83625
0.7,14,1.5839
0.7,15,0.998377
0.7,16,0.341714
0.7,17,0.892717
0.7,18,2.14296
0.7,19,1.82487
0.7,20,0.999703
0.7,21,0.957757
0.7,22,1.15291
0.7,23,0.597295
0.7,24,1.95902
0.7,25,0.764003
0.7,26,0.614147
0.7,27,0.617618
0.7,28,2.23599
0.7,29,0
0.7,30,2.48422
0.7,31,0.00829361
0.7,32,1.00348
0.7,33,1.29282
0.7,34,2.18506
