Close-tbill,Close-msft,Close-sp500,Close-ge,Close-ford,Date
3.06,2.52,469.1,6.72,8.16,1-Nov-93
3.12,2.5,468.44,6.69,8.31,2-Nov-93
3.08,2.45,463.02,6.64,8.24,3-Nov-93
3.07,2.38,457.49,6.46,7.98,4-Nov-93
3.07,2.45,459.57,6.49,7.94,5-Nov-93
3.06,2.45,460.21,6.46,8.02,8-Nov-93
3.11,2.44,460.33,6.51,7.94,9-Nov-93
3.11,2.53,463.72,6.52,8.05,10-Nov-93
3.11,2.55,465.39,6.47,8.07,12-Nov-93
3.11,2.51,463.75,6.5,8.1,15-Nov-93
3.09,2.56,466.74,6.65,8.1,16-Nov-93
3.09,2.52,464.81,6.66,8.07,17-Nov-93
3.1,2.5,463.62,6.72,8.15,18-Nov-93
3.11,2.5,462.6,6.77,8.05,19-Nov-93
3.12,2.4,459.13,6.77,7.77,22-Nov-93
3.11,2.41,461.03,6.79,7.77,23-Nov-93
3.11,2.45,462.36,6.74,7.95,24-Nov-93
3.1,2.46,463.06,6.79,7.98,26-Nov-93
3.11,2.48,461.9,6.75,8.05,29-Nov-93
3.14,2.49,461.79,6.78,7.92,30-Nov-93
3.11,2.54,461.89,6.8,8.16,1-Dec-93
3.11,2.58,463.11,6.89,8.11,2-Dec-93
3.11,2.67,464.89,6.9,8.23,3-Dec-93
3.09,2.64,466.43,6.92,8.2,6-Dec-93
3.08,2.66,466.76,6.88,8.26,7-Dec-93
3.08,2.6,466.29,6.92,8.24,8-Dec-93
3.05,2.53,464.18,6.96,8.28,9-Dec-93
3.05,2.55,463.93,7,8.39,10-Dec-93
3.04,2.53,465.7,6.96,8.44,13-Dec-93
3.04,2.49,463.06,7.06,8.28,14-Dec-93
3.03,2.48,461.84,7.12,8.2,15-Dec-93
3.02,2.49,463.34,7.13,8.15,16-Dec-93
3.03,2.51,466.38,7.25,8.16,17-Dec-93
3.05,2.55,465.85,7.19,8.18,20-Dec-93
3.07,2.57,465.3,7.26,8.44,21-Dec-93
3.05,2.53,467.32,7.26,8.55,22-Dec-93
3.05,2.52,467.38,7.31,8.46,23-Dec-93
3.06,2.51,470.54,7.41,8.41,27-Dec-93
3.06,2.58,470.94,7.39,8.44,28-Dec-93
3,2.54,470.58,7.39,8.44,29-Dec-93
2.98,2.53,468.64,7.35,8.44,30-Dec-93
3,2.51,466.45,7.28,8.41,31-Dec-93
3.03,2.5,465.44,7.22,8.26,3-Jan-94
3.08,2.51,466.89,7.19,8.33,4-Jan-94
3.07,2.56,467.55,7.15,8.31,5-Jan-94
3.05,2.64,467.12,7.21,8.29,6-Jan-94
3.01,2.66,469.9,7.24,8.42,7-Jan-94
2.99,2.67,475.27,7.28,8.77,10-Jan-94
2.97,2.66,474.13,7.33,8.9,11-Jan-94
2.95,2.66,474.17,7.36,8.8,12-Jan-94
2.95,2.66,472.47,7.3,8.85,13-Jan-94
2.97,2.67,474.91,7.41,8.9,14-Jan-94
2.96,2.64,474.25,7.52,8.94,18-Jan-94
2.97,2.59,474.3,7.55,8.8,19-Jan-94
2.94,2.69,474.98,7.53,8.75,20-Jan-94
2.95,2.69,474.72,7.49,8.8,21-Jan-94
2.94,2.66,471.97,7.48,8.6,24-Jan-94
2.93,2.65,470.92,7.43,8.54,25-Jan-94
2.92,2.62,473.2,7.39,8.51,26-Jan-94
2.92,2.62,477.05,7.51,8.75,27-Jan-94
2.94,2.64,478.7,7.49,8.56,28-Jan-94
2.97,2.65,481.61,7.48,8.79,31-Jan-94
3.03,2.65,479.62,7.42,8.75,1-Feb-94
3.06,2.62,482,7.57,8.88,2-Feb-94
3.14,2.63,480.71,7.62,9.1,3-Feb-94
3.23,2.53,469.81,7.39,8.92,4-Feb-94
3.22,2.52,471.76,7.51,9.03,7-Feb-94
3.25,2.45,471.05,7.44,9.11,8-Feb-94
3.25,2.48,472.77,7.51,8.98,9-Feb-94
3.26,2.47,468.93,7.39,8.65,10-Feb-94
3.25,2.45,470.18,7.44,8.59,11-Feb-94
3.25,2.46,470.23,7.5,8.62,14-Feb-94
3.27,2.48,472.52,7.56,8.69,15-Feb-94
3.27,2.45,472.79,7.55,8.52,16-Feb-94
3.27,2.45,470.34,7.57,8.47,17-Feb-94
3.28,2.49,467.69,7.49,8.46,18-Feb-94
3.29,2.48,471.46,7.49,8.46,22-Feb-94
3.37,2.52,470.69,7.45,8.42,23-Feb-94
3.36,2.49,464.26,7.31,8.2,24-Feb-94
3.37,2.52,466.07,7.29,8.06,25-Feb-94
3.36,2.57,467.14,7.31,8.15,28-Feb-94
3.49,2.59,464.44,7.33,8.16,1-Mar-94
3.47,2.58,464.81,7.39,8.38,2-Mar-94
3.48,2.52,463.01,7.34,8.34,3-Mar-94
3.53,2.52,464.74,7.33,8.54,4-Mar-94
3.52,2.53,466.91,7.39,8.44,7-Mar-94
3.54,2.52,465.88,7.34,8.36,8-Mar-94
3.53,2.52,467.06,7.36,8.57,9-Mar-94
3.49,2.52,463.9,7.3,8.52,10-Mar-94
3.49,2.55,466.44,7.35,8.59,11-Mar-94
3.52,2.61,467.39,7.35,8.44,14-Mar-94
3.57,2.64,467.01,7.33,8.28,15-Mar-94
3.53,2.64,469.42,7.25,8.34,16-Mar-94
3.47,2.63,470.9,7.2,8.18,17-Mar-94
3.47,2.64,471.06,7.3,8.06,18-Mar-94
3.51,2.59,468.54,7.27,8.02,21-Mar-94
3.54,2.64,468.8,7.21,8.08,22-Mar-94
3.45,2.69,468.54,7.26,8.31,23-Mar-94
3.45,2.72,464.35,7.24,8.05,24-Mar-94
3.48,2.73,460.58,7.14,7.9,25-Mar-94
3.5,2.69,460,7.23,7.88,28-Mar-94
3.51,2.57,452.48,7.14,7.77,29-Mar-94
3.49,2.6,445.55,6.9,7.64,30-Mar-94
3.47,2.64,445.77,6.99,7.7,31-Mar-94
3.65,2.63,438.92,6.85,7.7,4-Apr-94
3.66,2.73,448.29,6.91,7.98,5-Apr-94
3.6,2.77,448.05,6.82,7.98,6-Apr-94
3.53,2.8,450.88,6.86,7.95,7-Apr-94
3.55,2.71,447.1,6.8,7.65,8-Apr-94
3.54,2.71,449.87,6.87,7.61,11-Apr-94
3.56,2.64,447.57,6.93,7.54,12-Apr-94
3.56,2.64,446.26,6.91,7.49,13-Apr-94
3.58,2.62,446.38,6.81,7.67,14-Apr-94
3.59,2.64,446.18,6.76,7.64,15-Apr-94
3.69,2.59,442.46,6.63,7.59,18-Apr-94
