Team,Wins,Runs,Home Attendance
Minnesota Twins,96,801,28210
New York Yankees,97,930,51858
Toronto Blue Jays,87,809,28422
Cleveland Indians,78,870,24667
Chicago White Sox,90,868,36511
Texas Rangers,80,835,29490
Baltimore Orioles,70,768,26583
Los Angeles Angels,89,766,42059
Detroit Tigers,95,822,32048
Seattle Mariners,78,756,30626
Kansas City Royals,62,757,17158
Boston Red Sox,86,820,36182
Oakland Athletics,93,771,24402
Tampa Bay Devil Rays,61,689,16901
