Study,Treated,Placebo
Blashki.et.al.,1.75,1.02
Byerly.et.al.,2.3,1.37
Claghorn.et.al.,1.91,1.49
Davidson&Turnbull,4.77,2.28
Elkin.et.al.,2.35,2.01
Goldberg.et.al.,0.44,0.44
Joffe.et.al.,1.43,0.61
Kahn.et.al.,2.25,1.48
Kiev&Okerson,0.44,0.42
Lydiard,2.59,1.93
Ravaris.et.al.,1.42,0.91
Rickels.et.al.,1.86,1.45
Rickels&Case,1.71,1.17
Robinson.et.al.,1.13,0.76
Schweizer.et.al.,3.13,2.13
Stark&Hardison,1.4,1.03
van.der.Velde,0.66,0.1
White.et.al.,1.5,1.14
Zung,0.88,0.95
