ord	mouza	village	VILLAGE	di	long	lat	Best.Longitude	Best.Latitude	BAMvill[, 12]
279	87855	8785505	Ziar Tek	30	90,63703143	23,86142072	90,63703143	23,84042072	Mouza loc
280	87855	8785506	Burburiar Tek	20	90,63703143	23,86142072	90,63703143	23,85842072	Mouza loc
281	87855	8785507	Dopar Tek	55	90,63703143	23,86142072	90,63703143	23,85542072	Mouza loc
282	87855	8785508	Asuhat	96	90,63703143	23,86142072	90,63703143	23,86142072	Mouza loc
283	87989	8798901	Urian	8	90,65212706	23,85987847	90,65212706	23,85987847	Mouza loc
284	94016	9401601	Alisadi	23	90,68886783	23,7491858	90,6877287	23,75132318	Vill Loc for Lex1
285	94026	9402601	Purba Atadi	98	90,67769334	23,74981316	90,67769334	23,74681316	Mouza loc
286	94026	9402602	Paschim Atadi	46	90,67769334	23,74981316	90,67769334	23,74981316	Mouza loc
287	94026	9402603	Sitaramkandi	30	90,67769334	23,74981316	90,67769334	23,74381316	Mouza loc
288	94102	9410201	Bara Barai Para	183	90,66771882	23,72353409	90,66808779	23,72218982	Vill Loc for Lex1
289	94129	9412901	Bhairabdi	118	90,67911828	23,75657459	90,67436392	23,7566341	New Vill Loc
290	94161	9416101	Bijoynagar (Beparibari)	87	90,70341714	23,75051022	90,70341714	23,75051022	Mouza loc
291	94198	9419801	Burumdi	31	90,67814334	23,73168967	90,67493949	23,73365858	lat long all
292	94242	9424201	Chhota Balapur	29	90,68601795	23,74618843	90,68601795	23,74618843	Mouza loc
293	94322	9432201	Daserdia	195	90,6696687	23,73768434	90,6696687	23,73768434	Mouza loc
294	94419	9441901	Gurubdi	61	90,68189316	23,74542167	90,67806523	23,7452127	Vill Loc for Lex1
295	94451	9445101	Jangalia	244	90,67844331	23,73970581	90,67515871	23,7356732	New Vill Loc
296	94451	9445199	Chengakandi	83	90,67844331	23,73970581	90,67329223	23,73016019	Vill Loc for Lex1
297	94494	9449401	Kadirdia	72	90,68571798	23,75120727	90,68571798	23,75120727	Mouza loc
298	94801	9480101	Rampur	52	90,67311856	23,72841349	90,67320581	23,73115127	Vill Loc for Lex1
299	94828	9482801	roypur	41	90,69194268	23,75267109	NA	NA	
300	94919	9491901	Sreepatir Chak	9	90,67356855	23,7530196	90,67101865	23,75350755	Mouza loc
301	94935	9493501	Tegharia Para	18	90,67394352	23,74486402	90,67081539	23,74859495	New Vill Loc
302	94968	9496801	Uchitpur	30	90,69389261	23,75385606	90,69224179	23,75286142	New Vill Loc
