ord	mouza	village	VILLAGE	di	long	lat	Best.Longitude	Best.Latitude	BAMvill[, 12]
68	23785	2378501	Prabhabardi	221	90,62371652	23,75365162	90,62371652	23,75365162	Mouza loc
69	23833	2383301	Rishir Char	123	90,60663782	23,77644676	90,60387298	23,77781498	6000_BAMWSP3
70	23874	2387401	Silmondi Para	69	90,62420217	23,7626794	NA	NA	
71	23925	2392501	Sulpandi	53	90,62699466	23,78073495	90,61827781	23,77165409	6000_BAMWSP3
72	23978	2397801	Ujan Gobindi	224	90,62545676	23,78976273	90,62244681	23,78802372	6000_BAMWSP3
73	31069	3106901	Bajri	160	90,60044578	23,79329861	90,60232685	23,79076678	6000_BAMWSP3
74	31069	3106902	Purbapara	82	90,60044578	23,79329861	90,60044578	23,79029861	Mouza loc
75	31069	3106903	Titi Para	76	90,60044578	23,79329861	90,60044578	23,78729861	Mouza loc
76	31096	3109601	Bandi	239	NA	NA	NA	NA	
77	31365	3136501	Hatkhola Para	126	90,60789241	23,80578704	90,61520971	23,79185918	6000_BAMWSP3
78	31365	3136502	Kalibari Bazar	19	90,60789241	23,80578704	90,60789241	23,79678704	Mouza loc
79	31365	3136503	Patita Para	29	90,60789241	23,80578704	90,60789241	23,77278704	Mouza loc
80	31365	3136504	Kumar Para	89	90,60789241	23,80578704	90,61098	23,79800846	6000_BAMWSP3
81	31365	3136505	Khan Para	68	90,60789241	23,80578704	90,60789241	23,79378704	Mouza loc
82	31365	3136506	Raghabdi	75	90,60789241	23,80578704	90,60789241	23,76978704	Mouza loc
83	31365	3136507	Singrati	15	90,60789241	23,80578704	90,60789241	23,76378704	Mouza loc
84	31365	3136508	Nutanbati	50	90,60789241	23,80578704	NA	NA	
85	31365	3136509	Malpara	30	90,60789241	23,80578704	90,60789241	23,78478704	Mouza loc
86	31365	3136510	Chowdhury Para	40	90,60789241	23,80578704	90,60789241	23,80578704	Mouza loc
87	31365	3136511	Girda Para	188	90,60789241	23,80578704	90,60704585	23,80031862	6000_BAMWSP3
88	31365	3136512	Nagar Para	48	90,60789241	23,80578704	90,60789241	23,78178704	Mouza loc
89	31365	3136513	Rashi Para	49	90,60789241	23,80578704	90,60789241	23,76678704	Mouza loc
90	31365	3136514	Khathali Para	34	90,60789241	23,80578704	90,6065684	23,79186665	6000_BAMWSP3
91	31365	3136515	Paschimpara	55	90,60789241	23,80578704	90,60789241	23,77578704	Mouza loc
92	31758	3175801	Palla	56	90,59639869	23,80484664	90,59639869	23,80484664	Mouza loc
93	31763	3176301	Manasar	77	90,63019185	23,81184317	90,62541054	23,79877193	6000_BAMWSP3
94	31763	3176302	Char Para	161	90,63019185	23,81184317	90,62877706	23,7955824	6000_BAMWSP3
95	31763	3176303	Karmakar Para	53	90,63019185	23,81184317	90,63019185	23,80584317	Mouza loc
96	31763	3176304	Dauan Para	89	90,63019185	23,81184317	90,63019185	23,80884317	Mouza loc
97	31763	3176305	Noapara	89	90,63019185	23,81184317	90,60687419	23,78745919	6000_BAMWSP3
98	31763	3176306	Mollar Para	252	90,63019185	23,81184317	90,63019185	23,79984317	Mouza loc
99	31763	3176307	Panchbari	221	90,63019185	23,81184317	90,63289202	23,80442571	6000_BAMWSP3
100	31860	3186001	Sari Satyabhandi	168	90,60922795	23,78532407	90,6112752	23,7883477	6000_BAMWSP3
101	31860	3186002	Noapara	53	90,60922795	23,78532407	90,60922795	23,77932407	Mouza loc
102	31860	3186003	Bhoa Para	146	90,60922795	23,78532407	90,60922795	23,78532407	Mouza loc
103	31860	3186004	Mollar Para	75	90,60922795	23,78532407	NA	NA	
104	31951	3195101	Tingaon	84	90,60218602	23,786114	90,60093141	23,78749136	6000_BAMWSP3
105	31951	3195102	Duptara Bazar	8	90,60218602	23,786114	90,60733615	23,79359494	6000_BAMWSP3
106	39043	3904301	Bagadi	146	90,67716835	23,79156686	90,67716835	23,79156686	Mouza loc
107	39048	3904801	Bagadi Noapara	115	90,68166815	23,79623715	90,68166815	23,79623715	Mouza loc
108	39059	3905901	Bailat	96	90,67949324	23,78926658	90,67949324	23,78926658	Mouza loc
109	39107	3910701	Kanda Para	115	90,67206862	23,79156686	90,67206862	23,78856686	Mouza loc
110	39107	3910702	Dakshinpara	220	90,67206862	23,79156686	90,67206862	23,79156686	Mouza loc
111	39193	3919301	Brahman Para	37	90,69164271	23,78836042	90,69164271	23,78836042	Mouza loc
112	39231	3923101	Chautharkhanda	92	90,65744428	23,77260691	90,65744428	23,76960691	Mouza loc
113	39231	3923102	Nayakhanda	60	90,65744428	23,77260691	90,65744428	23,76360691	Mouza loc
114	39231	3923103	Akhar Para	41	90,65744428	23,77260691	90,65701373	23,77116621	lat long all
115	39231	3923104	Nagarjoar	22	90,65744428	23,77260691	90,64367127	23,77175002	Vill Loc for Lex1
116	39252	3925201	Chhota Daburpura	115	90,67221861	23,77156134	90,66587403	23,77118863	lat long all
117	39268	3926801	Chhota Sadardia	90	NA	NA	NA	NA	
118	39279	3927901	Daburpura	96	NA	NA	NA	NA	
119	39290	3929001	Dakshinpara	92	90,66629388	23,78006543	NA	NA	
120	39311	3931101	Dari Para	46	90,68054322	23,79289127	90,68054322	23,79289127	Mouza loc
121	39387	3938701	Fatehpur	98	90,68601795	23,78933628	90,68601795	23,78933628	Mouza loc
