Year,Twin Births,twin rate
2006,137085,32.1
2005,133122,32.2
2004,132219,32.2
2003,128665,31.5
2002,125134,31.1
2001,121246,30.1
2000,118916,29.3
1999,114307,28.9
1998,110670,28.1
1997,104137,26.8
1996,100750,25.9
1995,96736,24.8
1994,97064,24.6
1993,96445,24.1
1992,95372,23.5
1991,94779,23.1
1990,93865,22.6
1989,90118,22.3
1988,85315,21.8
1987,81778,21.5
1986,79485,21.2
1985,77102,20.5
1984,72949,19.9
1983,72287,19.9
1982,71631,19.5
1981,70049,19.3
1980,68339,18.9
