Body,Head,Species
177,35,y
264,49,y
311,56,y
382,64,y
385,61,y
475,71,y
548,83,y
343,51,y
386,62,y
338,52,y
319,52,y
224,39.5,y
202,38.3,y
218,37.5,y
183,32.3,y
203,35.8,y
209,38.2,y
161,24,x
179,24,x
226,32,x
259,35,x
287,40,x
300,40,x
342,46,x
333,48,x
406,52,x
459.4,60.5,x
376.2,50.7,x
380,53.5,x
265,37.6,x
349,45.9,x
263.6,37.6,x
