Viscosity in centiStokes of Krytox GPL102 oil.  Data courtesy of
Gregory Bell at Dupont.  Krytox(TM) is a synthetic oil that	is
nonflammable and resistant to aggressive chemicals.  Krytox(TM) is
a registered trademark of E. I. du Pont de Nemours and Company
	
T(C)  mu(centiStoke)
-40	5568
-30	1545
-20	525.6
-10	225
0	109.3
10	59.4
20	35.3
30	22.8
40	15.4
50	10.9
60	8.1
70	6.2
80	4.8
90	3.9
100	3.1
110	2.6
120	2.2
