Viscosity in centiStokes of Krytox GPL104 oil.  Data courtesy of
Gregory Bell at Dupont.  Krytox(TM) is a synthetic oil that	is
nonflammable and resistant to aggressive chemicals.  Krytox(TM) is
a registered trademark of E. I. du Pont de Nemours and Company
	
T(C)  mu(centiStoke)
-40	91000
-30	18480
-20	4952
-10	1755.2
0	705.1
10	325.4
20	170.3
30	98.6
40	60.4
50	40.2
60	27.1
70	19.3
80	14.3
90	11
100	8.6
110	6.9
120	5.6
130	4.7
140	3.9
150	3.4
160	2.9
