Historically averaged temperature data for Portland International Airport
Temperatures in degrees F
month  high    low     ave
  1	  45.36	  33.84	  39.6
  2	  50.87	  35.98	  43.43
  3	  56.05	  38.55	  47.3
  4	  60.49	  41.36	  50.92
  5	  67.17	  46.92	  57.05
  6	  73.82   52.8	  63.31
  7	  79.72	  56.43	  68.07
  8	  80.14	  56.79	  68.47
  9	  74.54	  51.83	  63.18
 10	  64.08	  44.95	  54.52
 11	  52.66	  39.54	  46.1
 12	  45.59	  34.75	  40.17
