Cottage Cheese,Ice Cream,Month
70.9,54.9,1
72.4,54.1,2
81.6,61.6,3
79.8,64.3,4
85.2,68.5,5
77.6,75.7,6
80.7,80.1,7
75.5,77,8
73.9,69.4,9
77.6,63.1,10
69.8,49.9,11
69.3,54.1,12
