month,day,hour,Wind speed,site2,site4
2,1,6,5.8,1.0837,3.4403
2,1,12,3.7,1.4737,0.7304
2,1,18,6.8,3.9973,2.1254
2,2,0,8.4,7.0188,4.804
2,2,6,10.4,4.908,8.0604
2,2,12,9.2,10.0861,5.5533
2,2,18,11.9,8.7232,7.5816
2,3,0,9.7,8.4993,8.5618
2,3,12,10.7,8.4114,9.6769
2,3,18,6.9,1.9429,6.7782
2,4,0,3.9,0.2242,5.7254
2,4,6,5.5,8.6086,3.4006
2,4,12,9.6,12.7751,10.9839
2,4,18,9.8,7.7848,11.0811
2,5,0,4.7,8.2258,7.102
2,5,6,9.2,8.0803,8.1286
2,5,12,4.6,2.22,4.4573
2,5,18,8.5,11.3453,7.1561
2,6,0,10,14.9799,14.9881
2,6,6,12.5,8.5214,9.6515
2,6,12,9.1,12.2792,9.1181
2,6,18,15.3,20.4918,18.414
2,7,0,12.2,12.478,16.6393
2,7,6,6.8,5.6881,7.0586
2,7,12,11,10.7289,6.7583
2,7,18,10.7,7.0797,3.5974
2,8,0,8.9,12.098,8.1114
2,8,6,6.4,6.67,8.3819
2,8,12,6.7,4.3496,3.3015
2,8,18,17.2,12.4294,9.7191
2,9,0,15.1,12.9043,10.9064
2,9,6,14.5,15.6854,14.8877
2,9,12,21.2,18.4189,17.8374
2,9,18,22.4,16.4198,18.6772
2,10,0,19.4,8.1885,10.6304
2,10,6,12.6,7.6005,7.4073
2,10,12,8.6,7.7103,8.7586
2,10,18,5.4,3.236,1.6332
2,11,0,9.3,10.2867,5.6444
2,11,6,13.2,10.9723,11.4973
2,11,18,20.1,22.6596,19.1227
2,12,0,22.3,19.9253,21.5796
2,12,6,20,15.9369,13.0226
2,12,12,18.1,14.1387,15.6478
2,12,18,7.8,5.722,6.0743
2,13,0,3.9,7.7645,5.0985
2,13,6,9.8,11.0361,9.3463
2,13,12,12.6,15.0156,11.8032
2,13,18,11.8,8.978,8.9695
2,14,0,11.2,10.4773,10.9584
2,14,6,11.8,6.2759,6.6615
2,14,12,10,8.7331,3.2868
2,14,18,14.7,10.5097,8.3234
2,15,0,15,11.1306,11.2706
2,15,6,9.8,9.617,8.0744
2,15,12,12,12.6756,11.1448
2,15,18,13.5,10.9428,9.2952
2,16,0,14.6,15.971,13.7063
2,16,6,12.4,11.4812,10.5556
2,16,12,9.4,8.7004,9.489
2,16,18,7.2,3.6344,6.1376
2,17,0,3.4,3.1749,5.2331
2,17,6,5.9,8.4215,5.0962
2,17,12,11.3,12.3028,8.8883
2,17,18,13.8,10.7751,14.7349
2,18,0,11,6.196,14.5965
2,18,6,6.5,7.0807,7.3568
2,18,12,6.2,7.7371,5.77
2,18,18,8.6,8.3135,8.1882
2,19,0,8.3,6.0348,8.124
2,19,6,7.8,7.5643,10.0485
2,19,12,6.8,4.1811,9.6693
2,19,18,7.5,5.7996,9.7377
2,20,0,7.1,5.0482,6.6766
2,20,6,5,5.9551,9.5495
2,20,12,6.3,3.7578,8.3967
2,20,18,6.4,2.6943,7.2744
2,21,0,6.3,3.0677,7.5253
2,21,6,4.3,1.4172,7.3028
2,21,12,4.9,5.8198,2.3825
2,21,18,9.3,6.8263,3.3981
