stateabb,ccode,statenme,styear,stmonth,stday,endyear,endmonth,endday,version
USA,2,United States of America,1816,1,1,2011,12,31,2011
CAN,20,Canada,1920,1,10,2011,12,31,2011
BHM,31,Bahamas,1973,7,10,2011,12,31,2011
CUB,40,Cuba,1902,5,20,1906,9,25,2011
CUB,40,Cuba,1909,1,23,2011,12,31,2011
HAI,41,Haiti,1859,1,1,1915,7,28,2011
HAI,41,Haiti,1934,8,15,2011,12,31,2011
DOM,42,Dominican Republic,1894,1,1,1916,11,29,2011
DOM,42,Dominican Republic,1924,9,29,2011,12,31,2011
JAM,51,Jamaica,1962,8,6,2011,12,31,2011
TRI,52,Trinidad and Tobago,1962,8,31,2011,12,31,2011
BAR,53,Barbados,1966,11,30,2011,12,31,2011
DMA,54,Dominica,1978,11,3,2011,12,31,2011
GRN,55,Grenada,1974,2,7,2011,12,31,2011
SLU,56,St. Lucia,1979,2,22,2011,12,31,2011
SVG,57,St. Vincent and the Grenadines,1979,10,27,2011,12,31,2011
AAB,58,Antigua & Barbuda,1981,11,1,2011,12,31,2011
SKN,60,St. Kitts and Nevis,1983,9,19,2011,12,31,2011
MEX,70,Mexico,1831,1,1,2011,12,31,2011
BLZ,80,Belize,1981,9,21,2011,12,31,2011
GUA,90,Guatemala,1868,1,1,2011,12,31,2011
HON,91,Honduras,1899,1,1,2011,12,31,2011
SAL,92,El Salvador,1875,1,1,2011,12,31,2011
NIC,93,Nicaragua,1900,1,1,2011,12,31,2011
COS,94,Costa Rica,1920,1,1,2011,12,31,2011
PAN,95,Panama,1903,11,3,2011,12,31,2011
COL,100,Colombia,1831,1,1,2011,12,31,2011
VEN,101,Venezuela,1841,1,1,2011,12,31,2011
GUY,110,Guyana,1966,5,26,2011,12,31,2011
SUR,115,Suriname,1975,11,25,2011,12,31,2011
ECU,130,Ecuador,1854,1,1,2011,12,31,2011
PER,135,Peru,1839,1,1,2011,12,31,2011
BRA,140,Brazil,1822,9,7,2011,12,31,2011
BOL,145,Bolivia,1848,1,1,2011,12,31,2011
PAR,150,Paraguay,1846,1,1,1870,6,20,2011
PAR,150,Paraguay,1876,6,22,2011,12,31,2011
CHL,155,Chile,1839,1,1,2011,12,31,2011
ARG,160,Argentina,1841,1,1,2011,12,31,2011
URU,165,Uruguay,1882,1,1,2011,12,31,2011
UKG,200,United Kingdom,1816,1,1,2011,12,31,2011
IRE,205,Ireland,1922,12,6,2011,12,31,2011
