stateabb,ccode,year,irst,milex,milper,pec,tpop,upop,cinc,version
USA,2,1816,80,3823,17,254,8659,101,0.0396975,4
USA,2,1817,80,2466,15,277,8899,106,0.0358166,4
USA,2,1818,90,1910,14,302,9139,112,0.0361265,4
USA,2,1819,90,2301,13,293,9379,118,0.0371333,4
USA,2,1820,110,1556,15,303,9618,124,0.0370869,4
USA,2,1821,100,1612,11,321,9939,130,0.0341731,4
USA,2,1822,100,1079,10,332,10268,136,0.0330794,4
USA,2,1823,110,1170,11,345,10596,143,0.0332513,4
USA,2,1824,110,1261,11,390,10924,151,0.0331247,4
USA,2,1825,120,1336,11,424,11252,158,0.0343644,4
USA,2,1826,120,1658,12,502,11580,166,0.0364252,4
USA,2,1827,130,1663,12,556,11909,175,0.0357089,4
USA,2,1828,130,1622,11,609,12237,183,0.0356879,4
USA,2,1829,144,1678,12,686,12565,193,0.0374823,4
USA,2,1830,168,1687,12,799,12901,203,0.0384837,4
USA,2,1831,194,1835,11,864,13321,222,0.0420014,4
USA,2,1832,203,1896,12,1154,13742,244,0.0445447,4
USA,2,1833,220,2445,13,1348,14162,268,0.0481381,4
USA,2,1834,240,2073,13,1291,14582,295,0.0477735,4
USA,2,1835,260,2001,14,1650,15003,324,0.04852,4
USA,2,1836,280,2571,17,1807,15423,356,0.050953,4
USA,2,1837,290,3121,22,2027,15843,391,0.0535883,4
USA,2,1838,310,3083,18,1922,16264,429,0.0532727,4
USA,2,1839,330,2012,19,2159,16684,471,0.0508006,4
USA,2,1840,291,2755,22,2244,17120,518,0.04955,4
USA,2,1841,290,3042,21,2374,17733,562,0.0508649,4
USA,2,1842,219,3011,23,2643,18345,610,0.0493011,4
USA,2,1843,320,1364,21,2967,18957,662,0.0510815,4
USA,2,1844,400,2432,21,3557,19569,718,0.0573262,4
USA,2,1845,490,3534,21,4284,20182,779,0.0616531,4
USA,2,1846,777,9506,39,4863,20794,846,0.0827573,4
USA,2,1847,813,7431,58,5767,21406,918,0.0845096,4
USA,2,1848,813,8106,60,6424,22018,996,0.0871742,4
USA,2,1849,660,3558,23,6976,22631,1081,0.0730965,4
USA,2,1850,572,4302,21,7607,23261,1174,0.0724712,4
USA,2,1851,420,3525,21,9438,24086,1273,0.0677073,4
USA,2,1852,508,4226,21,10270,24911,1380,0.0718738,4
