stateabb,ccode,year,version
"USA",2,1816,2011
"UKG",200,1816,2011
"NTH",210,1816,2011
"FRN",220,1816,2011
"SWZ",225,1816,2011
"SPN",230,1816,2011
"POR",235,1816,2011
"BAV",245,1816,2011
"GMY",255,1816,2011
"BAD",267,1816,2011
"SAX",269,1816,2011
"WRT",271,1816,2011
"HSE",273,1816,2011
"HSG",275,1816,2011
"AUH",300,1816,2011
"ITA",325,1816,2011
"PAP",327,1816,2011
"SIC",329,1816,2011
"TUS",337,1816,2011
"RUS",365,1816,2011
"SWD",380,1816,2011
"DEN",390,1816,2011
"TUR",640,1816,2011
"USA",2,1817,2011
"UKG",200,1817,2011
"NTH",210,1817,2011
"FRN",220,1817,2011
"SWZ",225,1817,2011
"SPN",230,1817,2011
"POR",235,1817,2011
"BAV",245,1817,2011
"GMY",255,1817,2011
"BAD",267,1817,2011
"SAX",269,1817,2011
"WRT",271,1817,2011
"HSE",273,1817,2011
"HSG",275,1817,2011
"AUH",300,1817,2011
"ITA",325,1817,2011
"PAP",327,1817,2011
"SIC",329,1817,2011
"TUS",337,1817,2011
"RUS",365,1817,2011
"SWD",380,1817,2011
"DEN",390,1817,2011
"TUR",640,1817,2011
"USA",2,1818,2011
"UKG",200,1818,2011
"NTH",210,1818,2011
"FRN",220,1818,2011
"SWZ",225,1818,2011
"SPN",230,1818,2011
"POR",235,1818,2011
"BAV",245,1818,2011
"GMY",255,1818,2011
"BAD",267,1818,2011
"SAX",269,1818,2011
"WRT",271,1818,2011
"HSE",273,1818,2011
"HSG",275,1818,2011
"AUH",300,1818,2011
"ITA",325,1818,2011
"PAP",327,1818,2011
"SIC",329,1818,2011
"TUS",337,1818,2011
"RUS",365,1818,2011
"SWD",380,1818,2011
"DEN",390,1818,2011
"TUR",640,1818,2011
"USA",2,1819,2011
"UKG",200,1819,2011
"NTH",210,1819,2011
"FRN",220,1819,2011
"SWZ",225,1819,2011
"SPN",230,1819,2011
"POR",235,1819,2011
"BAV",245,1819,2011
"GMY",255,1819,2011
"BAD",267,1819,2011
"SAX",269,1819,2011
"WRT",271,1819,2011
"HSE",273,1819,2011
"HSG",275,1819,2011
"AUH",300,1819,2011
"ITA",325,1819,2011
"PAP",327,1819,2011
"SIC",329,1819,2011
"TUS",337,1819,2011
"RUS",365,1819,2011
"SWD",380,1819,2011
"DEN",390,1819,2011
"TUR",640,1819,2011
"USA",2,1820,2011
"UKG",200,1820,2011
"NTH",210,1820,2011
"FRN",220,1820,2011
"SWZ",225,1820,2011
"SPN",230,1820,2011
"POR",235,1820,2011
"BAV",245,1820,2011
"GMY",255,1820,2011
"BAD",267,1820,2011
"SAX",269,1820,2011
"WRT",271,1820,2011
"HSE",273,1820,2011
"HSG",275,1820,2011
"AUH",300,1820,2011
"ITA",325,1820,2011
"PAP",327,1820,2011
"SIC",329,1820,2011
"TUS",337,1820,2011
"RUS",365,1820,2011
"SWD",380,1820,2011
"DEN",390,1820,2011
"TUR",640,1820,2011
"USA",2,1821,2011
"UKG",200,1821,2011
"NTH",210,1821,2011
"FRN",220,1821,2011
"SWZ",225,1821,2011
"SPN",230,1821,2011
"POR",235,1821,2011
"BAV",245,1821,2011
"GMY",255,1821,2011
"BAD",267,1821,2011
"SAX",269,1821,2011
"WRT",271,1821,2011
"HSE",273,1821,2011
"HSG",275,1821,2011
"AUH",300,1821,2011
"ITA",325,1821,2011
"PAP",327,1821,2011
"SIC",329,1821,2011
"TUS",337,1821,2011
"RUS",365,1821,2011
"SWD",380,1821,2011
"DEN",390,1821,2011
