 -3488746.8382	-1149175.7446  -3488749.6796  -1155551.2096
 -20904637.2924  -1135355.3191	 2466.6864  -1155543.3634
  2478.0027  -1154864.0917   2480.7944	-1155530.2310
  2487.4240  -1154856.3487   2489.1235	-1155522.4931
  2496.2239  -1154848.6343   2498.1293	-1155514.7713
  2503.8889  -1154840.9561   2504.6078	-1155507.0782
  2512.9192  -1154833.3009   2511.8942	-1155499.4289
  2519.4450  -1154825.6871   2517.4574	-1155491.8259
  2527.8007  -1154818.1069   2525.6284	-1155484.2530
  2533.9072  -1154810.5716   2533.5513	-1155476.7197
  2541.3540  -1154803.0790   2541.4907	-1155469.2228
  2548.8950  -1154795.6127   2549.4121	-1155461.7530
  2557.8346  -1154788.1806   2558.0100	-1155454.3208
  2565.7201  -1154780.7805   2564.3752	-1155446.9316
  2571.2567  -1154773.4261   2571.7655	-1155439.5776
  2578.9363  -1154766.1054   2579.5338	-1155432.2473
  2586.0437  -1154758.8312   2586.0608	-1155424.9678
  2592.8545  -1154751.5951   2592.7730	-1155417.7216
  2600.4689  -1154744.3924   2599.8714	-1155410.5190
  2608.3423  -1154737.2245   2608.4236	-1155403.3554
  2615.8767  -1154730.0802   2614.3097	-1155396.2243
  2621.9058  -1154722.9843   2623.2021	-1155389.1428
  2628.3183  -1154715.9404   2629.8149	-1155382.0827
  2635.6171  -1154708.9321   2636.8969	-1155375.0637
  2643.1510  -1154701.9581   2643.3518	-1155368.0759
  2649.3574  -1154695.0245   2648.9925	-1155361.1430
  2657.6416  -1154688.1203   2656.4781	-1155354.2463
  2664.7908  -1154681.2540   2663.6261	-1155347.3919
  2670.2773  -1154674.4293   2670.3978	-1155340.5734
  2677.0586  -1154667.6541   2677.8822	-1155333.7938
  2683.5161  -1154660.9143   2685.0106	-1155327.0459
  2690.5581  -1154654.7042   2691.8128	-1155320.8275
  2698.7249  -1154648.0335   2697.1821	-1155314.1577
  2704.8034  -1154641.4077   2703.9118	-1155307.5392
  2710.5431  -1154634.8244   2709.2435	-1155300.9675
  2716.6888  -1154628.2869   2716.5200	-1155294.4302
  2723.9798  -1154621.7902   2723.4450	-1155287.9305
  2729.5164  -1154615.3366   2730.6880	-1155281.4726
  2736.4007  -1154608.9176   2735.9268	-1155275.0529
  2743.0425  -1154602.5354   2743.6451	-1155268.6786
  2748.7219  -1154596.1966   2749.5778	-1155262.3384
  2754.6078  -1154589.9045   2754.4417	-1155256.0397
  2761.1399  -1154583.6536   2760.6183	-1155249.7923
  2767.8248  -1154577.4427   2767.9004	-1155243.5840
  2773.6890  -1154571.2759   2774.1390	-1155237.4131
  2780.4914  -1154565.1425   2780.6572	-1155231.2831
  2786.0276  -1154559.0540   2786.5147	-1155225.1997
  2791.5692  -1154553.0157   2792.0321	-1155219.1569
  2798.4536  -1154547.0135   2798.8157	-1155213.1504
  2804.3696  -1154541.0570   2804.1924	-1155207.1928
  2810.1296  -1154535.1415   2809.1321	-1155201.2809
  2816.1588  -1154529.2706   2815.3547	-1155195.4157
  2822.4708  -1154523.4406   2821.7285	-1155189.5871
  2827.4524  -1154517.6554   2827.3837	-1155183.7998
  2833.0723  -1154511.9152   2833.6827	-1155178.0559
  2839.0510  -1154506.2150   2838.7057	-1155172.3544
  2844.4948  -1154500.5568   2843.7370	-1155166.6980
  2849.9263  -1154494.9413   2849.6790	-1155161.0834
  2855.1849  -1154489.3758   2854.9133	-1155155.5224
  2859.9883  -1154484.3811   2860.5057	-1155150.5240
  2866.0108  -1154478.8974   2865.8768	-1155145.0408
  2871.1352  -1154473.4622   2871.8292	-1155139.6031
  2876.7752  -1154468.0742   2876.0026	-1155134.2134
  2882.9974  -1154462.7290   2881.8582	-1155128.8719
  2887.5238  -1154457.4281   2887.3844	-1155123.5735
  2892.6070  -1154452.1839   2892.1138	-1155118.3236
  2898.3682  -1154446.9733   2898.2588	-1155113.1094
  2903.7836  -1154441.8093   2903.5821	-1155107.9477
  2908.3803  -1154436.6905   2908.2754	-1155102.8305
  2913.2053  -1154431.6204   2913.6223	-1155097.7540
  2918.5868  -1154426.5908   2918.1737	-1155092.7278
  2923.4318  -1154421.6112   2923.8245	-1155087.7501
  2928.5277  -1154416.6765   2928.8847	-1155082.8135
  2933.7920  -1154411.7844   2933.0730	-1155077.9234
  2938.4697  -1154406.9415   2938.3576	-1155073.0846
  2943.0740  -1154402.1464   2942.9304	-1155068.2884
  2947.9707  -1154397.3972   2947.5483	-1155063.5365
  2952.0079  -1154392.6889   2952.6078	-1155058.8332
  2955.8472  -1154388.0365   2957.0221	-1155054.1773
  2961.5993  -1154383.4262   2962.1429	-1155049.5679
  2965.0204  -1154379.4129   2965.8952	-1155045.5531
  2969.3162  -1154374.8953   2970.2428	-1155041.0357
  2974.0548  -1154370.4238   2975.3169	-1155036.5630
  2978.7587  -1154366.0013   2979.6623	-1155032.1406
  2983.1262  -1154361.6301   2983.4428	-1155027.7710
  2987.3198  -1154357.3047   2988.5019	-1155023.4451
  2991.7614  -1154353.0221   2992.5120	-1155019.1619
  2995.8483  -1154348.7928   2996.5016	-1155014.9330
  3000.4155  -1154344.6126   3000.8415	-1155010.7522
  3004.5594  -1154340.4759   3004.8580	-1155006.6141
  3008.3782  -1154336.3923   3008.5371	-1155002.5309

