Year,24Error,24N
1970,84.3,34
1971,112.4,183
1972,142.3,57
1973,116.7,84
1974,97.1,89
1975,117,121
1976,127.9,143
1977,132.9,30
1978,144.2,101
1979,89.5,138
1980,128.6,188
1981,125.9,190
1982,131.3,45
1983,83.4,34
1984,131.7,157
1985,109.6,151
1986,107.4,66
1987,108.6,119
1988,70.4,132
1989,95.6,215
1990,100.8,209
1991,113.5,55
1992,82.9,124
1993,101,82
1994,102.7,83
1995,87.3,408
1996,72,260
1997,87.2,75
1998,83.9,286
1999,70.2,267
2000,70.6,202
2001,74.1,182
2002,66.6,168
2003,57.3,251
2004,53.7,294
2005,55.2,402
2006,48,285
2007,50.2,91
