month day year HongKong  Singapore  Brazil  Argentina  UK  Germany  Canada  France  Japan  SP500
1    29    88	451.29	400.72	4848.1	196354	3240.9	337.28	543.83	792.84	11.699	394.30
2    29    88	462.69	393.87	4499.1	181164	3348.7	308.82	532.78	696.06	12.825	415.06
3    31    88	490.37	415.85	6903.0	236771	3434.3	362.71	571.13	851.82	14.044	431.30
4    29    88	500.86	438.02	7183.9	248765	3468.3	363.80	592.66	804.02	15.116	411.51
5    31    88	486.57	447.45	7504.3	367385	3521.4	353.18	594.82	868.14	15.275	404.25
6    30    88	527.88	490.13	6823.8	367457	3314.9	349.41	590.76	921.23	14.481	434.52
7    29    88	536.06	500.28	5850.0	467921	3339.8	347.44	632.94	926.28	13.985	432.28
8    31    88	493.72	458.70	5977.2	509071	3342.0	354.70	608.41	906.90	14.575	420.40
9    30    88	498.20	458.44	7452.8	697679	3122.3	358.61	594.98	896.34	13.865	435.57
10    31    88	533.17	474.54	7217.6	543788	3407.1	397.86	607.29	1012.76	14.955	450.17
11    30    88	553.91	477.51	6809.1	486733	3597.9	433.15	611.66	1114.33	15.652	434.43
12    30    88	562.87	496.49	7824.1	403590	3494.2	415.75	610.16	1097.34	16.444	456.08
1    31    89	639.93	543.10	6223.2	362594	3373.4	412.48	635.58	1105.12	16.210	470.67
2    28    89	636.02	544.35	8507.6	481939	3916.9	421.38	683.44	1190.95	17.366	488.24
3    31    89	637.43	565.82	11108.8	305555	3737.0	401.86	667.15	1118.60	16.536	482.90
4    28    89	667.22	599.55	15643.9	333975	3884.0	413.65	676.53	1176.45	16.613	508.40
5    31    89	592.68	613.33	14939.7	491515	3759.2	408.67	687.80	1152.05	15.858	533.32
6    30    89	483.52	616.18	9390.2	1247445	3613.4	417.25	703.00	1181.43	15.482	535.89
7    31    89	550.70	653.57	10253.1	425484	3847.9	455.48	719.13	1227.55	15.082	560.56
8    31    89	533.02	632.66	9559.7	646972	3935.8	467.09	770.84	1274.62	16.191	579.37
9    29    89	596.93	641.58	9917.6	1224491	4134.0	485.30	777.55	1323.33	15.605	581.84
10    31    89	594.34	620.30	11554.5	1118675	3989.8	510.49	772.14	1411.94	16.445	584.42
11    30    89	600.50	655.18	8551.1	1039334	3663.2	480.48	771.99	1328.75	16.100	576.70
12    29    89	609.80	706.02	10849.5	772630	3947.5	546.41	781.01	1456.91	16.989	579.78
1    31    90	590.59	727.00	11581.8	459390	4253.6	633.64	779.27	1585.27	16.900	575.86
2    28    90	640.07	743.97	11478.3	539564	4245.5	660.81	716.88	1514.18	16.047	566.53
3    30    90	654.40	725.00	4807.5	621343	3879.3	649.64	728.22	1480.72	13.973	586.53
4    30    90	651.25	667.90	7135.8	720099	3938.2	715.92	735.62	1587.12	11.726	579.02
5    31    90	698.11	744.25	6295.6	692302	3806.3	671.46	669.11	1684.14	12.221	609.09
6    29    90	728.49	746.29	6880.4	734246	4370.7	674.05	725.01	1719.44	13.343	617.41
7    31    90	768.52	793.51	7962.8	783244	4736.9	702.88	730.85	1689.31	13.136	631.01
8    31    90	681.56	675.06	6790.4	661783	4877.4	766.15	744.30	1725.28	12.545	567.84
