date           rtn 
20010904      -0.006395
20010905       0.002469
20010906      -0.025770
20010907      -0.018507
20010910       0.012233
20010917      -0.052249
20010918      -0.002397
20010919      -0.020183
20010920      -0.031780
20010921      -0.010749
20010924       0.035156
20010925       0.010427
20010926      -0.003538
20010927       0.008679
20010928       0.021218
20011001      -0.001628
20011002       0.012564
20011003       0.016765
20011004       0.000838
20011005      -0.001955
20011008      -0.006528
20011009      -0.005351
20011010       0.022273
20011011       0.015510
20011012      -0.004545
20011015      -0.001826
20011016       0.006313
20011017      -0.021275
20011018      -0.002137
20011019      -0.000652
20011022       0.019749
20011023      -0.005116
20011024      -0.002663
20011025       0.017952
20011026      -0.002261
20011029      -0.026015
20011030      -0.012006
20011031      -0.003391
20011101       0.025614
20011102       0.006820
20011105       0.013089
20011106       0.015540
20011107      -0.001335
20011108       0.003118
20011109       0.001066
20011112      -0.006121
20011113       0.022494
20011114       0.000960
20011115       0.001831
20011116      -0.004440
20011119       0.012329
20011120      -0.008379
20011121      -0.006620
20011123       0.014381
20011126       0.002161
20011127      -0.004313
20011128      -0.018106
20011129       0.013499
20011130      -0.007139
20011203      -0.005962
20011204       0.016936
20011205       0.018302
20011206      -0.000511
20011207      -0.006647
20011210      -0.018703
20011211      -0.002011
20011212       0.001139
20011213      -0.019426
20011214       0.009548
20011217       0.010342
20011218       0.005949
20011219       0.007045
20011220      -0.009845
20011221       0.006042
20011224      -0.001914
20011226       0.005491
20011227       0.006068
20011228      -0.000517
20011231      -0.014655
20020102       0.010761
20020103       0.011339
20020104       0.006676
20020107      -0.007057
20020108      -0.002312
20020109      -0.008153
20020110       0.004413
20020111      -0.009821
20020114      -0.006264
20020115       0.008142
20020116      -0.020234
20020117       0.007534
20020118      -0.004575
20020122      -0.006893
20020123       0.007653
20020124       0.003091
20020125      -0.000264
20020128       0.002730
20020129      -0.031442
20020130       0.014418
20020131       0.011710
20020201      -0.004683
20020204      -0.024856
20020205      -0.006190
20020206      -0.004305
20020207      -0.006256
20020208       0.019163
