AA AAPL ABT AEP ALL AMGN AMZN AVP AXP
0.054852 0.070256 0.03676 -0.00147 0.016503 0.032955 0.085714 0.018538 0.058287
-0.029333 -0.013416 0.003822 -0.004207 -0.031765 -0.041804 -0.082237 -0.021234 -0.041765
0.03022 -0.002428 0.024112 0.026827 -0.003645 -0.008588 0.335723 -0.03719 0.011441
0.046667 0.073028 0 -0.000411 -0.002439 -0.045581 0.07424 -0.007243 0.02801
-0.006115 -0.010889 -0.025306 -0.007821 0.001467 0.006989 0.109076 -0.006485 0.007336
-0.000513 0.02844 -0.028091 -0.004563 -0.005127 0.043763 0.101351 0.051672 0.019246
0.000256 -0.043711 0.01905 0.013753 0.009816 0.008127 -0.043626 0.016292 -0.016841
-0.021026 -0.048508 0.012033 0.021583 -0.004131 0.046171 0.050606 -0.013486 0.011679
0.037192 0.117157 -0.004459 0.005231 0.037091 0.077933 0.122117 -0.019861 0.092355
-0.00404 0.128565 -0.024952 -0.019015 0.041176 -0.007636 -0.033253 -0.008684 0.008924
0.023073 -0.026439 -0.01378 -0.001428 -0.03774 -0.024885 -0.013133 0.019379 -0.033985
0.001735 -0.03155 -0.012198 0.016551 0.00728 0.006548 0.026616 -0.003385 -0.023855
-0.01138 -0.009072 -0.00247 -0.00603 -0.038704 -0.041701 -0.032099 -0.007055 0.005925
0.013263 0.028714 0.024308 -0.003033 0.001698 0.016536 0.026148 -0.005526 0.008589
0.039269 -0.001214 -0.014283 0.002434 -0.007264 -0.042979 -0.041019 0.016142 0.019465
-0.002139 0.061158 0.024967 0.011736 0.030732 0.07139 -0.010369 0.066667 0.043914
-0.014051 -0.027099 0.008699 -0.0132 -0.012068 0.021042 0.033399 0.033203 -0.029721
0.002415 0.017262 -0.012505 0.001824 0.008862 0.004089 0.070342 0.016541 -0.004477
-0.000482 0.025453 -0.009389 -0.02893 -0.017569 0.013846 0.013026 0.012087 0.023432
-0.010646 -0.061301 0.009698 -0.011458 -0.005075 -0.044987 -0.02104 -0.008728 -0.018039
0.0247 0.031651 0.017027 0.022972 0.004372 0.04963 0.048358 0.013207 0.032737
-0.02148 -0.03068 0.0088 -0.002884 -0.003144 -0.004808 -0.036446 0.002515 -0.014139
-0.016098 -0.015625 0.014894 -0.009504 0.016497 0.00145 -0.043735 -0.002509 -0.044645
0.025781 -0.024013 0.013836 0.000845 0.004535 -0.01962 -0.072311 0.002744 0.007264
0.012808 -0.040867 -0.005376 0.005699 -0.001901 -0.012795 -0.025983 0.029647 0.029808
-0.039131 -0.006522 0.024116 0.011123 -0.004285 0.006979 0.004104 0.015061 -0.013305
0.025577 0.019256 0.011977 0.009132 0.004064 0.005776 -0.091962 -0.009601 0.003312
0.016949 -0.004723 0.033099 -0.008433 0.007143 -0.006235 0.015754 -0.020797 -0.01344
0.059762 0.039698 0.04466 0.024891 0.022931 0.073139 0.043575 0.019205 0.058795
0.005617 -0.02283 -0.001859 -0.004453 -0.005315 0.027846 0.046001 -0.013301 0.001354
0.004245 -0.000849 -0.012663 0.011384 0.019284 -0.020207 -0.00406 -0.011907 -0.014878
0.009121 0.001275 0.004527 0.011256 0.023251 0.021845 0.112772 -0.013415 0.029519
-0.038801 -0.002547 -0.00582 -0.006162 -0.001114 -0.009717 -0.007936 -0.014059 0.023561
-0.000459 -0.011489 -0.000944 0.0184 -0.013158 -0.032156 -0.04 0.020337 -0.029316
-0.024553 -0.001291 -0.018148 0.003731 -0.000226 0.047262 0.073718 0.008247 -0.002237
0.015291 -0.018966 -0.010397 -0.013696 0.005199 -0.018916 0.020299 -0.007726 -0.028475
0.006951 -0.056678 -0.000973 -0.010117 0.013042 0.021709 0.007607 0.00916 -0.021232
-0.025311 -0.078714 0.002532 -0.002004 0.007802 -0.021991 -0.090592 0.004311 -0.003301
0.01865 0.008595 0.009713 0.008032 -0.004203 0.008508 0.065773 -0.011297 -0.003549
0.008575 0.047118 -0.006926 -0.023904 -0.042648 0.033143 0.015578 0.004113 0.006173
0.005285 -0.01101 0.004262 0.002449 -0.00232 0.019102 -0.00236 0.015248 0.008495
0.024914 0.013553 0.019483 -0.000204 0.021163 0.00186 -0.027794 0.014347 -0.003276
-0.018956 -0.010029 -0.02176 -0.024639 0.004327 -0.025993 -0.027372 0.02232 -0.016901
-0.010457 0.044863 -0.000967 -0.004175 -0.010431 0.009091 0.008755 0.00735 -0.017192
-0.011486 -0.015697 -0.002517 0.01195 0.005041 -0.019907 -0.026658 0.022961 -0.00413
-0.020683 -0.060037 -0.021933 0.007665 0.006612 -0.010378 -0.053503 -0.031676 0.010246
-0.038918 0.013473 0.006549 -0.003084 0.003397 0.002547 -0.014805 0.002166 0.009418
-0.004691 0.007878 0.001183 -0.026397 0.008352 0.012403 -0.035519 0 -0.006699
-0.02704 -0.028823 -0.005514 -0.028384 -0.003358 -0.011808 -0.058782 -0.002162 -0.042148
-0.006374 0.028169 0.001188 0.021801 -0.016397 0.001643 -0.060196 -0.006716 -0.02087
-0.024891 -0.005382 0.01068 0.00064 -0.006623 -0.001193 -0.052842 0.000436 -0.010272
-0.010526 -0.006886 0.003523 0.010235 -0.006897 -0.000149 -0.03973 0.000218 0.002595
0.012766 0.073304 0.018916 -0.007809 0.010417 0.007018 0.102993 0 0.021222
0.042017 0.03784 0.014354 -0.031908 0.029782 -0.002076 0.043895 -0.008065 0.023822
-0.014617 -0.010227 -0.018491 0.010987 -0.028254 -0.032095 -0.051988 -0.011865 0.008663
-0.028133 0.077718 -0.003076 -0.008911 0.002747 -0.013663 0.033065 -0.001557 -0.02135
0.002895 -0.010004 -0.00752 0.008553 0.004566 -0.016809 0.034348 0.002673 -0.022066
0.009184 -0.017263 -0.02856 0.006958 -0.001591 -0.00095 0.059623 0.005775 -0.019231
0.040042 0.008569 0.0122 -0.002807 0.00865 -0.006972 0.022792 0.023631 0.031895
-0.015 -0.012319 -0.051571 -0.000217 -0.007222 -0.031754 -0.014624 -0.00151 -0.016975
0.027411 0.027957 0.028542 0.016244 0.011366 0.016315 0.026855 0.003673 0.018299
-0.005682 -0.00251 -0.002025 -0.007459 -0.005844 -0.015405 -0.027529 0.002153 0.012908
0.013168 -0.027265 -0.006698 0.008804 -0.020574 -0.041173 0.080679 -0.0058 -0.011267
-0.024031 -0.050022 -0.033306 0.002341 -0.01362 -0.018207 0 -0.013829 -0.030641
0.014322 0.030413 0.012471 0.024634 0.01802 0.027292 0.035363 -0.008545 -0.00209
-0.021551 -0.068723 0.010438 0.002902 -0.006897 -0.020266 -0.01265 -0.017238 -0.031414
-0.014684 0.066225 0.041116 -0.013019 -0.004398 -0.009039 -0.017297 -0.022262 0.008919
0.046506 0.080745 -0.023515 -0.008166 -0.002093 -0.033503 0.074967 -0.020239 0.031878
0.017923 0.020115 0.012245 -0.000422 -0.009786 0.0098 0.029715 -0.001174 0.021807
-0.043174 -0.035815 0.003024 0.010982 -0.002824 -0.029295 -0.057126 -0.001175 -0.025407
-0.007058 0.047579 0.00804 -0.00752 -0.02454 0.019441 0.021237 0.016706 0.010949
0.038335 -0.171713 0.027916 -0.001894 -0.003387 0.090628 -0.023853 0.014117 -0.033007
-0.00978 -0.039923 0.00097 0.001898 -0.126214 -0.009326 0.033208 0.019626 0.013333
-0.01037 0.001002 0.013178 -0.025468 -0.079167 0.020508 0.029715 0.009848 -0.000526
-0.013224 -0.022022 -0.016641 -0.062419 -0.003318 -0.03492 -0.055948 0.009087 0.003949
-0.05866 -0.02303 -0.002529 -0.030177 0.010896 -0.013996 -0.247661 -0.000439 -0.008655
0.049154 -0.032478 0.00429 0.011402 0.026946 0.024407 -0.045605 0.001758 0.006878
0.012289 0.006497 0.006796 0.0155 0.039359 -0.02467 0.071242 0.023251 0.018655
-0.024026 0.019903 -0.005979 0.022202 -0.003927 0.053708 -0.006488 -0.011576 0.018571
0.01192 -0.001582 0.014552 0.011312 -0.02619 -0.005755 0.02449 0.000868 0.005318
0.004609 -0.007396 0.024861 0.006711 0.010989 0.037043 -0.004781 0.0052 0.015869
-0.017079 0.014369 -0.009144 0.000889 0.008295 -0.009887 0.000801 -0.016598 0.028763
-0.01458 0.039874 -0.020716 0.020204 -0.036879 0.002416 -0.0248 -0.000438 -0.001687
-0.002114 -0.016145 0.005 0.007617 -0.013255 -0.005302 -0.003281 -0.013816 -0.023419
-0.019592 -0.018974 -0.010524 -0.030022 -0.015224 0.007269 -0.020576 -0.005115 -0.016564
-0.00081 0.006273 0.017018 0.014251 0.012125 0.00465 -0.02521 0.002459 0.009804
-0.026757 -0.018182 -0.013691 -0.015368 3e-04 -0.028093 -0.042241 -0.007135 -0.00946
-0.003332 0.007936 -0.005784 0.014463 -0.004192 0.001807 -0.058506 0.005839 0.000503
0.031206 -0.001575 0.013768 0.007797 0.004209 0.001639 -0.048757 0.004019 0.001005
0.003242 0.00368 0.005165 -0.012821 0.019461 0.030278 0.017085 0.002001 0.00276
-0.005925 -0.018858 -0.004948 -0.000224 -0.001175 -0.016362 0.040514 0.005326 -0.014264
-0.022487 -0.015483 0.016447 -0.01075 -0.003822 -0.029554 -0.042735 -0.000887 -0.018533
0.00582 0.011388 -0.003387 0.025583 -0.00059 0.015144 -0.026786 0.006878 -0.013192
0.011022 -0.031099 -0.012837 -0.006402 -0.001477 -0.017213 0.018349 -0.007052 -0.017038
0.030253 0.002767 0.013387 0.007998 0.020704 -0.000334 0.041041 0.005548 0.017333
-0.010582 -0.011038 -0.004718 -0.007714 -0.002898 -0.025363 -0.049038 -0.008387 -0.040629
0.020321 0.016183 0.003982 -0.005775 -0.006103 0.042287 0.031345 0.003561 0.017213
-0.003407 -0.021966 -0.012465 0.013181 0.002924 0.033508 -0.055882 0.015746 0.012356
0.03208 0.042673 0.004016 0.001985 0.005831 0.031945 0.062305 0.001965 0.013797
-0.004586 0.018848 -0.008381 0.009243 -0.004927 -0.00693 -0.009775 0.007845 -0.004711
-0.007423 -0.027484 -0.012678 0.013519 0.000582 -0.022953 -0.015795 -0.001081 -0.026821
-0.020113 -0.030978 -0.007782 0.000645 0.00262 -0.006349 -0.078235 -0.001299 -0.00027
-0.013421 0 -0.013333 -0.013545 0 0.03147 -0.054407 0.006502 -0.028378
0.016804 0.040381 -0.012321 -0.002398 -0.009343 -0.004181 0.028769 -0.006675 0.013074
0.011018 -0.016172 0.018109 0.015949 -0.014147 -0.002488 -0.03915 0.008238 0.000824
-0.014271 0.016438 0.020356 0.00172 0.008072 0.016526 -0.10943 0.059987 0.007682
-0.025533 -0.044744 -0.032346 0.007943 -0.001779 0.007055 0.065359 0.005882 -0.039477
-0.042409 -0.024831 -0.021217 0.003408 -0.01426 -0.026805 0.044172 -0.00363 -0.019274
-0.046544 0.005208 0.012883 -0.00934 0.027125 0.003599 0.014101 -0.008298 0.01185
-0.110059 -0.021877 0.02019 -0.01307 -0.017019 -0.051146 -0.132097 -0.025918 -0.135961
0.003989 -0.041789 -0.002375 0.031264 -0.021791 -0.024158 -0.026702 -0.014247 -0.094876
0.009934 0.045455 -0.016068 -0.015789 0 -0.024082 0.002743 -0.032944 -0.050402
-0.061967 -0.078731 -0.022379 0.006203 -0.031126 0.018119 0.023256 -0.010989 0.007692
