Date      hour minute second  PRICE  SIZE
20100607     6 02 04    10.9400       250
20100607     8 00 01    10.8800       500
20100607     8 00 01    10.8600       200
20100607     8 00 01    10.8600       300
20100607     8 00 01    10.8600       600
20100607     8 00 01    10.8500       500
20100607     8 00 02    10.9000       500
20100607     8 00 02    10.8400       500
20100607     8 00 02    10.9000       500
20100607     8 00 02    10.8600       400
20100607     8 00 17    10.9400       200
20100607     8 00 35    10.9400       200
20100607     8 01 09    10.9400       550
20100607     8 01 09    10.9400      1000
20100607     8 01 10    10.9500       400
20100607     8 01 36    10.9500      1050
20100607     8 01 36    10.9500       500
20100607     8 02 12    10.9500       450
20100607     8 06 43    10.9600       100
20100607     8 12 24    10.9500       800
20100607     8 13 34    10.9500      3200
20100607     8 14 40    10.9500       500
20100607     8 16 07    10.9500      2975
20100607     8 16 33    10.9500      2000
20100607     8 16 34    10.9500       500
20100607     8 16 34    10.9500       550
20100607     8 16 36    10.9500       475
20100607     8 23 28    10.9500      1000
20100607     8 23 38    10.9500       530
20100607     8 25 31    10.9500      2000
20100607     8 27 38    10.9000       400
20100607     8 31 41    10.9500       800
20100607     8 32 08    10.9600       500
20100607     8 32 08    10.9500       170
20100607     8 32 08    10.9600       170
20100607     8 32 12    10.9600       475
20100607     8 32 13    10.9600       425
20100607     8 33 22    10.9800      2000
20100607     8 33 38    10.9800       300
20100607     8 36 05    10.9900       500
20100607     8 36 05    11.0000       800
20100607     8 36 05    10.9800       700
20100607     8 39 35    10.9500       300
20100607     8 42 15    10.9500       200
20100607     8 44 57    10.9500       300
20100607     8 45 38    10.9200       500
20100607     8 46 53    10.9200       100
20100607     8 47 31    10.9200       500
20100607     8 49 29    10.9200      1745
20100607     8 53 25    10.9200       200
20100607     8 53 56    10.9200       300
20100607     8 53 56    10.9200       500
20100607     8 53 57    10.9200      1800
20100607     8 54 00    10.9200       455
20100607     8 56 02    10.9500       400
20100607     8 56 29    10.9000       200
20100607     9 01 58    10.9500      2000
20100607     9 03 06    10.9300      2000
20100607     9 07 23    10.9300       200
20100607     9 07 42    10.9200       150
20100607     9 09 23    10.9400       250
20100607     9 12 05    10.9400       100
20100607     9 16 04    10.9200       300
20100607     9 16 04    10.9200       700
20100607     9 18 31    10.9200      1000
20100607     9 18 51    10.9000       200
20100607     9 18 51    10.9000       300
20100607     9 20 13    10.9000       500
20100607     9 20 13    10.9000       600
20100607     9 20 13    10.9000       200
20100607     9 20 30    10.8900      1000
20100607     9 24 46    10.8900       710
20100607     9 28 21    10.8600      5000
20100607     9 29 59    10.8800       100
20100607     9 29 59    10.8800       100
20100607     9 29 59    10.8800       100
20100607     9 29 59    10.8800       100
20100607     9 30 00    10.8700      4740
20100607     9 30 00    10.8700      4740
20100607     9 30 01    10.8600       100
20100607     9 30 02    10.8800       100
20100607     9 30 02    10.8800       100
20100607     9 30 02    10.8800       100
20100607     9 30 02    10.8800       200
20100607     9 30 02    10.8800       100
20100607     9 30 03    10.8600    143400
20100607     9 30 03    10.8800      1000
20100607     9 30 04    10.8800       100
20100607     9 30 04    10.8800       100
20100607     9 30 05    10.8600       500
20100607     9 30 05    10.8700       100
20100607     9 30 05    10.8700       100
20100607     9 30 05    10.8700       100
20100607     9 30 07    10.8700       200
20100607     9 30 07    10.8700       100
20100607     9 30 08    10.8600       200
20100607     9 30 08    10.8600       108
20100607     9 30 08    10.8600      1850
20100607     9 30 08    10.8600       200
20100607     9 30 08    10.8600      1612
20100607     9 30 09    10.8600      4500
20100607     9 30 09    10.8600      3000
20100607     9 30 09    10.8600       149
20100607     9 30 09    10.8700      2000
20100607     9 30 09    10.8600       200
20100607     9 30 10    10.8600       200
20100607     9 30 11    10.8600       600
20100607     9 30 11    10.8600       151
20100607     9 30 11    10.8600       100
20100607     9 30 11    10.8600       200
20100607     9 30 13    10.8685       100
20100607     9 30 13    10.8600       700
20100607     9 30 13    10.8600       100
20100607     9 30 13    10.8600       200
20100607     9 30 13    10.8600       100
20100607     9 30 13    10.8600       200
20100607     9 30 13    10.8600       700
20100607     9 30 19    10.8696      1000
20100607     9 30 19    10.8700       600
20100607     9 30 24    10.8600       200
20100607     9 30 26    10.8600       100
20100607     9 30 26    10.8600       100
20100607     9 30 26    10.8600       200
20100607     9 30 26    10.8600       400
20100607     9 30 27    10.8600       100
20100607     9 30 27    10.8600       200
20100607     9 30 27    10.8600      1000
20100607     9 30 27    10.8600       500
20100607     9 30 28    10.8700       700
20100607     9 30 28    10.8700       700
20100607     9 30 28    10.8700       700
20100607     9 30 29    10.8699       268
20100607     9 30 29    10.8600       500
20100607     9 30 30    10.8600       100
20100607     9 30 30    10.8600       200
20100607     9 30 31    10.8700       700
20100607     9 30 31    10.8700       600
20100607     9 30 31    10.8600       100
20100607     9 30 32    10.8600       100
20100607     9 30 32    10.8600       200
20100607     9 30 32    10.8650       100
20100607     9 30 32    10.8600       100
20100607     9 30 33    10.8600       300
20100607     9 30 33    10.8600       100
20100607     9 30 33    10.8600       100
20100607     9 30 33    10.8600       100
20100607     9 30 33    10.8600       100
20100607     9 30 33    10.8600      3000
20100607     9 30 33    10.8600       100
20100607     9 30 33    10.8650       100
20100607     9 30 33    10.8600       543
20100607     9 30 33    10.8650       100
20100607     9 30 34    10.8600       100
20100607     9 30 34    10.8700       100
20100607     9 30 35    10.8602       100
20100607     9 30 35    10.8605       200
20100607     9 30 35    10.8605       200
20100607     9 30 35    10.8700       100
20100607     9 30 37    10.8700       100
20100607     9 30 37    10.8700       100
20100607     9 30 37    10.8700       100
20100607     9 30 37    10.8600       200
20100607     9 30 37    10.8700       100
20100607     9 30 37    10.8700       100
20100607     9 30 37    10.8600       100
20100607     9 30 37    10.8700       100
20100607     9 30 37    10.8600       100
20100607     9 30 37    10.8600       200
20100607     9 30 37    10.8600       100
20100607     9 30 37    10.8600       100
20100607     9 30 37    10.8600       100
20100607     9 30 37    10.8600       100
20100607     9 30 37    10.8600       100
20100607     9 30 37    10.8600       100
20100607     9 30 37    10.8600       100
20100607     9 30 37    10.8600       300
20100607     9 30 37    10.8600       200
20100607     9 30 37    10.8600      3200
20100607     9 30 37    10.8600       100
20100607     9 30 39    10.8600       133
20100607     9 30 41    10.8600       100
20100607     9 30 42    10.8600       114
20100607     9 30 42    10.8600       100
20100607     9 30 43    10.8700       100
20100607     9 30 48    10.8600       700
20100607     9 30 49    10.8601      2500
20100607     9 30 50    10.8690       100
20100607     9 30 50    10.8690       100
20100607     9 30 51    10.8700       500
20100607     9 30 52    10.8700       100
20100607     9 30 55    10.8696      1000
20100607     9 30 57    10.8600       100
20100607     9 30 57    10.8600       100
20100607     9 30 59    10.8600       900
