Mon Day Year    World   US
 01 03  1997 	23.18	22.9	
 01 10  1997 	23.84	23.56	
 01 17  1997 	22.99	22.79	
 01 24  1997 	22.05	21.83	
 01 31  1997 	21.87	21.16	
 02 07  1997 	21.56	20.97	
 02 14  1997 	20.25	19.93	
 02 21  1997 	19.78	19.38	
 02 28  1997 	18.72	18.05	
 03 07  1997 	18.54	17.74	
 03 14  1997 	18.57	17.79	
 03 21  1997 	18.81	18.36	
 03 28  1997 	18.51	17.95	
 04 04  1997 	17.62	17.09	
 04 11  1997 	16.66	16.55	
 04 18  1997 	16.59	16.32	
 04 25  1997 	16.94	16.59	
 05 02  1997 	17.25	16.98	
 05 09  1997 	17.27	16.73	
 05 16  1997 	18.16	17.82	
 05 23  1997 	18.83	18.45	
 05 30  1997 	18.4	17.97	
 06 06  1997 	17.69	17.45	
 06 13  1997 	16.52	16.5	
 06 20  1997 	16.57	16.4	
 06 27  1997 	16.89	16.71	
 07 04  1997 	17.39	17.09	
 07 11  1997 	16.92	16.81	
 07 18  1997 	17.13	16.91	
 07 25  1997 	17.26	17	
 08 01  1997 	17.68	17.31	
 08 08  1997 	17.77	17.7	
 08 15  1997 	17.44	17.33	
 08 22  1997 	17.43	17.39	
 08 29  1997 	17.08	16.99	
 09 05  1997 	17.22	17.04	
 09 12  1997 	17.13	16.88	
 09 19  1997 	17.19	16.59	
 09 26  1997 	17.61	16.95	
 10 03  1997 	18.66	17.92	
 10 10  1997 	19.34	18.61	
 10 17  1997 	18.57	17.77	
 10 24  1997 	18.51	17.75	
 10 31  1997 	18.38	17.59	
 11 07  1997 	18.25	17.41	
 11 14  1997 	18.28	17.37	
 11 21  1997 	18.07	17.19	
 11 28  1997 	17.83	16.87	
 12 05  1997 	17.01	16.17	
 12 12  1997 	16.41	15.62	
 12 19  1997 	16.04	15.42	
 12 26  1997 	15.95	15.41	
 01 02  1998 	15.21	14.86	
 01 09  1998 	14	13.8	
 01 16  1998 	13.42	13.26	
 01 23  1998 	13.33	12.95	
 01 30  1998 	13.82	13.26	
 02 06  1998 	13.38	13.05	
 02 13  1998 	12.91	12.77	
 02 20  1998 	12.51	12.38	
 02 27  1998 	11.96	11.66	
 03 06  1998 	11.81	11.59	
 03 13  1998 	10.94	10.69	
 03 20  1998 	10.5	10.38	
 03 27  1998 	12.52	12.4	
 04 03  1998 	12.39	12.48	
 04 10  1998 	11.83	11.91	
 04 17  1998 	11.94	11.92	
 04 24  1998 	12.13	11.99	
 05 01  1998 	12.39	12.28	
 05 08  1998 	12.68	12.8	
 05 15  1998 	12.52	12.62	
 05 22  1998 	12.2	12.2	
 05 29  1998 	12.39	12.38	
 06 05  1998 	12.11	12.06	
 06 12  1998 	11.11	11.01	
 06 19  1998 	9.91	9.62	
 06 26  1998 	10.83	10.74	
 07 03  1998 	10.82	10.72	
 07 10  1998 	10.98	10.68	
 07 17  1998 	11.11	11.11	
 07 24  1998 	11.3	11.03	
 07 31  1998 	11.7	11.53	
 08 07  1998 	11.49	11.34	
 08 14  1998 	11.02	10.8	
 08 21  1998 	11.33	10.98	
 08 28  1998 	11.53	11.17	
 09 04  1998 	11.61	11.14	
 09 11  1998 	11.78	11.5	
 09 18  1998 	11.81	11.79	
 09 25  1998 	13.06	13.07	
 10 02  1998 	13.76	13.5	
 10 09  1998 	13.01	12.64	
 10 16  1998 	12.01	11.69	
 10 23  1998 	11.5	11.07	
 10 30  1998 	12.11	11.77	
 11 06  1998 	11.79	11.44	
 11 13  1998 	11.37	10.84	
 11 20  1998 	10.61	9.99	
 11 27  1998 	10.54	9.72	
 12 04  1998 	9.48	8.87	
 12 11  1998 	9.16	8.51	
 12 18  1998 	9.59	8.95	
 12 25  1998 	9.41	8.73	
 01 01  1999 	9.76	9.1	
 01 08  1999 	10.37	10	
 01 15  1999 	10.59	10.14	
 01 22  1999 	10.25	9.63	
 01 29  1999 	10.38	9.89	
 02 05  1999 	10.04	9.6	
 02 12  1999 	9.31	8.9	
 02 19  1999 	9.46	8.99	
 02 26  1999 	10.01	9.62	
 03 05  1999 	10.26	10.03	
 03 12  1999 	11.16	11.12	
 03 19  1999 	12.28	12.1	
 03 26  1999 	13.09	12.9	
 04 02  1999 	14.09	14.14	
 04 09  1999 	13.87	13.77	
 04 16  1999 	14.32	14.24	
 04 23  1999 	15.37	15.39	
 04 30  1999 	15.62	15.83	
 05 07  1999 	15.94	16.17	
 05 14  1999 	15.14	15.29	
 05 21  1999 	14.47	14.52	
 05 28  1999 	14.59	14.63	
 06 04  1999 	14.21	14.07	
 06 11  1999 	15.32	15.21	
 06 18  1999 	15.62	15.55	
 06 25  1999 	15.67	15.47	
 07 02  1999 	16.28	16.16	
 07 09  1999 	17.4	16.97	
 07 16  1999 	18.07	17.56	
 07 23  1999 	18.29	17.78	
 07 30  1999 	18.75	18.23	
 08 06  1999 	18.74	18.32	
 08 13  1999 	19.55	19.15	
 08 20  1999 	19.97	19.58	
 08 27  1999 	19.78	19.24	
 09 03  1999 	20.09	19.64	
 09 10  1999 	21.33	20.82	
 09 17  1999 	22.24	21.84	
 09 24  1999 	22.32	21.97	
 10 01  1999 	22.68	22.29	
 10 08  1999 	21.77	21.1	
 10 15  1999 	21.08	20.39	
 10 22  1999 	21.35	20.64	
 10 29  1999 	21.28	20.62	
 11 05  1999 	21.49	20.73	
 11 12  1999 	23.25	22.39	
 11 19  1999 	23.96	23.24	
 11 26  1999 	24.64	24.24	
 12 03  1999 	24.33	23.43	
 12 10  1999 	24.7	24.05	
 12 17  1999 	24.26	23.6	
 12 24  1999 	24.44	23.65	
 12 31  1999 	24.42	23.86	
 01 07  2000 	23.17	22.68	
 01 14  2000 	23.69	23.18	
 01 21  2000 	25.59	25.56	
 01 28  2000 	25.74	25.34	
 02 04  2000 	25.95	25.53	
 02 11  2000 	26.36	26.1	
 02 18  2000 	26.84	26.62	
 02 25  2000 	26.62	26.6	
 03 03  2000 	27.15	27.55	
