date       logaapl   logbnd
20010103 0.09607352 -0.007288054
20010104 0.04112755 0.005226682
20010105 -0.04112725 0.004442927
20010108 0.01138494 0.001836416
20010109 0.03704142 -0.001259922
20010110 -0.03704165 -0.003717007
20010111 0.08323024 -0.001845586
20010112 -0.0461895 -0.004319661
20010116 -0.003642626 0.00119976
20010117 -0.01841655 0.003844066
20010118 0.105732 0.004225893
20010119 0.04255936 -0.003646938
20010122 -0.0129039 -0.001882831
20010123 0.06291376 -0.0002537289
20010124 0 -0.002177464
20010125 -0.02782248 0.003300632
20010126 -0.01898814 -0.0001810709
20010129 0.1031214 -0.0009783496
20010130 0.002877855 0.005278965
20010131 -0.005763578 0.005322988
20010201 -0.02339248 0.003401912
20010202 -0.02395361 -0.003545405
20010205 -0.02144021 0.0009681758
20010206 0.04539393 -0.001793658
20010207 -0.01791044 0.001255898
20010208 0 -0.0003586672
20010209 -0.08154959 0.003151865
20010212 0.02898777 -0.0006796759
20010213 -0.0289871 -0.00100247
20010214 0.01941824 -0.001613222
20010215 0.02843779 -0.003198278
20010216 -0.05441395 0.004058987
20010220 -0.03685487 0.0008599685
20010221 0.03025468 -0.00129023
20010222 -0.003316493 0.000501954
20010223 0 0.003470921
20010226 0.03589307 0.002212232
20010227 -0.006430632 0.003735396
20010228 -0.05981901 0.00209283
20010301 0.02702842 0.002548043
20010302 0.02631763 -0.004072893
20010305 0.05679802 -3.548931e-05
20010306 0.05374454 -0.0003194605
20010307 -0.01169613 0.003543841
20010308 -0.02080289 0.001343373
20010309 -0.02739895 -0.001591034
20010312 -0.08365012 0.0007074387
20010313 0.04911011 -0.0008489866
20010314 0.04375656 0.004519622
20010315 -0.03738727 0.001970929
20010316 -0.003180051 0.001756482
20010319 0.04666505 -0.002108149
20010320 -0.04348491 0.00221344
20010321 0.02197869 0.001122413
20010322 0.07188708 0.002660693
20010323 0.06164434 -0.003397135
20010326 -0.05450159 -0.001650194
20010327 0.04883397 -0.006097687
20010328 -0.03108621 0.0004948395
