year mon CA US
2000 9 4.9 3.9
2000 10 4.8 3.9
2000 11 4.7 3.9
2000 12 4.7 3.9
2001 1 4.7 4.2
2001 2 4.8 4.2
2001 3 4.9 4.3
2001 4 4.9 4.4
2001 5 5.1 4.3
2001 6 5.2 4.5
2001 7 5.4 4.6
2001 8 5.6 4.9
2001 9 5.8 5
2001 10 6.1 5.3
2001 11 6.2 5.5
2001 12 6.4 5.7
2002 1 6.5 5.7
2002 2 6.6 5.7
2002 3 6.6 5.7
2002 4 6.7 5.9
2002 5 6.7 5.8
2002 6 6.7 5.8
2002 7 6.7 5.8
2002 8 6.7 5.7
2002 9 6.7 5.7
2002 10 6.8 5.7
2002 11 6.8 5.9
2002 12 6.8 6
2003 1 6.8 5.8
2003 2 6.9 5.9
2003 3 6.9 5.9
2003 4 6.9 6
2003 5 7 6.1
2003 6 7 6.3
2003 7 7 6.2
2003 8 6.9 6.1
2003 9 6.9 6.1
2003 10 6.8 6
2003 11 6.7 5.8
2003 12 6.6 5.7
2004 1 6.5 5.7
2004 2 6.5 5.6
2004 3 6.5 5.8
2004 4 6.5 5.6
2004 5 6.4 5.6
2004 6 6.3 5.6
2004 7 6.2 5.5
2004 8 6.1 5.4
2004 9 6 5.4
2004 10 6 5.5
2004 11 5.9 5.4
2004 12 5.8 5.4
2005 1 5.8 5.3
2005 2 5.7 5.4
2005 3 5.6 5.2
2005 4 5.5 5.2
2005 5 5.4 5.1
2005 6 5.4 5
2005 7 5.4 5
2005 8 5.3 4.9
2005 9 5.3 5
2005 10 5.3 5
2005 11 5.2 5
2005 12 5.1 4.9
2006 1 5 4.7
2006 2 5 4.8
2006 3 4.9 4.7
2006 4 4.9 4.7
2006 5 4.9 4.6
2006 6 4.9 4.6
2006 7 4.9 4.7
2006 8 4.9 4.7
2006 9 4.8 4.5
2006 10 4.8 4.4
2006 11 4.8 4.5
2006 12 4.8 4.4
2007 1 4.9 4.6
2007 2 5 4.5
2007 3 5 4.4
2007 4 5.1 4.5
2007 5 5.2 4.4
2007 6 5.3 4.6
2007 7 5.4 4.7
2007 8 5.5 4.6
2007 9 5.5 4.7
2007 10 5.6 4.7
2007 11 5.7 4.7
2007 12 5.8 5
2008 1 5.9 5
2008 2 6 4.8
2008 3 6.1 5.1
2008 4 6.4 4.9
2008 5 6.6 5.4
2008 6 7 5.6
2008 7 7.3 5.8
2008 8 7.5 6.1
2008 9 7.8 6.2
2008 10 8.2 6.6
2008 11 8.7 6.8
2008 12 9.2 7.3
2009 1 9.7 7.8
2009 2 10.2 8.2
2009 3 10.6 8.6
2009 4 11 8.9
2009 5 11.3 9.4
2009 6 11.6 9.5
2009 7 11.8 9.5
2009 8 12 9.7
2009 9 12.1 9.8
2009 10 12.2 10.1
2009 11 12.3 9.9
2009 12 12.3 9.9
2010 1 12.5 9.7
2010 2 12.5 9.7
2010 3 12.6 9.7
2010 4 12.5 9.8
2010 5 12.4 9.6
2010 6 12.3 9.5
2010 7 12.3 9.5
2010 8 12.4 9.6
2010 9 12.4 9.6
2010 10 12.4 9.7
2010 11 12.4 9.8
2010 12 12.5 9.4
2011 1 12.4 9
2011 2 12.1 8.9
2011 3 12 8.8
2011 4 11.8 9
2011 5 11.7 9.1
2011 6 11.8 9.2
2011 7 12 9.1
2011 8 12.1 9.1
2011 9 11.9 9.1
