date           ko            sp
19610131       0.009331      0.063156
19610228       0.103236      0.026870
19610330       0.012291      0.025536
19610428      -0.050000      0.003843
19610531       0.087719      0.019139
19610630      -0.058065     -0.028846
19610731       0.008621      0.032797
19610831       0.022792      0.019623
19610929       0.034540     -0.019686
19611031       0.005420      0.028323
19611130       0.125067      0.039347
19611229      -0.002410      0.003225
19620131      -0.099034     -0.037876
19620228      -0.016086      0.016270
19620330       0.041962     -0.005860
19620430      -0.026316     -0.061970
19620531      -0.091892     -0.085990
19620629      -0.082143     -0.081838
19620731       0.120915      0.063562
19620831      -0.007289      0.015284
19620928      -0.070778     -0.048207
19621031       0.012739      0.004443
19621130       0.092453      0.101557
19621231      -0.011594      0.013492
19630131       0.058651      0.049128
19630228      -0.002770     -0.028852
19630329       0.046389      0.035464
19630430      -0.010695      0.048520
19630531       0.005405      0.014327
19630628       0.015323     -0.020198
19630731       0.018667     -0.003460
19630830       0.070681      0.048749
19630930       0.004156     -0.011034
19631031       0.014706      0.032218
19631129       0.019807     -0.010539
19631231       0.102503      0.024444
19640131       0.021622      0.026926
19640228       0.003175      0.009865
19640331       0.067511      0.015167
19640430       0.005964      0.006077
19640528       0.009881      0.011452
19640630       0.034247      0.016424
19640731       0.050428      0.018240
19640831      -0.009058     -0.016230
19640930      -0.007313      0.028718
19641030      -0.033333      0.008078
19641130       0.032567     -0.005185
19641231       0.050373      0.003909
19650129       0.094139      0.033156
19650226       0.022727     -0.001485
19650331      -0.062857     -0.014526
19650430       0.074957      0.034239
19650528      -0.001585     -0.007743
19650630      -0.018413     -0.048632
19650730       0.001626      0.013433
19650831       0.019481      0.022522
19650930       0.005414      0.032006
19651029      -0.015924      0.027345
19651130       0.057282     -0.008764
19651231       0.058462      0.008951
19660131      -0.002907      0.004869
19660228      -0.072886     -0.017873
19660331       0.062579     -0.021815
19660429      -0.071429      0.020509
19660531       0.016026     -0.054140
19660630      -0.049211     -0.016138
19660729       0.030050     -0.013453
19660831      -0.027553     -0.077751
19660930      -0.000333     -0.007004
19661031       0.105705      0.047544
19661130       0.049772      0.003117
19661230       0.042151     -0.001492
19670131       0.059972      0.078178
19670228       0.057895      0.001963
19670331       0.032587      0.039410
19670428       0.096852      0.042239
19670531      -0.004415     -0.052441
19670630       0.097783      0.017512
19670731       0.035497      0.045344
19670831      -0.061704     -0.011715
19670929       0.037787      0.032785
19671031       0.000000     -0.029056
19671130       0.119394      0.001065
19671229      -0.039855      0.026277
19680131      -0.049057     -0.043848
19680229       0.011905     -0.031223
19680329       0.051176      0.009400
19680430       0.097378      0.081929
