day mon year    earns
30 1 01992         0.11
23 4 1992         0.18
21 7 1992         0.18
20 10 1992         0.17
01 2 1993         0.12
29 4 1993         0.20
21 7 1993         0.19
20 10 1993         0.18
01 2 1994         0.13
28 4 1994         0.22
20 7 1994         0.22
19 10 1994         0.21
24 1 01995         0.15
18 4 1995         0.26
18 7 1995         0.26
18 10 1995         0.24
24 1 01996         0.18
16 4 1996         0.30
16 7 1996         0.30
16 10 1996         0.28
21 1 01997         0.21
15 4 1997         0.34
15 7 1997         0.34
14 10 1997         0.32
20 1 01998         0.24
14 4 1998         0.37
14 7 1998         0.37
13 10 1998         0.35
26 1 01999         0.25
20 4 1999         0.40
20 7 1999         0.41
19 10 1999         0.38
25 1 02000         0.28
18 4 2000         0.47
18 7 2000         0.47
17 10 2000         0.45
23 1 02001         0.33
17 4 2001         0.53
17 7 2001         0.52
16 10 2001         0.50
22 1 02002         0.39
16 4 2002         0.59
16 7 2002         0.60
15 10 2002         0.60
21 1 02003         0.48
15 4 2003         0.69
15 7 2003         0.70
14 10 2003         0.69
20 1 02004         0.57
13 4 2004         0.83
13 7 2004         0.82
12 10 2004         0.78
25 1 02005         0.67
19 4 2005         0.97
19 7 2005         0.93
18 10 2005         0.87
24 1 02006         0.73
18 4 2006         0.99
18 7 2006         0.98
17 10 2006         0.98
23 1 02007         0.81
17 4 2007         1.16
17 7 2007         1.05
16 10 2007         1.06
22 1 02008         0.88
15 4 2008         1.26
15 7 2008         1.18
14 10 2008         1.17
20 1 02009         0.94
14 4 2009         1.26
14 7 2009         1.15
13 10 2009         1.20
26 1 02010         1.02
20 4 2010         1.29
20 7 2010         1.21
19 10 2010         1.23
25 1 02011         1.03
19 4 2011         1.35
