Country,Cannabis
Armenia,3
Austria,17
Belgium,24
Bulgaria,22
Croatia,18
Cyprus,5
Czech Republic,45
Estonia,26
Faroe Islands,6
Finland,8
France,31
Germany,20
Greece,6
Hungary,13
Iceland,9
Ireland,20
Isle of Man,34
Italy,23
Latvia,18
Lithuania,18
Malta,13
Monaco,28
Netherlands,28
Norway,6
Poland,16
Portugal,13
Romania,4
Russia,19
Slovak Republic,32
Slovenia,22
Sweden,7
Switzerland,33
Ukraine,14
United Kingdom,29
