mpg
21.964
23.694
18.824
20.851
26.37
22.81
25.785
24.353
23.385
23.381
28.175
21.232
25.603
21.064
22.067
23.867
24.226
19.512
22.147
19.948
22.65
21.197
20.748
20.351
26.54
25.385
21.613
21.4
22.035
21.81
23.806
23.678
26.462
21.514
19.7
18.362
25.403
23.158
22.091
23.768
20.201
21.111
20.573
27.434
20.256
22.687
25.206
21.169
22.747
24
19.375
26.113
20.625
21.511
21.441
21.98
21.667
20.26
19.125
23.652
18.693
18.374
24.885
21.405
21.806
25.111
20.903
19.343
23.235
25.088
20.9
28.037
19.789
22.576
21.374
26.894
20.139
21.399
16.767
14.684
21.739
23.803
20.563
25.188
25.794
24.122
23.356
24.632
23.407
22.958
20.815
20.762
21.194
21.667
23.979
24.514
24.5
22.344
22.847
19.551
