Average Monthly Spend
969.74
915.04
197.57
77.31
196.27
344.39
268.32
45
70.4
365.54
655.88
227.7
255.37
0
384.37
402.67
208.56
2323.46
1698.96
1042.01
45
0
1027.85
66.62
26.67
550.37
1268.17
218.89
268.77
512.8
4991.18
1676.24
775.26
498.72
0
79.8
8.72
124.64
-2.88
0
744.37
54.54
1724.16
0
322.01
953.14
708.92
1725.15
130
945.19
337.12
604.23
305.1
341.35
1171.26
903.28
180.74
1675.53
106.98
440.5
130.31
1194.21
188.08
56.63
800.99
220.69
862.04
166.09
1429.02
1775.9
504.85
288.48
263.32
194.57
168.17
3391.47
221.84
110.48
167.52
330.39
971.86
187.68
215.53
1590.9
0
1391.88
1322.54
3799.04
421.04
0
111.6
186.19
579.18
807.2
79.95
382.74
1096.03
118.21
1371.94
415
329.18
95.15
1492.59
421.39
727.22
536.98
599.86
1372.98
55.61
621.75
655.24
26.67
523.42
134.85
648.39
224.11
222.37
102.66
340.63
773.9
317.12
463.53
50.2
45
373.72
215.9
979.44
248.7
714.85
418.62
60.42
87.73
3.42
28.89
192.1
217.06
708.7
66.9
137.2
323.97
162.02
796.97
1484.94
352.65
132.72
576.25
26.67
82.21
627.85
121.05
549.85
78.72
1802.08
347.45
328.39
1704.83
589.72
229.48
3499.73
201.26
240.89
75.57
55.74
45
51.85
139.18
354.05
1331.74
1076.32
845.42
1231.38
1938.28
993.72
864.23
1.09
0.92
831.25
342.21
156.9
88.77
137.92
319.48
317.36
917.92
454.93
54.86
407.09
444.78
54.04
1362.8
787.21
711.27
2014.02
463.88
0
1.9
56.33
86.01
763.72
87.11
166.53
80.58
421.86
324.47
1071.67
85.15
0
0
357.21
111.99
266.92
141.61
68.22
34.8
12.53
0
200.94
105.09
658.06
0
26
222.45
21.38
0
175.87
645.44
137.9
191.15
643.68
336
251.92
145.4
214.45
126.99
83.36
0
-18.33
23.72
132.36
132.7
-0.01
192.45
152.59
500.87
602.87
1253.4
86.55
74.93
254
247.45
91.82
1874.79
773.48
272.52
0
1294.35
39.86
0
466.43
83.72
329.35
1574.71
1119.34
965.95
125.47
1919.81
41.41
45.88
103.4
500.43
665.03
256.61
398.06
58.6
1218.15
53.49
19.3
207.22
80.11
0
895.05
657.67
221.58
159.95
175.25
115.42
24.12
54.22
1405.08
395.98
195.03
253.19
137.22
824.77
137.67
350.8
49.57
200.08
761.44
152.03
169.42
164.73
183.72
416.25
69.82
51.18
742.56
23.71
27
2675.72
0
171.69
253.88
918.33
45.34
189.45
388.96
109.89
0
1464.5
52.64
214.96
22.21
118.85
309.91
104.16
311.09
102.46
669.35
338.67
107.55
321.93
72.74
28.19
506.1
55.05
28.26
38.34
1271.75
93.45
1424.11
338.9
6501.87
148.72
1620.92
43.65
0
316.26
0
10
159.84
33.39
405.82
0
307
86.67
22.53
0
147.5
276.15
159.38
47.83
140.46
3107.77
153.45
591.43
434
0
226.79
38.9
0
13.62
113.87
0
79.42
79.92
554.11
888.06
83.05
7759.66
24.75
0
960.92
37.37
171.46
48.89
1025.4
469.23
166.23
0
14.61
1053.12
2053.47
23.63
98.66
27.8
2514.68
349.96
336.93
34.63
10
160.86
48.12
102.37
1025.45
329.83
76.47
131.38
510.55
95.95
27.37
49.21
147.52
149.99
585.49
47.01
47.77
33.88
236.4
749.98
19.85
35.03
103.67
192.59
0
195.94
26.56
208.17
241.58
1385.57
661.4
1266.53
256.38
297.72
148.77
224.75
0
114.26
33.71
2004.43
509.98
159.68
945.13
182.09
741.4
495.46
1526.59
202.42
30.79
95.76
354.82
320.48
56.86
277.25
35.5
171.5
127.33
0
26.3
1069.31
90.37
865.04
46.99
418.81
496.36
7.99
642.37
985.72
946.72
100.3
925.38
3094.43
94.66
41.7
477.78
219.42
276.8
36.49
1541.87
0.02
528.7
782.13
187.14
885.99
0
329.85
526.93
466.63
430.92
41.42
1428.74
990.47
2884.93
261.52
1237.04
1235.2
715.13
1205.65
31.07
0
