tstamp	tyear	pow
200201161245   15.53125   7033
200201161250   15.53472   7445
200201161255   15.53819   6736
200201161300   15.54167   6546
200201161305   15.54514   6302
200201161310   15.54861   9883
200201161315   15.55208  10653
200201161320   15.55556  10653
200201161325   15.55903  10234
200201161330   15.56250  10478
200201161335   15.56597   9982
200201161340   15.56944   9174
200201161345   15.57292   8877
200201161350   15.57639   8504
200201161355   15.57986   8001
200201161400   15.58333   7887
200201161405   15.58681   7247
200201161410   15.59028   6698
200201161415   15.59375   6088
200201161420   15.59722   5730
200201161425   15.60069   5700
200201161430   15.60417   5898
200201161435   15.60764   6309
200201161440   15.61111   6751
200201161445   15.61458   7513
200201161450   15.61806   7551
200201161455   15.62153   7498
200201161500   15.62500   7536
200201161505   15.62847   6797
200201161510   15.63194   6096
200201161515   15.63542   5898
200201161520   15.63889   6332
200201161525   15.64236   6622
200201161530   15.64583   6683
200201161535   15.64931   7102
200201161540   15.65278   7582
200201161545   15.65625   8062
200201161550   15.65972   8032
200201161555   15.66319   7970
200201161600   15.66667   8367
200201161605   15.67014   8588
200201161610   15.67361   8679
200201161615   15.67708   8565
200201161620   15.68056   7506
200201161625   15.68403   6492
200201161630   15.68750   6332
200201161635   15.69097   5098
200201161640   15.69444   4808
200201161645   15.69792   5578
200201161650   15.70139   6363
200201161655   15.70486   6683
200201161700   15.70833   6340
200201161705   15.71181   7155
200201161710   15.71528   7810
200201161715   15.71875   8938
200201161720   15.72222   9106
200201161725   15.72569   9296
200201161730   15.72917  10234
200201161735   15.73264  11826
200201161740   15.73611  12017
200201161745   15.73958  11621
200201161750   15.74306  11689
200201161755   15.74653  14318
200201161800   15.75000  15126
200201161805   15.75347  15331
200201161810   15.75694  14470
200201161815   15.76042  12581
200201161820   15.76389  14089
200201161825   15.76736  12299
200201161830   15.77083   9464
200201161835   15.77431   9213
200201161840   15.77778   9251
200201161845   15.78125   8572
200201161850   15.78472   8359
200201161855   15.78819   7247
200201161900   15.79167   6858
200201161905   15.79514   6812
200201161910   15.79861   7018
200201161915   15.80208   7696
200201161920   15.80556   8954
200201161925   15.80903   8611
200201161930   15.81250   6972
