    T      price
    0.1260   99.3930
    0.6219   96.9240
    1.1260   94.5110
    1.6219   92.0700
    2.1260   89.6440
    2.6219   87.2950
    3.1260   84.9490
    3.6219   82.6980
    4.1260   80.4270
    4.6219   78.2930
    5.1260   76.1210
    5.6219   73.9900
    6.1260   71.9050
    6.6219   69.9840
    7.1260   67.7690
    7.6219   65.7330
    8.1260   63.6450
    8.6219   61.7070
    9.1260   59.8280
    9.6219   58.0740
   10.1260   56.2460
   10.6219   54.5280
   11.1260   52.7930
   11.6219   51.1420
   12.1260   49.4950
   12.6219   47.9320
   13.1260   46.3780
   13.6219   44.8620
   14.1260   43.2990
   14.6219   41.8560
   15.1260   40.4490
   15.6219   39.1250
   16.1260   37.8310
   16.6219   36.5890
   17.1260   35.3700
   17.6219   34.1950
   18.1260   33.0360
   18.6219   31.9260
   19.1260   30.8640
    0.3699   98.1550
    0.8740   95.7170
    1.3699   93.2150
    1.8740   90.8520
    2.3699   88.4810
    2.8740   86.1400
    3.3699   83.7970
    3.8740   81.5490
    4.3699   79.3770
    4.8740   77.2510
    5.3699   75.0330
    5.8740   72.9270
    6.3699   71.0360
    6.8740   68.8680
    7.3699   66.7350
    7.8740   64.7150
    8.3699   62.6330
    8.8740   60.7760
    9.3699   58.9320
    9.8740   57.2200
   10.3699   55.3730
   10.8740   53.6750
   11.3699   51.9760
   11.8740   50.3380
   12.3699   48.6980
   12.8740   47.1550
   13.3699   45.6190
   13.8740   44.1210
   19.6219   29.8160
   14.3699   42.5760
   15.3699   39.7800
   15.8740   38.4860
   16.3699   37.2090
   16.8740   35.9840
   17.3699   34.7810
   17.8740   33.6230
   18.3699   32.4800
   18.8740   31.4030
   19.3699   30.3390
   19.8740   29.3170
   20.1260   28.8090
   20.3699   28.3140
   20.6219   27.8210
   20.8740   27.3560
   21.1260   26.9050
   21.3699   26.4760
   21.6219   26.0540
   21.8740   25.6540
   22.3699   24.8410
   22.8740   24.0800
   14.8740   41.1510
   23.1260   23.6900
   23.3699   23.3260
   23.6219   22.9640
   23.8740   22.6110
   24.1260   22.2750
   24.3699   21.9330
   22.1260   25.2290
   22.6219   24.4560
   24.6219   21.5920
   25.1260   20.9920
   24.8740   21.2710
   25.3699   20.6950
   25.6219   20.4150
   25.8740   20.1640
   26.1260   19.9430
   26.6219   19.4620
   26.8740   19.2170
   27.1260   19.0820
   26.3699   19.6900
   27.6219   18.5830
   27.3699   18.8600
   27.8740   18.3680
   28.3699   17.9410
   28.8740   17.4550
   29.1260   17.2640
   28.1260   18.1640
   28.6219   17.6940 
