unsteady_bouss_testproblem

Specification of unsteady Boussinesq problem.

choose specific example
     1  Bottom heated cavity
     2  Laterally heated cavity
     3  Bottom heated forward step : 1

-----------------------------------------------------------
Boussinesq flow in a rectangular cavity [0,L]x[0,H]
-----------------------------------------------------------

Grid generation for Boussinesq box domain 
Input the domain height H (default 8) : 1
Input the domain width  L (default 1) : 8
Grid type: uniform/stretched 1/2 (default stretched) : 1
Input the number of elements in y direction : 20
Number of elements in x-direction. 
Input the multiplication factor in x-direction (default L/H) : 
Choose node enumeration direction x/y : 1/2 (default is x) : 2
Type of BC for the temperature on vertical walls:
   1   Adiabatic (Neumann, default)
   2   Perfectly conducting (Dirichlet) : 

Grid statistics (level  1):
   Number of elements:  3200 (160 x  20)
   hxmin=0.0500    hxmax=0.0500
   hymin=0.0500    hymax=0.0500
Grid partitioning done in    0.228 seconds
Grid data saved in box_grid1h.mat.

SPACE DISCRETISATION OF THE BOUSSINESQ PROBLEM (u,p,T): 
Setting up Q2-Q1-Q2 matrices:  
   Number of elements:              3200
   Number of velocity dofs (x+y):  26322
   Number of pressure dofs:         3381
   Number of temperature dofs:     13161
   Total number of dofs:           42864
   System setup in    1.404 seconds
Grid data saved in rect_grid1h.mat.
System matrices saved in rect_bouss_nobc.mat.


Unsteady Boussinesq flow in a cavity domain ...
To restart integration from Checkpoint datafile run restart_bouss
Rayleigh number (default 3.4e5) : 15000
Prandtl number (default 0.71) : 7.1
target time? (default 100) : 300
number of timesteps (x200)? (default 5) : 2
accuracy tolerance? (default 3e-5) : 1e-6
number of nonlinear Picard correction steps? (default is none) : 0
averaging frequency? (default 10) : 
plot solution evolution? 1/0 : 
generate solution history data points? 1/0 (default is no) : 
      fluid viscosity parameter is 2.18e-02 
temperature viscosity parameter is 3.06e-03 
Integrating using stabilized TR ...
intermediate (CheckPoint) datafile: stabtrBouss_restart
[Warning: Matrix is close to singular or badly scaled. Results may be inaccurate. RCOND =
1.799118e-23.] 
[> In <a href="matlab: opentoline('/Users/davidsilvester/Desktop/ifiss3.3/boussinesq_flow/stabtrBouss.m',108,1)">stabtrBouss at 108</a>
  In <a href="matlab: opentoline('/Users/davidsilvester/Desktop/ifiss3.3/boussinesq_flow/unsteady_bouss.m',48,1)">unsteady_bouss at 48</a>
  In <a href="matlab: opentoline('/Users/davidsilvester/Desktop/ifiss3.3/boussinesq_flow/test_problems/unsteady_bouss_testproblem.m',16,1)">unsteady_bouss_testproblem at 16</a>] 

lastmsg =

Matrix is close to singular or badly scaled. Results may be inaccurate. RCOND =  1.799118e-23.

This should not cause difficulty for enclosed flow problems.

 StabTR with no nonlinear corrections

   step  timestep    time    meanKE   vorticity
    69   6.31e-03     0.17   0.0002   0.0007   
    70   6.75e-03     0.18   0.0002   0.0007   --- Averaging
    71   6.74e-03     0.18   0.0002   0.0007   
    72   7.33e-03     0.19   0.0002   0.0006   
    73   6.61e-03     0.20   0.0002   0.0006   
    74   7.63e-03     0.20   0.0002   0.0006   
    75   6.76e-03     0.21   0.0002   0.0005   
    76   7.35e-03     0.22   0.0002   0.0005   
    77   7.09e-03     0.23   0.0002   0.0005   
    78   7.95e-03     0.23   0.0001   0.0005   
    79   7.77e-03     0.24   0.0001   0.0004   
    80   8.29e-03     0.25   0.0001   0.0004   --- Averaging
    81   8.26e-03     0.25   0.0001   0.0004   
    82   8.75e-03     0.26   0.0001   0.0004   
    83   8.24e-03     0.27   0.0001   0.0003   
    84   9.43e-03     0.28   0.0001   0.0003   
    85   8.51e-03     0.29   0.0001   0.0003   
    86   9.41e-03     0.30   0.0001   0.0003   
    87   8.93e-03     0.31   0.0001   0.0003   
    88   9.82e-03     0.32   0.0001   0.0003   
    89   9.53e-03     0.33   0.0001   0.0002   
    90   1.03e-02     0.34   0.0001   0.0002   --- Averaging
    91   1.01e-02     0.34   0.0001   0.0002   
    92   1.05e-02     0.35   0.0001   0.0002   
    93   1.04e-02     0.36   0.0001   0.0002   
    94   1.13e-02     0.37   0.0001   0.0002   
    95   1.07e-02     0.38   0.0001   0.0002   
    96   1.17e-02     0.40   0.0000   0.0002   
    97   1.13e-02     0.41   0.0000   0.0001   
    98   1.22e-02     0.42   0.0000   0.0001   
    99   1.19e-02     0.43   0.0000   0.0001   
   100   1.28e-02     0.44   0.0000   0.0001   --- Averaging
   101   1.26e-02     0.45   0.0000   0.0001   
   102   1.31e-02     0.46   0.0000   0.0001   
   103   1.33e-02     0.48   0.0000   0.0001   
   104   1.39e-02     0.49   0.0000   0.0001   
   105   1.38e-02     0.50   0.0000   0.0001   
   106   1.46e-02     0.52   0.0000   0.0001   
   107   1.45e-02     0.53   0.0000   0.0001   
   108   1.54e-02     0.55   0.0000   0.0001   
   109   1.54e-02     0.56   0.0000   0.0001   
   110   1.63e-02     0.58   0.0000   0.0001   --- Averaging
   111   1.63e-02     0.59   0.0000   0.0001   
   112   1.68e-02     0.61   0.0000   0.0001   
   113   1.73e-02     0.62   0.0000   0.0001   
   114   1.79e-02     0.64   0.0000   0.0001   
   115   1.82e-02     0.66   0.0000   0.0001   
   116   1.90e-02     0.68   0.0000   0.0001   
   117   1.94e-02     0.70   0.0000   0.0001   
   118   2.02e-02     0.72   0.0000   0.0001   
   119   2.06e-02     0.74   0.0000   0.0001   
   120   2.14e-02     0.76   0.0000   0.0000   --- Averaging
