unsteady_bouss_testproblem

Specification of unsteady Boussinesq problem.

choose specific example
     1  Bottom heated cavity
     2  Laterally heated cavity
     3  Bottom heated forward step : 1

-----------------------------------------------------------
Boussinesq flow in a rectangular cavity [0,L]x[0,H]
-----------------------------------------------------------

Grid generation for Boussinesq box domain 
Input the domain height H (default 8) : 1
Input the domain width  L (default 1) : 8
Grid type: uniform/stretched 1/2 (default stretched) : 1
Input the number of elements in y direction : 20
Number of elements in x-direction. 
Input the multiplication factor in x-direction (default L/H) : 
Choose node enumeration direction x/y : 1/2 (default is x) : 2
Type of BC for the temperature on vertical walls:
   1   Adiabatic (Neumann, default)
   2   Perfectly conducting (Dirichlet) : 

Grid statistics (level  1):
   Number of elements:  3200 (160 x  20)
   hxmin=0.0500    hxmax=0.0500
   hymin=0.0500    hymax=0.0500
Grid partitioning done in    0.228 seconds
Grid data saved in box_grid1h.mat.

SPACE DISCRETISATION OF THE BOUSSINESQ PROBLEM (u,p,T): 
Setting up Q2-Q1-Q2 matrices:  
   Number of elements:              3200
   Number of velocity dofs (x+y):  26322
   Number of pressure dofs:         3381
   Number of temperature dofs:     13161
   Total number of dofs:           42864
   System setup in    1.404 seconds
Grid data saved in rect_grid1h.mat.
System matrices saved in rect_bouss_nobc.mat.


Unsteady Boussinesq flow in a cavity domain ...
To restart integration from Checkpoint datafile run restart_bouss
Rayleigh number (default 3.4e5) : 15000
Prandtl number (default 0.71) : 7.1
target time? (default 100) : 300
number of timesteps (x200)? (default 5) : 2
accuracy tolerance? (default 3e-5) : 1e-6
number of nonlinear Picard correction steps? (default is none) : 0
averaging frequency? (default 10) : 
plot solution evolution? 1/0 : 
generate solution history data points? 1/0 (default is no) : 
      fluid viscosity parameter is 2.18e-02 
temperature viscosity parameter is 3.06e-03 
Integrating using stabilized TR ...
intermediate (CheckPoint) datafile: stabtrBouss_restart
[Warning: Matrix is close to singular or badly scaled. Results may be inaccurate. RCOND =
1.799118e-23.] 
[> In <a href="matlab: opentoline('/Users/davidsilvester/Desktop/ifiss3.3/boussinesq_flow/stabtrBouss.m',108,1)">stabtrBouss at 108</a>
  In <a href="matlab: opentoline('/Users/davidsilvester/Desktop/ifiss3.3/boussinesq_flow/unsteady_bouss.m',48,1)">unsteady_bouss at 48</a>
  In <a href="matlab: opentoline('/Users/davidsilvester/Desktop/ifiss3.3/boussinesq_flow/test_problems/unsteady_bouss_testproblem.m',16,1)">unsteady_bouss_testproblem at 16</a>] 

lastmsg =

Matrix is close to singular or badly scaled. Results may be inaccurate. RCOND =  1.799118e-23.

This should not cause difficulty for enclosed flow problems.

 StabTR with no nonlinear corrections

   step  timestep    time    meanKE   vorticity
   302   8.10e-01   104.67   0.0001   0.0006   
   303   7.89e-01   105.46   0.0001   0.0008   
   304   7.50e-01   106.21   0.0002   0.0011   
   305   6.41e-01   106.85   0.0002   0.0013   
   306   5.59e-01   107.41   0.0002   0.0016   
   307   5.29e-01   107.93   0.0003   0.0020   
   308   5.13e-01   108.45   0.0004   0.0024   
   309   4.76e-01   108.92   0.0004   0.0028   
   310   4.33e-01   109.36   0.0005   0.0033   --- Averaging
   311   4.07e-01   109.55   0.0005   0.0036   
   312   3.95e-01   109.94   0.0006   0.0041   
   313   3.87e-01   110.33   0.0007   0.0047   
   314   3.71e-01   110.70   0.0008   0.0054   
   315   3.45e-01   111.05   0.0009   0.0062   
   316   3.26e-01   111.37   0.0011   0.0070   
   317   3.17e-01   111.69   0.0012   0.0078   
   318   3.09e-01   112.00   0.0013   0.0088   
   319   2.94e-01   112.29   0.0015   0.0098   
   320   2.79e-01   112.57   0.0017   0.0108   --- Averaging
   321   2.70e-01   112.70   0.0017   0.0114   
   322   2.65e-01   112.97   0.0019   0.0126   
   323   2.60e-01   113.23   0.0021   0.0138   
   324   2.52e-01   113.48   0.0023   0.0152   
   325   2.41e-01   113.72   0.0025   0.0166   
   326   2.32e-01   113.95   0.0028   0.0181   
   327   2.28e-01   114.18   0.0030   0.0197   
   328   2.22e-01   114.40   0.0033   0.0214   
   329   2.15e-01   114.62   0.0035   0.0231   
   330   2.08e-01   114.82   0.0038   0.0250   --- Averaging
   331   2.03e-01   114.92   0.0040   0.0259   
   332   2.00e-01   115.12   0.0043   0.0279   
   333   1.96e-01   115.32   0.0046   0.0301   
   334   1.92e-01   115.51   0.0049   0.0323   
   335   1.86e-01   115.70   0.0053   0.0346   
   336   1.81e-01   115.88   0.0056   0.0370   
   337   1.78e-01   116.05   0.0060   0.0395   
   338   1.74e-01   116.23   0.0064   0.0421   
   339   1.70e-01   116.40   0.0068   0.0449   
   340   1.66e-01   116.56   0.0073   0.0477   --- Averaging
   341   1.63e-01   116.64   0.0075   0.0492   
   342   1.61e-01   116.80   0.0080   0.0522   
   343   1.58e-01   116.96   0.0084   0.0553   
   344   1.55e-01   117.12   0.0089   0.0586   
   345   1.51e-01   117.27   0.0094   0.0620   
   346   1.48e-01   117.42   0.0100   0.0655   
   347   1.46e-01   117.56   0.0105   0.0691   
   348   1.43e-01   117.71   0.0111   0.0728   
   349   1.41e-01   117.85   0.0117   0.0767   
   350   1.38e-01   117.99   0.0123   0.0807   --- Averaging
   351   1.36e-01   118.05   0.0126   0.0827   
   352   1.35e-01   118.19   0.0133   0.0870   
   353   1.32e-01   118.32   0.0139   0.0913   
   354   1.29e-01   118.45   0.0146   0.0957   
   355   1.28e-01   118.58   0.0153   0.1003   
   356   1.26e-01   118.70   0.0160   0.1050   
   357   1.24e-01   118.83   0.0167   0.1099   
   358   1.21e-01   118.95   0.0175   0.1148   
   359   1.20e-01   119.07   0.0183   0.1199   
   360   1.18e-01   119.18   0.0191   0.1252   --- Averaging
   361   1.16e-01   119.24   0.0195   0.1278   
   362   1.17e-01   119.36   0.0203   0.1333   
   363   1.12e-01   119.47   0.0211   0.1388   
   364   1.10e-01   119.58   0.0220   0.1444   
   365   1.10e-01   119.69   0.0229   0.1502   
   366   1.09e-01   119.80   0.0238   0.1561   
   367   1.06e-01   119.91   0.0247   0.1621   
   368   1.05e-01   120.01   0.0256   0.1682   
   369   1.03e-01   120.11   0.0266   0.1745   
   370   1.02e-01   120.21   0.0275   0.1808   --- Averaging
   371   1.00e-01   120.26   0.0280   0.1840   
   372   1.02e-01   120.37   0.0290   0.1906   
   373   9.55e-02   120.46   0.0300   0.1971   
   374   9.55e-02   120.56   0.0310   0.2037   
   375   9.51e-02   120.65   0.0320   0.2104   
   376   9.35e-02   120.75   0.0331   0.2172   
   377   9.19e-02   120.84   0.0341   0.2241   
   378   9.05e-02   120.93   0.0352   0.2310   
   379   8.91e-02   121.02   0.0362   0.2380   
   380   8.78e-02   121.10   0.0373   0.2450   --- Averaging
   381   8.64e-02   121.15   0.0378   0.2485   
   382   8.88e-02   121.24   0.0389   0.2558   
   383   8.20e-02   121.32   0.0400   0.2627   
   384   8.32e-02   121.40   0.0411   0.2699   
   385   8.19e-02   121.48   0.0421   0.2770   
   386   8.08e-02   121.56   0.0432   0.2842   
   387   7.96e-02   121.64   0.0443   0.2914   
   388   7.85e-02   121.72   0.0454   0.2986   
   389   7.74e-02   121.80   0.0465   0.3057   
   390   7.63e-02   121.88   0.0476   0.3129   --- Averaging
   391   7.53e-02   121.91   0.0481   0.3164   
   392   7.69e-02   121.99   0.0492   0.3238   
   393   7.19e-02   122.06   0.0503   0.3307   
   394   7.29e-02   122.13   0.0513   0.3378   
   395   7.18e-02   122.21   0.0524   0.3448   
   396   7.10e-02   122.28   0.0534   0.3518   
   397   7.02e-02   122.35   0.0545   0.3588   
   398   6.93e-02   122.42   0.0555   0.3657   
   399   6.85e-02   122.49   0.0566   0.3726   
Terminated -- step limit reached!
   400   6.78e-02   122.55   0.0576   0.3794   --- Averaging --- CheckPoint
finished in  401 steps!
1 rejections in total: tolerance is 1e-06
final time solution data is saved in stabtrBouss_end.mat
integration took  4.631e+02 seconds

Timestep history ... use new (enter figno) or existing (0) figure, default is 0 : 17
401 timesteps

final time solution ...

   Plotting flow field snapshots ... 
   step   time    mean_vorticity    min_phi  max_phi
     1  122.520   -3.103e-17       -0.04130  4.069e-02
   All done
computing divergence of discrete velocity solution ...  done
estimated velocity divergence error:  7.274405e-05 
ppbouss_checkpointdata


Unsteady Boussinesq flow postpocessing.
loading data from Checkpoint datafile ...
CAVITY domain flow problem
Movies ...
nstep =

   200

running  Boussinesq flow animation ... done
To expore solvers run snapshot_solvebouss...

snaptime=[102,200];
box_unsteadytempref(T,soltime,xyt,x,y,L,H,hty,snaptime,19)

   Plotting temperature field snapshots ... 
   step   time     min_T     max_T
   102  103.857 -5.000e-01  5.000e-01
   200  122.486 -5.000e-01  5.000e-01
   All done
restart_bouss
Unsteady Boussinesq flow in a cavity domain ...
Restarting integration from Checkpoint datafile ...
Rayleigh number (default is unchanged) : 
Prandtl number (default unchanged) : 
Ra is 15000 and Pr is 7.1 

integration will be restarted from    1.225e+02 seconds
new target time? (default 200) : 300
number of timesteps (x200)? (default 5) : 
accuracy tolerance? (default 3e-5) : 1e-6
number of nonlinear Picard correction steps? (default is none) : 0
averaging frequency? (default 10) : 
plot solution evolution? 1/0 (default is yes) : 0
generate solution history data points? 1/0 (default is no) : 0
      fluid viscosity parameter is 2.18e-02 
temperature viscosity parameter is 3.06e-03 


Timestep   400  Time   1.225e+02 
Restarting integration ...
 intermediate (CheckPoint) datafile: stabtrBouss_restart
 StabTR with no nonlinear corrections

   step  timestep    time    meanKE   vorticity
     1   6.71e-02   122.59   0.0581   0.3827   
     2   6.98e-02   122.66   0.0592   0.3898   
     3   6.29e-02   122.72   0.0601   0.3961   
     4   6.64e-02   122.79   0.0611   0.4028   
     5   6.49e-02   122.85   0.0621   0.4093   
     6   6.42e-02   122.91   0.0631   0.4157   
     7   6.36e-02   122.98   0.0640   0.4221   
     8   6.31e-02   123.04   0.0650   0.4283   
     9   6.26e-02   123.10   0.0659   0.4345   
    10   6.21e-02   123.17   0.0668   0.4406   --- Averaging
    11   6.17e-02   123.20   0.0672   0.4436   
    12   6.21e-02   123.26   0.0681   0.4496   
    13   6.05e-02   123.32   0.0690   0.4553   
    14   6.05e-02   123.38   0.0699   0.4611   
    15   6.03e-02   123.44   0.0707   0.4667   
    16   5.99e-02   123.50   0.0715   0.4722   
    17   5.96e-02   123.56   0.0723   0.4776   
    18   5.93e-02   123.62   0.0731   0.4829   
    19   5.90e-02   123.68   0.0739   0.4881   
    20   5.87e-02   123.74   0.0746   0.4931   --- Averaging
    21   5.85e-02   123.77   0.0750   0.4956   
    22   5.87e-02   123.82   0.0757   0.5004   
    23   5.79e-02   123.88   0.0764   0.5052   
    24   5.79e-02   123.94   0.0771   0.5097   
    25   5.78e-02   124.00   0.0777   0.5142   
    26   5.76e-02   124.06   0.0784   0.5185   
    27   5.74e-02   124.11   0.0790   0.5227   
    28   5.73e-02   124.17   0.0796   0.5267   
    29   5.72e-02   124.23   0.0801   0.5306   
    30   5.71e-02   124.28   0.0807   0.5344   --- Averaging
    31   5.70e-02   124.31   0.0809   0.5361   
    32   5.71e-02   124.37   0.0814   0.5397   
    33   5.69e-02   124.43   0.0819   0.5430   
    34   5.69e-02   124.48   0.0824   0.5462   
    35   5.69e-02   124.54   0.0828   0.5492   
    36   5.69e-02   124.60   0.0832   0.5521   
    37   5.68e-02   124.65   0.0836   0.5548   
    38   5.68e-02   124.71   0.0840   0.5574   
    39   5.69e-02   124.77   0.0843   0.5598   
    40   5.69e-02   124.83   0.0846   0.5620   --- Averaging
    41   5.69e-02   124.85   0.0847   0.5630   
    42   5.71e-02   124.91   0.0850   0.5649   
    43   5.70e-02   124.97   0.0852   0.5667   
    44   5.71e-02   125.03   0.0854   0.5683   
    45   5.72e-02   125.08   0.0856   0.5697   
    46   5.73e-02   125.14   0.0858   0.5710   
    47   5.73e-02   125.20   0.0859   0.5720   
    48   5.74e-02   125.25   0.0860   0.5729   
    49   5.75e-02   125.31   0.0861   0.5737   
    50   5.76e-02   125.37   0.0861   0.5742   --- Averaging
    51   5.78e-02   125.40   0.0861   0.5744   
    52   5.80e-02   125.46   0.0861   0.5746   
    53   5.78e-02   125.51   0.0861   0.5747   
    54   5.80e-02   125.57   0.0860   0.5747   
    55   5.82e-02   125.63   0.0860   0.5744   
    56   5.84e-02   125.69   0.0858   0.5740   
    57   5.85e-02   125.75   0.0857   0.5734   
    58   5.86e-02   125.81   0.0855   0.5726   
    59   5.88e-02   125.86   0.0854   0.5716   
    60   5.89e-02   125.92   0.0851   0.5705   --- Averaging
    61   5.91e-02   125.95   0.0850   0.5699   
    62   5.94e-02   126.01   0.0848   0.5685   
    63   5.91e-02   126.07   0.0845   0.5670   
    64   5.94e-02   126.13   0.0842   0.5654   
    65   5.97e-02   126.19   0.0839   0.5636   
    66   5.98e-02   126.25   0.0835   0.5616   
    67   6.00e-02   126.31   0.0832   0.5595   
    68   6.02e-02   126.37   0.0828   0.5572   
    69   6.04e-02   126.43   0.0824   0.5548   
    70   6.06e-02   126.49   0.0819   0.5523   --- Averaging
    71   6.08e-02   126.52   0.0817   0.5510   
    72   6.13e-02   126.58   0.0813   0.5482   
    73   6.08e-02   126.64   0.0808   0.5454   
    74   6.13e-02   126.71   0.0803   0.5424   
    75   6.16e-02   126.77   0.0798   0.5394   
    76   6.18e-02   126.83   0.0792   0.5362   
    77   6.21e-02   126.89   0.0787   0.5329   
    78   6.24e-02   126.95   0.0781   0.5295   
    79   6.27e-02   127.02   0.0776   0.5260   
    80   6.30e-02   127.08   0.0770   0.5224   --- Averaging
    81   6.33e-02   127.11   0.0767   0.5206   
    82   6.38e-02   127.17   0.0761   0.5168   
    83   6.34e-02   127.24   0.0754   0.5131   
    84   6.41e-02   127.30   0.0748   0.5092   
    85   6.45e-02   127.37   0.0742   0.5052   
    86   6.48e-02   127.43   0.0735   0.5012   
    87   6.52e-02   127.50   0.0729   0.4971   
    88   6.56e-02   127.56   0.0722   0.4930   
    89   6.61e-02   127.63   0.0715   0.4888   
    90   6.65e-02   127.70   0.0708   0.4845   --- Averaging
    91   6.70e-02   127.73   0.0705   0.4824   
    92   6.77e-02   127.80   0.0698   0.4780   
    93   6.72e-02   127.86   0.0691   0.4737   
    94   6.81e-02   127.93   0.0684   0.4693   
    95   6.87e-02   128.00   0.0676   0.4648   
    96   6.92e-02   128.07   0.0669   0.4603   
    97   6.98e-02   128.14   0.0662   0.4558   
    98   7.03e-02   128.21   0.0655   0.4513   
    99   7.09e-02   128.28   0.0648   0.4467   
   100   7.15e-02   128.35   0.0640   0.4421   --- Averaging
   101   7.22e-02   128.39   0.0637   0.4398   
   102   7.31e-02   128.46   0.0629   0.4352   
   103   7.26e-02   128.53   0.0622   0.4306   
   104   7.37e-02   128.61   0.0615   0.4260   
   105   7.46e-02   128.68   0.0607   0.4214   
   106   7.52e-02   128.76   0.0600   0.4168   
   107   7.59e-02   128.83   0.0593   0.4122   
   108   7.67e-02   128.91   0.0586   0.4076   
   109   7.75e-02   128.99   0.0578   0.4030   
   110   7.83e-02   129.07   0.0571   0.3984   --- Averaging
   111   7.91e-02   129.11   0.0568   0.3961   
   112   8.03e-02   129.19   0.0560   0.3915   
   113   7.97e-02   129.27   0.0553   0.3871   
   114   8.12e-02   129.35   0.0546   0.3826   
   115   8.24e-02   129.43   0.0539   0.3781   
   116   8.33e-02   129.51   0.0532   0.3737   
   117   8.42e-02   129.60   0.0526   0.3693   
   118   8.53e-02   129.68   0.0519   0.3649   
   119   8.63e-02   129.77   0.0512   0.3606   
   120   8.74e-02   129.86   0.0506   0.3563   --- Averaging
   121   8.86e-02   129.90   0.0502   0.3541   
   122   9.01e-02   129.99   0.0496   0.3499   
   123   8.95e-02   130.08   0.0489   0.3457   
   124   9.15e-02   130.17   0.0483   0.3416   
   125   9.30e-02   130.27   0.0477   0.3376   
   126   9.43e-02   130.36   0.0471   0.3336   
   127   9.56e-02   130.46   0.0465   0.3296   
   128   9.71e-02   130.55   0.0459   0.3258   
   129   9.85e-02   130.65   0.0453   0.3220   
   130   1.00e-01   130.75   0.0448   0.3182   --- Averaging
   131   1.02e-01   130.80   0.0445   0.3164   
   132   1.04e-01   130.91   0.0439   0.3127   
   133   1.03e-01   131.01   0.0434   0.3092   
   134   1.06e-01   131.11   0.0429   0.3058   
   135   1.08e-01   131.22   0.0424   0.3024   
   136   1.09e-01   131.33   0.0419   0.2991   
   137   1.11e-01   131.44   0.0415   0.2959   
   138   1.13e-01   131.56   0.0410   0.2929   
   139   1.15e-01   131.67   0.0406   0.2899   
   140   1.17e-01   131.79   0.0402   0.2870   --- Averaging
   141   1.19e-01   131.85   0.0400   0.2856   
   142   1.21e-01   131.97   0.0396   0.2829   
   143   1.22e-01   132.09   0.0392   0.2804   
   144   1.25e-01   132.22   0.0389   0.2780   
   145   1.27e-01   132.34   0.0386   0.2756   
   146   1.29e-01   132.47   0.0383   0.2735   
   147   1.32e-01   132.60   0.0380   0.2715   
   148   1.34e-01   132.74   0.0378   0.2696   
   149   1.36e-01   132.88   0.0376   0.2679   
   150   1.39e-01   133.01   0.0374   0.2663   --- Averaging
   151   1.41e-01   133.09   0.0373   0.2656   
   152   1.44e-01   133.23   0.0371   0.2643   
   153   1.45e-01   133.37   0.0370   0.2631   
   154   1.48e-01   133.52   0.0369   0.2622   
   155   1.51e-01   133.67   0.0368   0.2614   
   156   1.54e-01   133.83   0.0368   0.2608   
   157   1.56e-01   133.98   0.0368   0.2604   
   158   1.59e-01   134.14   0.0368   0.2602   
   159   1.62e-01   134.30   0.0369   0.2603   
   160   1.65e-01   134.47   0.0369   0.2605   --- Averaging
   161   1.68e-01   134.55   0.0370   0.2608   
   162   1.70e-01   134.73   0.0372   0.2614   
   163   1.71e-01   134.90   0.0373   0.2622   
   164   1.75e-01   135.07   0.0375   0.2633   
   165   1.78e-01   135.25   0.0378   0.2646   
   166   1.80e-01   135.43   0.0381   0.2662   
   167   1.83e-01   135.61   0.0384   0.2680   
   168   1.85e-01   135.80   0.0388   0.2701   
   169   1.86e-01   135.98   0.0392   0.2724   
   170   1.87e-01   136.17   0.0396   0.2749   --- Averaging
   171   1.88e-01   136.27   0.0398   0.2763   
   172   1.89e-01   136.45   0.0403   0.2793   
   173   1.87e-01   136.64   0.0408   0.2824   
   174   1.87e-01   136.83   0.0414   0.2856   
   175   1.85e-01   137.01   0.0420   0.2891   
   176   1.83e-01   137.20   0.0425   0.2927   
   177   1.81e-01   137.38   0.0431   0.2964   
   178   1.78e-01   137.56   0.0437   0.3002   
   179   1.75e-01   137.73   0.0444   0.3041   
   180   1.72e-01   137.90   0.0450   0.3080   --- Averaging
   181   1.69e-01   137.99   0.0453   0.3099   
   182   1.68e-01   138.15   0.0459   0.3139   
   183   1.64e-01   138.32   0.0465   0.3179   
   184   1.61e-01   138.48   0.0472   0.3218   
   185   1.58e-01   138.64   0.0478   0.3258   
   186   1.56e-01   138.79   0.0484   0.3298   
   187   1.53e-01   138.95   0.0490   0.3337   
   188   1.51e-01   139.10   0.0496   0.3376   
   189   1.49e-01   139.25   0.0502   0.3414   
   190   1.46e-01   139.39   0.0508   0.3452   --- Averaging
   191   1.45e-01   139.46   0.0511   0.3470   
   192   1.44e-01   139.61   0.0516   0.3507   
   193   1.42e-01   139.75   0.0522   0.3544   
   194   1.40e-01   139.89   0.0527   0.3579   
   195   1.39e-01   140.03   0.0533   0.3614   
   196   1.38e-01   140.17   0.0538   0.3649   
   197   1.36e-01   140.30   0.0543   0.3682   
   198   1.35e-01   140.44   0.0548   0.3715   
   199   1.34e-01   140.57   0.0553   0.3746   
   200   1.34e-01   140.71   0.0557   0.3777   --- Averaging --- CheckPoint
   201   1.33e-01   140.77   0.0560   0.3792   
   202   1.33e-01   140.91   0.0564   0.3821   
   203   1.32e-01   141.04   0.0568   0.3849   
   204   1.32e-01   141.17   0.0572   0.3876   
   205   1.31e-01   141.30   0.0576   0.3902   
   206   1.31e-01   141.43   0.0580   0.3927   
   207   1.31e-01   141.56   0.0583   0.3950   
   208   1.31e-01   141.69   0.0587   0.3973   
   209   1.31e-01   141.82   0.0590   0.3994   
   210   1.31e-01   141.96   0.0593   0.4013   --- Averaging
   211   1.31e-01   142.02   0.0594   0.4023   
   212   1.32e-01   142.15   0.0597   0.4041   
   213   1.32e-01   142.29   0.0599   0.4057   
   214   1.32e-01   142.42   0.0601   0.4072   
   215   1.33e-01   142.55   0.0603   0.4085   
   216   1.33e-01   142.68   0.0605   0.4097   
   217   1.34e-01   142.82   0.0606   0.4108   
   218   1.35e-01   142.95   0.0607   0.4117   
   219   1.36e-01   143.09   0.0608   0.4124   
   220   1.36e-01   143.22   0.0609   0.4130   --- Averaging
   221   1.37e-01   143.29   0.0609   0.4132   
   222   1.38e-01   143.43   0.0609   0.4136   
   223   1.38e-01   143.57   0.0610   0.4138   
   224   1.39e-01   143.71   0.0609   0.4138   
   225   1.40e-01   143.85   0.0609   0.4137   
   226   1.41e-01   143.99   0.0608   0.4134   
   227   1.42e-01   144.13   0.0608   0.4129   
   228   1.42e-01   144.27   0.0606   0.4123   
   229   1.43e-01   144.42   0.0605   0.4116   
   230   1.44e-01   144.56   0.0604   0.4107   --- Averaging
   231   1.44e-01   144.63   0.0603   0.4102   
   232   1.45e-01   144.78   0.0601   0.4091   
   233   1.45e-01   144.92   0.0599   0.4079   
   234   1.45e-01   145.07   0.0597   0.4065   
   235   1.46e-01   145.21   0.0594   0.4051   
   236   1.46e-01   145.36   0.0592   0.4036   
   237   1.47e-01   145.51   0.0589   0.4019   
   238   1.47e-01   145.65   0.0586   0.4002   
   239   1.48e-01   145.80   0.0583   0.3983   
   240   1.49e-01   145.95   0.0580   0.3965   --- Averaging
   241   1.49e-01   146.03   0.0579   0.3955   
   242   1.50e-01   146.18   0.0575   0.3935   
   243   1.50e-01   146.33   0.0572   0.3914   
   244   1.51e-01   146.48   0.0569   0.3894   
   245   1.52e-01   146.63   0.0566   0.3872   
   246   1.53e-01   146.78   0.0562   0.3851   
   247   1.54e-01   146.94   0.0559   0.3829   
   248   1.55e-01   147.09   0.0555   0.3807   
   249   1.56e-01   147.25   0.0552   0.3785   
   250   1.58e-01   147.41   0.0548   0.3762   --- Averaging
   251   1.59e-01   147.49   0.0547   0.3751   
   252   1.60e-01   147.65   0.0543   0.3729   
   253   1.61e-01   147.81   0.0540   0.3707   
   254   1.63e-01   147.97   0.0536   0.3685   
   255   1.65e-01   148.13   0.0533   0.3663   
   256   1.67e-01   148.30   0.0530   0.3642   
   257   1.68e-01   148.47   0.0527   0.3621   
   258   1.70e-01   148.64   0.0524   0.3600   
   259   1.73e-01   148.81   0.0520   0.3580   
   260   1.75e-01   148.99   0.0518   0.3561   --- Averaging
   261   1.77e-01   149.08   0.0516   0.3551   
   262   1.79e-01   149.26   0.0513   0.3532   
   263   1.80e-01   149.44   0.0511   0.3514   
   264   1.83e-01   149.62   0.0508   0.3497   
   265   1.86e-01   149.81   0.0506   0.3481   
   266   1.89e-01   150.00   0.0503   0.3465   
   267   1.92e-01   150.19   0.0501   0.3451   
   268   1.95e-01   150.38   0.0499   0.3438   
   269   1.98e-01   150.58   0.0498   0.3425   
   270   2.01e-01   150.78   0.0496   0.3414   --- Averaging
   271   2.04e-01   150.88   0.0495   0.3409   
   272   2.06e-01   151.09   0.0494   0.3399   
   273   2.08e-01   151.30   0.0493   0.3391   
   274   2.12e-01   151.51   0.0492   0.3384   
   275   2.16e-01   151.72   0.0491   0.3379   
   276   2.19e-01   151.94   0.0491   0.3375   
   277   2.22e-01   152.16   0.0491   0.3372   
   278   2.25e-01   152.39   0.0491   0.3371   
   279   2.28e-01   152.62   0.0491   0.3371   
   280   2.31e-01   152.85   0.0491   0.3373   --- Averaging
   281   2.33e-01   152.97   0.0492   0.3375   
   282   2.34e-01   153.20   0.0492   0.3379   
   283   2.36e-01   153.44   0.0493   0.3384   
   284   2.38e-01   153.67   0.0494   0.3391   
   285   2.39e-01   153.91   0.0496   0.3399   
   286   2.40e-01   154.15   0.0497   0.3408   
   287   2.40e-01   154.39   0.0499   0.3419   
   288   2.39e-01   154.63   0.0501   0.3430   
   289   2.39e-01   154.87   0.0503   0.3442   
   290   2.38e-01   155.11   0.0505   0.3455   --- Averaging
   291   2.36e-01   155.23   0.0506   0.3462   
   292   2.35e-01   155.46   0.0508   0.3475   
   293   2.34e-01   155.70   0.0510   0.3490   
   294   2.33e-01   155.93   0.0513   0.3504   
   295   2.31e-01   156.16   0.0515   0.3518   
   296   2.30e-01   156.39   0.0517   0.3533   
   297   2.28e-01   156.62   0.0520   0.3548   
   298   2.27e-01   156.84   0.0522   0.3562   
   299   2.26e-01   157.07   0.0524   0.3577   
   300   2.25e-01   157.29   0.0526   0.3591   --- Averaging
   301   2.25e-01   157.41   0.0527   0.3597   
   302   2.24e-01   157.63   0.0529   0.3611   
   303   2.24e-01   157.86   0.0531   0.3624   
   304   2.24e-01   158.08   0.0533   0.3637   
   305   2.24e-01   158.30   0.0535   0.3649   
   306   2.25e-01   158.53   0.0537   0.3660   
   307   2.26e-01   158.75   0.0538   0.3671   
   308   2.27e-01   158.98   0.0540   0.3682   
   309   2.28e-01   159.21   0.0541   0.3691   
   310   2.30e-01   159.44   0.0543   0.3700   --- Averaging
   311   2.31e-01   159.55   0.0543   0.3704   
   312   2.33e-01   159.79   0.0544   0.3711   
   313   2.35e-01   160.02   0.0545   0.3718   
   314   2.37e-01   160.26   0.0546   0.3723   
   315   2.40e-01   160.50   0.0546   0.3728   
   316   2.43e-01   160.74   0.0547   0.3731   
   317   2.46e-01   160.99   0.0547   0.3734   
   318   2.49e-01   161.24   0.0547   0.3736   
   319   2.52e-01   161.49   0.0547   0.3736   
   320   2.55e-01   161.74   0.0547   0.3735   --- Averaging
   321   2.58e-01   161.88   0.0547   0.3735   
   322   2.60e-01   162.14   0.0547   0.3732   
   323   2.62e-01   162.40   0.0546   0.3729   
   324   2.64e-01   162.66   0.0545   0.3725   
   325   2.65e-01   162.93   0.0545   0.3720   
   326   2.66e-01   163.19   0.0544   0.3715   
   327   2.67e-01   163.46   0.0543   0.3708   
   328   2.68e-01   163.73   0.0541   0.3701   
   329   2.68e-01   164.00   0.0540   0.3694   
   330   2.68e-01   164.26   0.0539   0.3686   --- Averaging
   331   2.69e-01   164.40   0.0538   0.3682   
   332   2.69e-01   164.67   0.0537   0.3673   
   333   2.69e-01   164.94   0.0536   0.3665   
   334   2.70e-01   165.21   0.0534   0.3656   
   335   2.71e-01   165.48   0.0533   0.3648   
   336   2.73e-01   165.75   0.0532   0.3639   
   337   2.74e-01   166.03   0.0530   0.3631   
   338   2.76e-01   166.30   0.0529   0.3623   
   339   2.79e-01   166.58   0.0528   0.3615   
   340   2.81e-01   166.86   0.0527   0.3607   --- Averaging
   341   2.84e-01   167.01   0.0526   0.3603   
   342   2.87e-01   167.29   0.0525   0.3596   
   343   2.89e-01   167.58   0.0524   0.3590   
   344   2.94e-01   167.87   0.0523   0.3584   
   345   2.99e-01   168.17   0.0522   0.3578   
   346   3.03e-01   168.48   0.0522   0.3574   
   347   3.08e-01   168.79   0.0521   0.3569   
   348   3.14e-01   169.10   0.0521   0.3566   
   349   3.20e-01   169.42   0.0520   0.3563   
   350   3.27e-01   169.75   0.0520   0.3562   --- Averaging
   351   3.33e-01   169.92   0.0520   0.3561   
   352   3.37e-01   170.25   0.0520   0.3560   
   353   3.42e-01   170.60   0.0520   0.3561   
   354   3.48e-01   170.94   0.0520   0.3562   
   355   3.54e-01   171.30   0.0521   0.3564   
   356   3.57e-01   171.65   0.0521   0.3567   
   357   3.60e-01   172.01   0.0522   0.3570   
   358   3.62e-01   172.38   0.0522   0.3574   
   359   3.62e-01   172.74   0.0523   0.3578   
   360   3.61e-01   173.10   0.0524   0.3583   --- Averaging
