## CMB data from WMAP probe
## first column is wavenumber (x variable)
## second column is the estimated specturm
## third column is estimated standard deviation
   ell    Cl             se           measerr    cosmic
    2     123.3820     762.6369       3.3813     759.2556
    3     611.7750     608.1737       4.0262     604.1475
    4     756.6160     503.9580       4.3394     499.6186
    5    1256.7000     432.1765       4.5485     427.6281
    6     696.4790     380.1810       4.7410     375.4400
    7     829.8190     342.6010       4.9938     337.6072
    8     627.8620     314.4434       5.6118     308.8315
    9     815.1740     292.4860       5.6880     286.7980
   10     617.7500     275.5059       5.9813     269.5246
   11    1251.6700     262.5833       6.2671     256.3162
   12     758.7730     252.7137       6.6378     246.0759
   13     714.5950     244.6297       6.8215     237.8082
   14     907.1200     238.2403       7.1784     231.0619
   15     871.6480     232.8358       7.2772     225.5587
   16     628.6330     228.9148       7.8408     221.0741
   17    1042.0900     225.1925       7.7630     217.4295
   18     742.3790     222.6817       8.2045     214.4772
   19     947.1550     220.5788       8.4873     212.0915
   20     870.9060     218.9343       8.7701     210.1642
   21     706.1020     217.6281       9.0211     208.6070
   22     431.8440     216.4239       9.0598     207.3641
   23     660.0120     215.9546       9.5621     206.3925
   24     960.8510     215.6964      10.0423     205.6541
   25     849.1200     215.2456      10.1301     205.1155
   26     866.8620     215.2438      10.4968     204.7470
   27    1097.4200     215.3130      10.7912     204.5219
   28    1408.1899     215.5949      11.1789     204.4160
   29     899.1070     215.8083      11.4006     204.4077
   30    1007.8600     216.2199      11.7429     204.4770
   31    1078.1300     216.7738      12.1657     204.6081
   32    1607.0800     217.0790      12.2839     204.7951
   33    1188.0400     217.6776      12.6428     205.0348
   34    1067.9700     218.3189      12.9942     205.3246
   35     910.3670     218.9799      13.3177     205.6622
   36    1104.4200     219.5758      13.5302     206.0456
   37    1431.3400     220.0054      13.5325     206.4729
   38    1282.0601     221.1955      14.2527     206.9428
   39    1381.4301     221.6775      14.2236     207.4539
   40    1927.2400     222.9571      14.9520     208.0051
   41    1266.0400     223.6924      15.0971     208.5953
   42    1297.2500     224.5806      15.3572     209.2234
   43    1471.1600     225.6064      15.7184     209.8881
   44    1363.2100     226.6716      16.0832     210.5885
   45    1001.1000     227.6475      16.3239     211.3235
   46    1061.7300     228.8186      16.7261     212.0926
   47    1564.8000     229.9061      17.0114     212.8948
   48    1044.3000     231.0920      17.3625     213.7296
   49    1485.0300     231.8820      17.2857     214.5963
   50    1469.1801     233.4651      17.9705     215.4946
   51    1136.4600     234.9455      18.5215     216.4239
   52    1658.5500     235.6480      18.2644     217.3836
   53    1119.1100     237.0607      18.6878     218.3730
   54    1114.6300     238.8759      19.4844     219.3914
   55    1542.1700     240.0310      19.5926     220.4384
   56    1526.9700     241.4793      19.9658     221.5135
   57    1625.0699     242.6322      20.0161     222.6161
   58    1705.0100     244.1375      20.3916     223.7459
   59    1279.7500     246.0827      21.1802     224.9025
   60    1930.2000     247.8603      21.7749     226.0854
   61    1623.6300     249.2973      22.0029     227.2944
   62    1893.5300     250.7823      22.2533     228.5290
   63    1631.5900     252.4458      22.6574     229.7884
   64    1451.5400     254.1817      23.1096     231.0722
   65    1521.1200     255.4839      23.1041     232.3798
   66    1617.3400     257.3647      23.6539     233.7108
   67    1659.0200     259.1348      24.0701     235.0646
   68    1819.3500     261.0037      24.5627     236.4409
   69    2297.1899     262.7328      24.8936     237.8393
   70    1762.3101     264.1296      24.8703     239.2593
   71    1690.5000     266.5966      25.8960     240.7005
   72    1505.2300     267.9540      25.7919     242.1622
   73    2635.2600     270.1395      26.4961     243.6434
   74    2110.7400     272.0579      26.9144     245.1435
   75    1917.1400     273.7867      27.1250     246.6616
   76    1766.5400     276.5194      28.3224     248.1970
   77    1958.4900     277.4083      27.6592     249.7491
   78    1831.3700     279.4834      28.1665     251.3170
   79    1644.0000     281.8693      28.9691     252.9002
   80    2249.8000     283.9023      29.4044     254.4979
   81    2149.7200     286.1450      30.0353     256.1097
   82    2826.3799     288.1681      30.4324     257.7357
   83    2002.2300     290.1779      30.8021     259.3757
   84    1715.9200     291.9974      30.9674     261.0300
   85    2416.5000     293.9919      31.2934     262.6986
   86    2427.5400     296.2784      31.8967     264.3817
   87    2503.2700     298.1076      32.0284     266.0792
   88    1839.1700     300.2233      32.4319     267.7914
   89    2453.2300     302.6605      33.1421     269.5183
   90    2266.8501     304.9829      33.7229     271.2600
   91    2570.7200     306.8956      33.8790     273.0166
   92    2456.4700     309.1736      34.3860     274.7876
   93    2773.5901     311.5132      34.9407     276.5725
   94    2112.3000     313.4795      35.1085     278.3710
   95    2116.3201     315.7608      35.5783     280.1824
   96    2442.2100     317.9156      35.9090     282.0065
   97    2484.0100     320.6689      36.8261     283.8428
   98    1887.4800     322.8186      37.1278     285.6909
   99    2694.6399     325.1634      37.6131     287.5502
  100    3034.3999     327.5099      38.0893     289.4206
  101    2652.8899     299.1172       7.8157     291.3015
  102    2935.2100     301.1437       7.9510     293.1927
  103    2630.0400     303.1814       8.0878     295.0936
  104    2863.8401     305.2299       8.2259     297.0041
  105    2239.3799     307.2890       8.3654     298.9236
  106    2532.6299     309.3582       8.5063     300.8519
  107    3119.9900     311.4372       8.6485     302.7887
  108    3531.7800     313.5257       8.7922     304.7335
  109    2767.6899     315.6234       8.9373     306.6862
  110    3432.7600     317.7300       9.0837     308.6463
  111    2849.1699     319.8450       9.2317     310.6134
  112    2872.2300     321.9675       9.3810     312.5865
  113    2498.3201     324.0963       9.5318     314.5645
  114    2111.7400     326.2304       9.6840     316.5464
  115    3267.9399     328.3687       9.8377     318.5310
  116    3479.5500     330.5100       9.9928     320.5173
  117    4595.6299     332.6535      10.1493     322.5042
  118    3658.6399     334.7981      10.3074     324.4907
  119    3438.8201     336.9428      10.4669     326.4759
  120    3007.9800     339.0866      10.6279     328.4587
  121    4337.7402     341.2285      10.7904     330.4381
  122    2956.8799     343.3677      10.9543     332.4133
  123    3265.8601     345.5034      11.1201     334.3832
  124    2981.2300     347.6349      11.2879     336.3470
  125    3084.3501     349.7609      11.4572     338.3037
  126    3598.5601     351.8805      11.6281     340.2524
  127    3479.0500     353.9928      11.8005     342.1923
  128    3553.0000     356.0970      11.9746     344.1224
  129    3274.7100     358.1922      12.1502     346.0420
  130    3858.1399     360.2775      12.3275     347.9501
  131    3090.7700     362.3522      12.5063     349.8459
  132    3187.2500     364.4157      12.6867     351.7290
  133    3395.0901     366.4674      12.8688     353.5986
  134    3675.7600     368.5068      13.0525     355.4543
  135    3978.9800     370.5333      13.2378     357.2954
  136    4476.5698     372.5463      13.4248     359.1216
  137    3741.1499     374.5455      13.6134     360.9320
  138    3869.3799     376.5302      13.8038     362.7264
  139    4185.8599     378.5000      13.9958     364.5042
  140    4172.4102     380.4542      14.1894     366.2648
  141    4222.6001     382.3924      14.3847     368.0077
  142    4096.1699     384.3142      14.5817     369.7325
  143    4251.5298     386.2190      14.7805     371.4385
  144    3655.4900     388.1064      14.9810     373.1255
  145    5231.4399     389.9758      15.1831     374.7927
  146    4097.1001     391.8269      15.3870     376.4398
  147    3949.5901     393.6590      15.5926     378.0663
  148    3900.2500     395.4719      15.8001     379.6718
  149    3399.8000     397.2650      16.0093     381.2557
  150    4220.6802     399.0378      16.2202     382.8175
  151    4182.7300     400.7899      16.4331     384.3568
  152    4428.0698     402.5209      16.6476     385.8732
  153    4789.3198     404.2299      16.8639     387.3660
  154    4042.2700     405.9170      17.0822     388.8348
  155    4732.4902     407.5812      17.3022     390.2790
  156    4129.2202     409.2222      17.5240     391.6982
  157    4487.5200     410.8395      17.7478     393.0917
  158    5116.0200     412.4327      17.9735     394.4592
  159    4780.5698     414.0012      18.2011     395.8000
  160    4663.0400     415.5448      18.4309     397.1139
  161    4505.6899     417.0629      18.6627     398.4002
  162    4278.8301     418.5557      18.8973     399.6584
  163    4385.3301     420.0222      19.1341     400.8882
  164    4436.9399     421.4618      19.3729     402.0889
  165    4421.6201     422.8739      19.6137     403.2602
  166    4444.7598     424.2582      19.8565     404.4016
