* URL: http://cdiac.ornl.gov/ftp/trends/temp/jonescru/nh.dat
*******************************************************************************************
*** Northern Hemisphere Monthly and Annual Temperature Anomalies (degrees C), 1856-2000 ***
***                                                                                     ***
***                        (Relative to the 1961-1990 Mean)                             ***
***                                                                                     ***
***                                    (July, 2001)                                     ***
***                                                                                     ***
*** Source: P. D. Jones                             D. E. Parker                        ***
***         T. J. Osborn                            Hadley Centre for Climate           ***
***         K. R. Briffa                              Prediction and Research           ***
***         Climatic Research Unit                  Meteorological Office               ***
***         School of Environmental Sciences        Bracknell, Berkshire,               ***
***         University of East Anglia               United Kingdom                      ***
***         Norwich NR4 7TJ, United Kingdom                                             ***
*******************************************************************************************

YEAR   JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   ANNUAL
1856   0.02  -0.35  -0.76  -0.32  -0.18   0.16  -0.12  -0.35  -0.30  -0.52  -0.89  -0.23  -0.32
1857  -0.29  -0.41  -0.51  -0.46  -0.52  -0.22  -0.04   0.03  -0.42  -0.53  -0.72   0.07  -0.34
1858  -0.44  -1.30  -0.83  -0.11  -0.15   0.04  -0.06  -0.24   0.05   0.19  -0.84  -0.32  -0.34
1859  -0.27   0.10   0.00  -0.03   0.07  -0.23  -0.02   0.30  -0.23  -0.01  -0.38  -0.54  -0.10
1860  -0.10  -0.68  -0.98  -0.53  -0.15   0.21   0.02  -0.15  -0.04  -0.30  -1.07  -1.07  -0.40
1861  -1.59  -0.43  -0.20  -0.36  -0.60   0.21   0.50   0.18  -0.26  -0.08  -0.27  -0.15  -0.25
1862  -0.99  -1.13  -0.49  -0.21  -0.23  -0.15  -0.33  -0.62  -0.24  -0.35  -1.22  -1.32  -0.61
1863   0.77   0.07  -0.26  -0.12  -0.04  -0.13  -0.46  -0.24   0.05  -0.35  -0.37  -0.04  -0.09
1864  -0.89  -0.58  -0.42  -0.40  -0.43   0.28   0.27   0.09  -0.29  -0.81  -0.70  -0.83  -0.39
1865   0.24  -0.89  -0.96  -0.21   0.14   0.05   0.12  -0.23   0.33  -0.19   0.09  -0.17  -0.14
1866   0.43   0.06  -0.36   0.00  -0.72   0.55   0.00  -0.12   0.07  -0.57  -0.39  -0.22  -0.10
1867  -0.32   0.48  -0.62  -0.25  -0.53  -0.25  -0.09  -0.01  -0.14  -0.22  -0.26  -0.93  -0.26
1868  -0.66  -0.49  -0.05  -0.13   0.36   0.43   0.64   0.26  -0.06  -0.25  -0.71   0.28  -0.03
1869  -0.18   0.73  -0.56  -0.07   0.20  -0.05   0.08   0.05  -0.08  -0.35  -0.42  -0.46  -0.09
1870   0.07  -0.56  -0.35  -0.05   0.03   0.12   0.14  -0.13  -0.17  -0.33  -0.04  -1.11  -0.20
1871  -0.78  -1.10   0.13   0.09  -0.26  -0.18   0.30   0.04  -0.45  -0.48  -0.79  -0.74  -0.35
1872  -0.17  -0.44  -0.30   0.06   0.15   0.11   0.20   0.25   0.14  -0.23  -0.33  -0.38  -0.08
1873   0.11  -0.44  -0.28  -0.50  -0.46  -0.13  -0.02  -0.02  -0.21  -0.31  -0.38  -0.03  -0.22
1874   0.55  -0.26  -0.65  -0.47  -0.48  -0.10  -0.02  -0.34   0.13  -0.30  -0.66  -0.51  -0.26
1875  -1.03  -1.11  -0.89  -0.63  -0.06   0.08  -0.17  -0.10  -0.36  -0.47  -0.89  -0.43  -0.50
1876  -0.29  -0.21  -0.43  -0.28  -0.57   0.04   0.04  -0.09  -0.20  -0.44  -0.71  -0.88  -0.34
1877  -0.16  -0.06  -0.37  -0.42  -0.36   0.16   0.27   0.19   0.12  -0.20   0.18   0.40  -0.02
1878   0.12   0.43   0.54   0.51   0.04   0.40   0.11   0.22   0.22   0.04   0.05  -0.24   0.20
1879  -0.07  -0.03  -0.11  -0.21  -0.01  -0.20  -0.22  -0.25  -0.31  -0.11  -0.73  -0.84  -0.26
1880   0.17  -0.36  -0.22  -0.04  -0.16  -0.23  -0.20  -0.16  -0.26  -0.44  -0.63  -0.42  -0.25
1881  -0.58  -0.31  -0.41  -0.24   0.05  -0.18  -0.08  -0.02  -0.26  -0.53  -0.67  -0.14  -0.28
1882   0.28   0.03   0.18  -0.38  -0.34  -0.38  -0.18  -0.12  -0.11  -0.47  -0.49  -0.60  -0.22
1883  -0.76  -0.60  -0.57  -0.29  -0.28   0.00  -0.12  -0.17  -0.27  -0.45  -0.40  -0.17  -0.34
1884  -0.32  -0.26  -0.47  -0.64  -0.30  -0.18  -0.26  -0.42  -0.34  -0.24  -0.80  -0.50  -0.39
1885  -0.73  -0.57  -0.35  -0.37  -0.47  -0.41  -0.04  -0.28  -0.22  -0.30  -0.31  -0.04  -0.34
1886  -0.56  -0.63  -0.62  -0.15   0.01  -0.16   0.00  -0.14  -0.13  -0.28  -0.38  -0.13  -0.26
1887  -0.60  -0.52  -0.25  -0.41  -0.05  -0.18   0.01  -0.30  -0.12  -0.43  -0.23  -0.30  -0.28
1888  -0.75  -0.61  -0.63  -0.04  -0.21   0.00  -0.15  -0.19  -0.07   0.00  -0.21  -0.18  -0.25
1889  -0.19  -0.18  -0.09   0.15   0.05   0.02  -0.12  -0.11  -0.32  -0.26  -0.52  -0.14  -0.14
1890  -0.25  -0.25  -0.31  -0.21  -0.31  -0.26  -0.29  -0.39  -0.39  -0.41  -0.61  -0.50  -0.35
1891  -0.58  -0.64  -0.41  -0.36  -0.13  -0.13  -0.04  -0.14  -0.01  -0.28  -0.72   0.17  -0.27
1892  -0.50  -0.05  -0.57  -0.53  -0.33  -0.26  -0.36  -0.27  -0.10  -0.35  -0.85  -1.02  -0.43
1893  -1.57  -1.10  -0.51  -0.51  -0.64  -0.23  -0.05  -0.28  -0.28  -0.21  -0.39  -0.41  -0.51
1894  -0.53  -0.39  -0.27  -0.37  -0.25  -0.45  -0.17  -0.21  -0.33  -0.36  -0.53  -0.42  -0.36
1895  -0.65  -1.11  -0.65  -0.35  -0.32  -0.33  -0.25  -0.27  -0.04  -0.20  -0.21  -0.33  -0.39
1896  -0.33  -0.21  -0.57  -0.47   0.01   0.10   0.01  -0.02   0.09  -0.02  -0.46  -0.08  -0.16
1897  -0.29  -0.21  -0.38   0.00   0.13   0.01   0.13  -0.05   0.12  -0.09  -0.45  -0.53  -0.13
1898   0.09  -0.35  -0.90  -0.44  -0.24  -0.05  -0.06  -0.12  -0.08  -0.41  -0.32  -0.22  -0.26
1899   0.06  -0.61  -0.69  -0.10  -0.16  -0.29  -0.07  -0.06   0.00   0.02   0.38  -0.52  -0.17
1900  -0.27  -0.37  -0.17  -0.12  -0.07   0.11  -0.05   0.02  -0.08   0.31  -0.25   0.14  -0.07
1901  -0.15  -0.23  -0.04   0.02  -0.06   0.08   0.15   0.03  -0.32  -0.22  -0.37  -0.46  -0.13
1902  -0.08  -0.21  -0.43  -0.54  -0.45  -0.37  -0.40  -0.21  -0.31  -0.33  -0.48  -0.62  -0.37
1903  -0.02   0.11  -0.22  -0.43  -0.39  -0.47  -0.42  -0.50  -0.55  -0.51  -0.59  -0.72  -0.39
1904  -0.72  -0.51  -0.61  -0.64  -0.47  -0.55  -0.48  -0.49  -0.50  -0.28  -0.14  -0.23  -0.47
1905  -0.51  -0.85  -0.48  -0.59  -0.25  -0.21  -0.14  -0.22  -0.14  -0.29  -0.07  -0.15  -0.32
1906  -0.13  -0.49  -0.31  -0.03  -0.15  -0.08  -0.16  -0.18  -0.23  -0.33  -0.51  -0.15  -0.23
1907  -0.59  -0.67  -0.40  -0.68  -0.64  -0.54  -0.31  -0.51  -0.38  -0.27  -0.65  -0.43  -0.51
1908  -0.40  -0.39  -0.69  -0.50  -0.46  -0.31  -0.36  -0.43  -0.31  -0.54  -0.68  -0.67  -0.48
1909  -0.59  -0.55  -0.77  -0.69  -0.52  -0.44  -0.44  -0.30  -0.16  -0.26  -0.19  -0.60  -0.46
1910  -0.22  -0.57  -0.27  -0.38  -0.47  -0.45  -0.33  -0.42  -0.33  -0.38  -0.61  -0.60  -0.42
1911  -0.55  -0.70  -0.66  -0.60  -0.43  -0.29  -0.29  -0.27  -0.25  -0.32  -0.29  -0.29  -0.41
1912  -0.47  -0.28  -0.61  -0.36  -0.29  -0.13  -0.46  -0.61  -0.65  -0.77  -0.59  -0.49  -0.48
1913  -0.46  -0.68  -0.62  -0.49  -0.63  -0.58  -0.58  -0.37  -0.41  -0.55  -0.13   0.07  -0.45
1914   0.15  -0.18  -0.36  -0.42  -0.18  -0.24  -0.29  -0.31  -0.24   0.01  -0.38  -0.41  -0.24
1915  -0.09   0.09  -0.58   0.04  -0.08   0.02   0.01  -0.07  -0.03  -0.22  -0.01  -0.21  -0.09
1916  -0.08  -0.25  -0.61  -0.22  -0.44  -0.40  -0.16  -0.25  -0.38  -0.28  -0.40  -0.89  -0.36
1917  -0.55  -1.00  -1.11  -0.58  -0.86  -0.21  -0.12  -0.19  -0.13  -0.47  -0.20  -1.12  -0.54
1918  -0.41  -0.43  -0.33  -0.62  -0.64  -0.40  -0.27  -0.35  -0.27   0.04  -0.42  -0.58  -0.39
1919  -0.30  -0.32  -0.57  -0.04  -0.56  -0.21  -0.19  -0.20  -0.07  -0.28  -0.80  -0.67  -0.35
1920  -0.23  -0.49  -0.09  -0.24  -0.02  -0.06   0.02  -0.02  -0.22  -0.34  -0.72  -0.67  -0.26
1921   0.08  -0.26  -0.09   0.05  -0.06   0.08   0.10  -0.11  -0.26  -0.15  -0.63  -0.27  -0.13
1922  -0.47  -0.43  -0.28  -0.29  -0.06  -0.03  -0.07  -0.17  -0.28  -0.30  -0.35  -0.34  -0.26
1923  -0.07  -0.72  -0.47  -0.56  -0.11  -0.08  -0.18  -0.27  -0.14  -0.09   0.14   0.01  -0.21
1924  -0.42  -0.34  -0.34  -0.30  -0.12  -0.05  -0.05  -0.13  -0.15  -0.19  -0.37  -0.68  -0.26
1925  -0.39  -0.27  -0.19  -0.06  -0.09  -0.11  -0.07   0.00   0.03  -0.29  -0.15   0.03  -0.13
1926   0.31   0.22   0.05  -0.19  -0.03   0.03   0.04   0.04  -0.02  -0.03   0.02  -0.24   0.02
1927  -0.28  -0.11  -0.34  -0.15  -0.11   0.07   0.10   0.09   0.07   0.12  -0.13  -0.66  -0.11
1928   0.02  -0.14  -0.50  -0.36  -0.05  -0.18   0.07  -0.09  -0.10  -0.14  -0.11  -0.21  -0.15
1929  -0.71  -1.20  -0.38  -0.39  -0.19  -0.16  -0.10   0.01  -0.15   0.00  -0.13  -0.77  -0.35
1930  -0.35  -0.15  -0.04  -0.11  -0.14  -0.11   0.12   0.21   0.04   0.04   0.20  -0.04  -0.03
1931   0.04  -0.41  -0.12  -0.13  -0.06   0.20   0.28   0.19   0.19   0.22  -0.06   0.00   0.03
1932   0.41  -0.39  -0.47   0.00  -0.03   0.07   0.06   0.17   0.21   0.19  -0.23  -0.15  -0.01
1933  -0.39  -0.48  -0.46  -0.20  -0.17  -0.10   0.12   0.02  -0.06  -0.03  -0.22  -0.64  -0.22
1934  -0.23   0.09  -0.44  -0.22   0.04   0.04   0.06   0.06  -0.05   0.07   0.11  -0.07  -0.05
1935  -0.40   0.46  -0.19  -0.29  -0.28  -0.05   0.08   0.09   0.00   0.17  -0.44  -0.28  -0.09
1936  -0.25  -0.57  -0.22  -0.18   0.03   0.14   0.28   0.17   0.16   0.02  -0.02   0.10  -0.03
1937  -0.19   0.06  -0.35  -0.10   0.09   0.22   0.33   0.31   0.42   0.37   0.10  -0.18   0.09
1938   0.17   0.20   0.31   0.33   0.08   0.06   0.25   0.36   0.35   0.32   0.19  -0.35   0.19
1939   0.00   0.03  -0.24  -0.01   0.03   0.09   0.21   0.22   0.19  -0.11   0.03   0.58   0.08
1940  -0.56  -0.14  -0.16   0.08  -0.15  -0.02   0.12  -0.06   0.16  -0.01  -0.06   0.07  -0.06
1941  -0.02   0.13  -0.13   0.03   0.02   0.10   0.09   0.10  -0.03   0.35  -0.10  -0.06   0.04
1942   0.09  -0.16  -0.05   0.03   0.05   0.18   0.09   0.00   0.17   0.30   0.14   0.00   0.07
1943  -0.30   0.20  -0.28   0.14   0.22  -0.04   0.14   0.22   0.19   0.46   0.19   0.41   0.13
1944   0.65   0.44   0.23   0.07   0.29   0.22   0.20   0.28   0.44   0.45   0.00  -0.21   0.26
1945  -0.01  -0.20  -0.05   0.16  -0.05   0.06   0.06   0.29   0.22   0.30   0.11  -0.28   0.05
1946   0.43   0.30  -0.01   0.29  -0.10  -0.06   0.02   0.00   0.10  -0.01  -0.08  -0.50   0.03
1947  -0.35  -0.24   0.04   0.14  -0.08  -0.04   0.01   0.00   0.11   0.33   0.06  -0.11  -0.01
1948   0.38  -0.16  -0.30   0.07   0.19   0.22   0.10   0.14   0.10   0.07  -0.02  -0.27   0.04
1949   0.35  -0.12  -0.24   0.06   0.09  -0.05  -0.03   0.13  -0.04   0.14   0.04  -0.30   0.00
1950  -0.48  -0.30  -0.08  -0.14   0.03  -0.05  -0.11  -0.12   0.05   0.01  -0.44  -0.11  -0.14
1951  -0.35  -0.61  -0.27   0.07   0.20   0.11   0.20   0.32   0.36   0.28   0.08   0.44   0.07
1952   0.22   0.08  -0.27   0.14   0.15   0.25   0.21   0.19   0.23   0.03  -0.36  -0.08   0.07
1953   0.18   0.27   0.21   0.31   0.21   0.29   0.28   0.25   0.25   0.23  -0.10   0.12   0.21
1954  -0.36  -0.08  -0.25  -0.15  -0.13   0.06   0.02   0.06   0.10   0.09   0.18  -0.28  -0.06
1955   0.29  -0.10  -0.52  -0.23  -0.01   0.03   0.05   0.15   0.05   0.10  -0.15  -0.24  -0.05
1956  -0.12  -0.46  -0.39  -0.24  -0.20  -0.17  -0.15  -0.15  -0.25  -0.16  -0.32  -0.29  -0.24
1957  -0.22  -0.17  -0.26  -0.09   0.00   0.15   0.18   0.25   0.24   0.09   0.18   0.43   0.06
1958   0.51   0.30   0.13   0.11   0.13   0.11   0.12   0.19   0.09   0.12   0.14   0.19   0.18
1959   0.22   0.07   0.20   0.16   0.05   0.18   0.14   0.16   0.22  -0.04  -0.22  -0.06   0.09
1960   0.02   0.44  -0.47  -0.10  -0.06   0.19   0.17   0.17   0.17   0.05  -0.10   0.27   0.06
1961   0.09   0.25   0.17   0.11   0.12   0.18   0.10   0.09  -0.05  -0.12  -0.02  -0.13   0.07
1962   0.15   0.29   0.10   0.14   0.10  -0.06   0.18   0.11   0.07   0.17  -0.01   0.11   0.11
1963   0.05   0.47  -0.12   0.00   0.00   0.03   0.21   0.22   0.23   0.43   0.40   0.03   0.16
1964   0.06  -0.27  -0.37  -0.26  -0.02   0.02  -0.01  -0.19  -0.25  -0.27  -0.16  -0.38  -0.17
1965  -0.08  -0.44  -0.17  -0.29  -0.11  -0.15  -0.08  -0.15  -0.09   0.04  -0.10  -0.04  -0.14
1966  -0.07  -0.01   0.06  -0.15  -0.03   0.11   0.21   0.17   0.15   0.08  -0.04  -0.33   0.01
1967  -0.19  -0.29   0.00   0.05   0.18   0.04   0.11   0.16   0.04   0.30   0.01  -0.01   0.03
1968  -0.32  -0.16   0.35  -0.05   0.02   0.04   0.05   0.01   0.02   0.04  -0.06  -0.25  -0.02
1969  -0.59  -0.50  -0.10   0.11   0.07   0.02   0.14   0.07   0.07   0.00   0.15   0.22  -0.03
1970  -0.02   0.24  -0.17   0.09   0.01   0.03   0.01   0.00  -0.02  -0.17  -0.04  -0.32  -0.03
1971  -0.05  -0.41  -0.41  -0.24  -0.17  -0.19  -0.12  -0.15  -0.15  -0.11   0.06  -0.14  -0.17
1972  -0.74  -0.58  -0.22  -0.07  -0.16  -0.05  -0.03   0.02  -0.19  -0.02  -0.16  -0.09  -0.19
1973  -0.01   0.32   0.16   0.07   0.09   0.16   0.07   0.04  -0.05  -0.05  -0.08   0.02   0.06
1974  -0.47  -0.48  -0.20  -0.12  -0.18  -0.14  -0.07  -0.09  -0.11  -0.17  -0.21  -0.37  -0.22
1975   0.08  -0.02   0.04  -0.03  -0.01  -0.09  -0.06  -0.12  -0.04  -0.18  -0.31  -0.30  -0.09
1976  -0.04  -0.35  -0.56  -0.12  -0.26  -0.21  -0.20  -0.16  -0.12  -0.49  -0.36  -0.35  -0.27
1977  -0.47  -0.03   0.19   0.16   0.12   0.19   0.09   0.01   0.18  -0.07   0.27  -0.08   0.05
1978   0.09   0.00   0.07   0.04  -0.07  -0.15  -0.06  -0.17  -0.01  -0.01   0.17  -0.11  -0.02
1979  -0.18  -0.22   0.05  -0.21  -0.04   0.12   0.06   0.04   0.18   0.19   0.10   0.48   0.05
1980   0.07   0.07  -0.19   0.09   0.20   0.18   0.15   0.06   0.04   0.04   0.25   0.07   0.09
1981   0.57   0.38   0.42   0.22   0.10   0.21   0.08   0.14   0.14   0.11   0.14   0.38   0.24
1982  -0.15   0.08  -0.13   0.14   0.09  -0.01   0.07  -0.05   0.10   0.06  -0.09   0.34   0.04
1983   0.56   0.35   0.23   0.09   0.06   0.10   0.26   0.31   0.26   0.15   0.46   0.08   0.24
1984   0.19  -0.11   0.04  -0.07   0.18   0.03   0.10   0.11  -0.04  -0.11  -0.27  -0.64  -0.05
1985  -0.13  -0.44  -0.18  -0.05   0.00  -0.03  -0.09  -0.01  -0.03  -0.01  -0.09  -0.07  -0.09
1986   0.25   0.13   0.08   0.12   0.10   0.16   0.06   0.06   0.04   0.09  -0.05   0.01   0.09
1987   0.11   0.44  -0.14  -0.01   0.21   0.12   0.30   0.29   0.38   0.14   0.06   0.46   0.20
1988   0.44   0.14   0.26   0.40   0.29   0.35   0.37   0.26   0.26   0.19   0.10   0.36   0.28
1989   0.11   0.26   0.26   0.16   0.17   0.21   0.36   0.24   0.23   0.31   0.11   0.24   0.22
1990   0.31   0.46   0.87   0.48   0.37   0.44   0.36   0.42   0.42   0.51   0.54   0.36   0.46
1991   0.48   0.54   0.20   0.54   0.30   0.46   0.47   0.34   0.29   0.31   0.20   0.12   0.35
1992   0.55   0.50   0.31   0.08   0.17   0.16   0.01   0.00  -0.06  -0.02  -0.05   0.21   0.15
1993   0.41   0.49   0.30   0.17   0.26   0.22   0.17   0.08   0.01   0.12  -0.23   0.19   0.18
1994   0.29  -0.07   0.34   0.37   0.32   0.35   0.31   0.34   0.32   0.49   0.52   0.33   0.33
1995   0.73   0.96   0.52   0.42   0.41   0.54   0.44   0.54   0.40   0.55   0.47   0.37   0.53
1996   0.21   0.41   0.10   0.08   0.29   0.29   0.36   0.22   0.15   0.10   0.14   0.33   0.22
1997   0.40   0.50   0.48   0.40   0.42   0.55   0.55   0.55   0.55   0.65   0.46   0.53   0.50
1998   0.53   1.06   0.56   0.76   0.67   0.74   0.80   0.79   0.60   0.57   0.36   0.68   0.68
1999   0.55   0.94   0.13   0.48   0.34   0.36   0.44   0.35   0.36   0.43   0.35   0.70   0.45
2000   0.28   0.64   0.61   0.63   0.50   0.36   0.45   0.55   0.41   0.25   0.08   0.09   0.41

Anomalies are expressed in degrees Celsius and are relative to the 1961-1990 mean.
