    date      Mkt-RF     SMB     HML      RF
19630701   -0.66    0.16   -0.32   0.012
19630702    0.78   -0.28    0.26   0.012
19630703    0.63   -0.18   -0.10   0.012
19630705    0.40    0.09   -0.29   0.012
19630708   -0.62    0.05   -0.20   0.012
19630709    0.45    0.01    0.11   0.012
19630710   -0.17    0.16   -0.02   0.012
19630711   -0.16    0.19   -0.30   0.012
19630712   -0.13    0.01   -0.11   0.012
19630715   -0.62    0.02   -0.01   0.012
19630716   -0.08   -0.11    0.15   0.012
19630717   -0.33   -0.15    0.14   0.012
19630718   -0.58    0.29    0.05   0.012
19630719   -0.26   -0.01   -0.03   0.012
19630722   -0.65   -0.09   -0.33   0.012
19630723    0.00   -0.06   -0.21   0.012
19630724    0.45   -0.09   -0.04   0.012
19630725   -0.04    0.04    0.27   0.012
19630726    0.34   -0.20    0.08   0.012
19630729    0.10   -0.28    0.24   0.012
19630730    0.83   -0.24   -0.28   0.012
19630731   -0.13    0.19   -0.04   0.012
19630801   -0.08   -0.12   -0.13   0.011
19630802    0.29   -0.23    0.15   0.011
19630805    0.56   -0.42    0.15   0.011
19630806    0.59   -0.41    0.23   0.011
19630807   -0.18   -0.01    0.20   0.011
19630808    0.13    0.03   -0.25   0.011
19630809    0.59   -0.10   -0.04   0.011
19630812    0.25    0.09    0.44   0.011
19630813    0.26   -0.30   -0.03   0.011
19630814    0.31   -0.06    0.18   0.011
19630815    0.42   -0.32    0.39   0.011
19630816    0.16    0.10    0.09   0.011
19630819   -0.05    0.07   -0.09   0.011
19630820   -0.06    0.05   -0.23   0.011
19630821   -0.11    0.37   -0.11   0.011
19630822    0.37    0.12    0.10   0.011
19630823    0.34   -0.04    0.10   0.011
19630826    0.18   -0.21    0.16   0.011
19630827   -0.42    0.11   -0.09   0.011
19630828    0.76   -0.04    0.46   0.011
19630829    0.18    0.14    0.03   0.011
19630830    0.43    0.10   -0.09   0.011
19630903    0.23    0.10    0.05   0.013
19630904    0.01    0.10   -0.04   0.013
19630905    0.47   -0.06    0.10   0.013
19630906   -0.26   -0.18   -0.01   0.013
19630909   -0.36   -0.25    0.00   0.013
19630910    0.51   -0.22    0.41   0.013
19630911    0.25   -0.21    0.20   0.013
19630912   -0.09    0.10   -0.11   0.013
19630913    0.03    0.41   -0.18   0.013
19630916   -0.14    0.10    0.19   0.013
19630917    0.03   -0.15    0.17   0.013
19630918   -0.42    0.11   -0.26   0.013
19630919    0.53   -0.45    0.19   0.013
19630920    0.05   -0.04   -0.02   0.013
19630923   -0.50   -0.02   -0.20   0.013
19630924    0.34   -0.40    0.14   0.013
19630925   -0.57   -0.30   -0.05   0.013
19630926   -0.80    0.52   -0.34   0.013
19630927   -0.18    0.32   -0.22   0.013
19630930   -0.59    0.24    0.09   0.013
19631001    0.63   -0.25    0.25   0.013
19631002    0.10   -0.04   -0.01   0.013
19631003    0.66   -0.40    0.87   0.013
19631004    0.01    0.01    0.06   0.013
19631007   -0.22    0.20   -0.01   0.013
19631008   -0.13    0.03    0.28   0.013
19631009   -0.60    0.19   -0.02   0.013
19631010    0.09    0.00    0.13   0.013
19631011    0.13    0.37    0.08   0.013
19631014    0.05    0.02    0.07   0.013
19631015    0.16   -0.21    0.14   0.013
19631016    0.87   -0.32    0.25   0.013
19631017    0.14    0.12   -0.22   0.013
19631018    0.09    0.17   -0.24   0.013
19631021    0.03   -0.06   -0.29   0.013
19631022   -0.53    0.47   -0.49   0.013
19631023    0.03   -0.06   -0.05   0.013
19631024    0.35   -0.17    0.46   0.013
19631025    0.82   -0.23   -0.90   0.013
19631028    0.40   -0.68   -0.29   0.013
19631029   -0.04   -0.19   -0.08   0.013
19631030   -0.77    0.46   -0.05   0.013
19631031    0.21   -0.05    0.12   0.013
19631101   -0.15    0.21    0.17   0.015
19631104   -0.43   -0.07    0.31   0.015
19631106   -0.76    0.06    0.24   0.015
19631107    0.33    0.00   -0.03   0.015
19631108    0.54    0.00    0.06   0.015
19631111    0.20    0.20    0.18   0.015
19631112   -0.36    0.35   -0.27   0.015
19631113    0.05    0.05   -0.08   0.015
19631114   -0.41    0.22   -0.04   0.015
19631115   -0.74    0.33    0.03   0.015
19631118   -0.74    0.17   -0.21   0.015
19631119    0.09   -0.30    0.36   0.015
19631120    0.74   -0.90   -0.37   0.015
19631121   -1.24   -0.10    0.07   0.015
19631122   -2.87   -0.49    0.10   0.015
19631126    3.88   -1.42    0.82   0.015
19631127   -0.15    0.40    0.11   0.015
19631129    1.34    0.17    0.21   0.015
19631202    0.52   -0.29   -0.17   0.014
19631203   -0.05   -0.01   -0.18   0.014
19631204    0.26    0.00    0.12   0.014
19631205    0.57   -0.67    0.10   0.014
19631206   -0.32    0.10    0.08   0.014
19631209   -0.11   -0.05   -0.12   0.014
19631210    0.06   -0.13    0.17   0.014
19631211   -0.12    0.03    0.11   0.014
19631212   -0.02   -0.18   -0.02   0.014
19631213    0.16   -0.07    0.10   0.014
19631216    0.24   -0.43   -0.03   0.014
19631217    0.44   -0.59    0.06   0.014
19631218   -0.17   -0.32    0.59   0.014
19631219   -0.34   -0.01   -0.45   0.014
19631220   -0.19   -0.19    0.11   0.014
19631223   -0.59    0.27   -0.03   0.014
19631224    0.23    0.21   -0.12   0.014
19631226    0.48    0.15    0.06   0.014
19631227    0.18    0.10   -0.16   0.014
19631230    0.07   -0.26   -0.17   0.014
19631231    0.57    0.38   -0.12   0.014
19640102    0.60    0.57    0.55   0.014
19640103    0.18    0.10    0.35   0.014
19640106    0.25    0.12    0.01   0.014
19640107    0.05    0.07    0.74   0.014
19640108    0.33    0.03   -0.12   0.014
19640109    0.30    0.06   -0.34   0.014
19640110   -0.02   -0.05   -0.12   0.014
19640113   -0.08   -0.01    0.45   0.014
19640114    0.16   -0.34    0.64   0.014
19640115    0.26   -0.29   -0.10   0.014
19640116   -0.09    0.27   -0.38   0.014
19640117    0.01    0.34   -0.09   0.014
19640120   -0.25    0.15   -0.51   0.014
19640121    0.22   -0.46    0.08   0.014
19640122    0.49   -0.22    0.40   0.014
19640123    0.10   -0.11    0.19   0.014
19640124    0.04    0.24    0.15   0.014
19640127   -0.13   -0.29    0.08   0.014
19640128   -0.03   -0.24    0.16   0.014
19640129   -0.58   -0.01   -0.15   0.014
19640130    0.03    0.11   -0.32   0.014
19640131    0.39   -0.28   -0.17   0.014
19640203   -0.02   -0.06    0.06   0.014
19640204   -0.13   -0.20   -0.20   0.014
19640205   -0.08    0.01    0.26   0.014
19640206    0.24    0.10   -0.23   0.014
19640207    0.37    0.03    0.12   0.014
19640210   -0.14    0.17   -0.20   0.014
19640211    0.33    0.02   -0.16   0.014
