Date,Avg Temp (C),Max Temp (C),Min Temp (C),Max Wind,Min Barom,Precip,Month,Day,day#
1/1/1989,-4.61,1.72,-9.22,6.44,1019,0,1,1,0
1/2/1989,-0.11,2.39,-2.39,11.97,1007,0.01,1,2,1
1/3/1989,-3.28,-0.11,-10.6,14.43,1002,0.01,1,3,2
1/4/1989,-16.2,-10.7,-19.9,15.79,1002,0,1,4,3
1/5/1989,-15.6,-8.89,-19.5,14.7,1015,0,1,5,4
1/6/1989,-10,-4.78,-17.2,7.75,1022,0,1,6,5
1/7/1989,-2.78,0.17,-6.06,11.72,1023,0,1,7,6
1/8/1989,3.61,7.83,-0.94,19,1008,0.03,1,8,7
1/9/1989,-4.06,-0.89,-8.33,13.98,1015,0,1,9,8
1/10/1989,-5.78,-0.5,-11.2,10.96,1025,0,1,10,9
1/11/1989,-3.83,1.61,-10.7,19.55,1025,0,1,11,10
1/12/1989,-0.61,7.28,-10.6,15.57,1009,0.33,1,12,11
1/13/1989,-1.78,6.89,-7.72,23.55,1010,0,1,13,12
1/14/1989,-1.89,6.28,-9.17,8.62,1019,0.08,1,14,13
1/15/1989,2.56,6.17,0.06,14.6,1012,0.27,1,15,14
1/16/1989,-1.33,0.72,-3,21.13,1014,0.05,1,16,15
1/17/1989,-0.83,3.33,-4.67,19.52,1011,0,1,17,16
1/18/1989,0.44,2.5,-4.11,9.61,1011,0.04,1,18,17
1/19/1989,1.67,4.5,-2.67,13.5,1009,0.02,1,19,18
1/20/1989,-0.56,4.89,-9.28,18.39,1001,0.19,1,20,19
1/21/1989,-14,-9.39,-18.7,19.1,1008,0,1,21,20
1/22/1989,-7.17,3.28,-16.4,4.55,1023,0,1,22,21
1/23/1989,-1.67,9.28,-8.67,3.48,1020,0,1,23,22
1/24/1989,0.83,11.4,-5.67,7.27,1018,0,1,24,23
1/25/1989,-4.83,-0.78,-8.72,12.24,1023,0,1,25,24
1/26/1989,0.11,5,-6.28,14.63,1007,0.35,1,26,25
1/27/1989,-0.61,0.78,-2.94,16.73,1006,0.03,1,27,26
1/28/1989,-1.61,5.56,-10,13.04,1013,0,1,28,27
1/29/1989,3.39,8.56,-1.06,18.77,1012,0.01,1,29,28
1/30/1989,3.39,7.67,0.22,23.12,1000,0.04,1,30,29
1/31/1989,3.33,6.22,0.11,15.02,1004,0,1,31,30
2/1/1989,8.33,17.6,2.06,19.95,1004,0,2,1,31
2/2/1989,-2.94,2.44,-5.39,15.61,1017,0.04,2,2,32
2/3/1989,-4.11,0.28,-10.2,9.49,1016,0.38,2,3,33
2/4/1989,-11.9,-9.78,-13.4,11.42,1024,0,2,4,34
2/5/1989,-10.3,-6.39,-12.7,3.94,1022,0,2,5,35
2/6/1989,-5.44,-1.39,-8.89,11.53,1015,0.03,2,6,36
2/7/1989,-6.22,-2.83,-10.5,12.51,1017,0.03,2,7,37
2/8/1989,-6.94,-0.06,-13.5,16.72,1013,0.02,2,8,38
2/9/1989,-12.6,-8.94,-16.9,28.69,1015,0,2,9,39
2/10/1989,-11.2,-4.72,-16.8,7.69,1015,0,2,10,40
2/11/1989,-5.28,1.5,-11.7,11.6,1010,0,2,11,41
2/12/1989,-3.61,1.28,-8.94,14.53,1009,0,2,12,42
2/13/1989,-5.78,0.33,-14.8,16.66,1025,0.01,2,13,43
2/14/1989,4.17,9.67,-0.22,11.57,1019,0.27,2,14,44
2/15/1989,1.67,3,-1,4.49,1021,0.29,2,15,45
2/16/1989,-3.22,3.44,-11.7,20.15,1024,0,2,16,46
2/17/1989,-10.7,-4.89,-15.9,14.92,1036,0,2,17,47
2/18/1989,-10.3,-3.17,-15.8,9.77,1025,0,2,18,48
2/19/1989,-6,1.56,-11.2,10.06,1019,0,2,19,49
2/20/1989,-1.89,4.17,-9.17,7.41,1019,0,2,20,50
2/21/1989,6.39,12.9,0.67,12.55,1001,0.79,2,21,51
2/22/1989,2,6.11,-0.22,7.83,1007,0.12,2,22,52
2/23/1989,-4.17,0.28,-11.7,15.32,1014,0,2,23,53
2/24/1989,-11.1,-7.5,-13.4,12.1,1019,0,2,24,54
2/25/1989,-11.2,-4.94,-14.5,15.89,1012,0,2,25,55
2/26/1989,-8.33,-2.28,-15.8,5.62,999,0.02,2,26,56
2/27/1989,-3.33,1.44,-7.39,12.79,1000,0,2,27,57
2/28/1989,-3.72,3.61,-9.06,5.77,1013,0,2,28,58
3/1/1989,-3.33,1.78,-7.83,19.46,1012,0.03,3,1,59
3/2/1989,-4.94,-0.78,-7.78,17.39,1019,0,3,2,60
3/3/1989,-4.44,0.5,-7.56,7.96,1022,0,3,3,61
3/4/1989,-1.56,1.39,-3.72,17.91,1021,0.04,3,4,62
3/5/1989,1.56,5.56,-3.44,15.36,1011,0.08,3,5,63
3/6/1989,-7.83,-3.56,-13.3,14.13,1016,0,3,6,64
3/7/1989,-15.2,-9.83,-19,13.25,1025,0,3,7,65
3/8/1989,-9.89,-0.94,-18.9,7.61,1035,0,3,8,66
3/9/1989,-5.22,4.56,-14.7,9.06,1028,0,3,9,67
3/10/1989,-2.33,6.56,-10,8.97,1026,0,3,10,68
3/11/1989,0.39,8.17,-7.72,11.32,1014,0,3,11,69
3/12/1989,-2.11,1.72,-10.2,14.33,1012,0,3,12,70
3/13/1989,-4.78,3.94,-14.4,7.02,1016,0,3,13,71
3/14/1989,3.89,13.2,-5.78,12.41,1009,0,3,14,72
3/15/1989,10,18.6,2.56,15.89,1004,0,3,15,73
3/16/1989,1.06,5.78,-2.83,23.15,1014,0,3,16,74
3/17/1989,6.28,12.5,1.61,12.72,1015,0,3,17,75
3/18/1989,5.06,13.5,-5.72,15.27,1007,0.21,3,18,76
3/19/1989,-2.44,4.39,-6.61,15.21,1017,0,3,19,77
3/20/1989,-1.94,4.83,-9.61,9.88,1013,0.08,3,20,78
3/21/1989,1,5.06,-4.17,18.93,1007,0.19,3,21,79
3/22/1989,-2.83,4.72,-10.4,9.38,1021,0,3,22,80
3/23/1989,-0.83,8.83,-10.1,8.13,1032,0,3,23,81
3/24/1989,0.89,4.5,-1.94,12.66,1018,0.84,3,24,82
3/25/1989,4.44,7.83,1.5,18.82,1014,0.13,3,25,83
3/26/1989,5.72,13,-1.06,16.87,1016,0,3,26,84
3/27/1989,9.33,21,-1.33,9.58,1018,0,3,27,85
3/28/1989,15.2,22.7,4.78,17.13,1006,0.12,3,28,86
3/29/1989,11.1,19.2,0.17,14.84,1007,0.22,3,29,87
3/30/1989,2.11,4.67,1,17.41,1008,0.76,3,30,88
3/31/1989,2.06,3.06,1.11,15.63,998,0.62,3,31,89
4/1/1989,2.11,5.28,-2.06,22.87,999,0.04,4,1,90
4/2/1989,4,13.7,-4,7.25,1018,0,4,2,91
4/3/1989,7.11,10.3,2.56,6.79,1013,0.19,4,3,92
4/4/1989,12.6,17.3,6.94,9.28,1011,0.19,4,4,93
4/5/1989,14.1,14.8,10.7,9.44,1011,0.43,4,5,94
4/6/1989,9,10,4.06,14.08,1002,0.64,4,6,95
4/7/1989,8.39,12.9,2.33,12.76,1003,0.09,4,7,96
4/8/1989,8.22,12.3,1.72,11.47,1003,0,4,8,97
4/9/1989,7.11,12.4,1.28,11.4,1006,0.27,4,9,98
4/10/1989,3.56,9.61,0.67,15.5,1016,0.07,4,10,99
4/11/1989,3.72,8.78,-0.11,11.77,1022,0,4,11,100
4/12/1989,4.89,12.5,-1,7.8,1025,0,4,12,101
4/13/1989,6.28,10.4,2.39,12.37,1022,0.21,4,13,102
4/14/1989,6.56,12.1,2.28,7.41,1021,0,4,14,103
4/15/1989,7.22,11.2,2.67,10.04,1017,0.45,4,15,104
4/16/1989,9.5,11.6,7.06,8.67,1013,0.42,4,16,105
4/17/1989,13.4,20.6,6.17,10.13,1014,0,4,17,106
4/18/1989,12.6,17.5,7.89,11.89,1013,0.02,4,18,107
4/19/1989,9.61,16.2,5.44,17.09,1013,0,4,19,108
4/20/1989,9.39,15.3,3.17,17.01,1017,0,4,20,109
4/21/1989,9.44,17.1,0.11,17.48,1012,0,4,21,110
4/22/1989,4.06,8.39,-1.61,17.26,1011,0,4,22,111
4/23/1989,4.89,10.9,-1.89,18.68,1011,0,4,23,112
4/24/1989,8.22,14.7,0.67,18.47,1010,0,4,24,113
4/25/1989,9.33,17.3,3,16.07,1009,0,4,25,114
4/26/1989,11.2,20.3,1.83,14.35,1011,0,4,26,115
4/27/1989,10.1,17.9,2.11,17.07,1009,0,4,27,116
4/28/1989,9.06,17.2,1.28,13.48,1011,0,4,28,117
4/29/1989,8.89,14.1,1.67,5.68,1016,0.24,4,29,118
4/30/1989,15.2,23.4,9.83,9.94,1017,0,4,30,119
5/1/1989,16.8,21.3,13.1,9.63,1014,0.33,5,1,120
5/2/1989,13.9,16.4,8.94,14.86,1001,1.18,5,2,121
5/3/1989,9.94,12.3,7.78,16.41,1006,0.03,5,3,122
5/4/1989,12.9,20.8,6,10.18,1016,0,5,4,123
5/5/1989,11.8,16.8,6.61,14.85,1013,0.29,5,5,124
5/6/1989,16.9,20.6,11.7,16.12,1003,1,5,6,125
5/7/1989,13.8,17.2,6.33,15.86,1002,0.01,5,7,126
5/8/1989,8.72,12.8,4.83,11.06,1007,0.02,5,8,127
5/9/1989,12,18.5,5.72,11.58,1017,0.03,5,9,128
5/10/1989,12.3,16.4,8.44,11.6,1015,0.79,5,10,129
5/11/1989,12.1,15.5,7.94,18.52,1010,0.34,5,11,130
5/12/1989,15.1,19.9,11.3,10.31,1008,0.3,5,12,131
5/13/1989,14.4,18.2,11.8,5.63,1014,0.11,5,13,132
5/14/1989,14.1,19.8,8.78,8.5,1019,0,5,14,133
5/15/1989,15.8,22,8.44,5.18,1016,0,5,15,134
5/16/1989,15.9,20.2,11.1,10.1,1015,0.01,5,16,135
5/17/1989,20.1,27.8,11.9,10.3,1015,0,5,17,136
5/18/1989,21,30.3,12.8,7.32,1020,0,5,18,137
5/19/1989,21.8,31.3,13.3,12.3,1021,0,5,19,138
5/20/1989,21.9,30.8,14.2,7.97,1014,0,5,20,139
5/21/1989,18.8,26.2,13.4,17.29,1012,0.17,5,21,140
5/22/1989,18.8,23.7,12.5,17.44,1013,0,5,22,141
5/23/1989,17.6,23.7,10.6,7.77,1011,0.05,5,23,142
5/24/1989,16.6,18.4,14.8,8.21,1008,0.71,5,24,143
5/25/1989,20.3,28.1,14.9,6.14,1010,0.01,5,25,144
5/26/1989,20.9,25.5,17.3,7.89,1011,0.11,5,26,145
5/27/1989,17.4,22.2,13.9,12.33,1013,0.1,5,27,146
5/28/1989,15.3,20.6,11.3,14.69,1018,0.01,5,28,147
5/29/1989,16.7,25.8,8.83,7.46,1021,0,5,29,148
5/30/1989,17.9,21.1,13.4,7.1,1017,0.05,5,30,149
5/31/1989,21.4,26.6,17.8,5.47,1017,0.01,5,31,150
6/1/1989,22.4,27.9,18.4,12.08,1015,0.3,6,1,151
6/2/1989,21.4,28.2,17.7,10.27,1011,1.13,6,2,152
6/3/1989,20.9,27.1,16.4,9.14,1012,0,6,3,153
6/4/1989,19.7,24.2,14.1,9.74,1008,0.08,6,4,154
6/5/1989,18.6,26.6,12.2,9.24,1015,0,6,5,155
6/6/1989,17.3,19.2,15.3,5.17,1013,0.8,6,6,156
6/7/1989,18.4,21.3,15.9,3.85,1016,0.46,6,7,157
6/8/1989,19.3,22.3,17.2,5,1016,0.04,6,8,158
6/9/1989,17.8,19.3,15.2,15.06,1011,0.73,6,9,159
6/10/1989,17.7,23.4,15.2,14.29,1008,0.14,6,10,160
6/11/1989,17.6,23.1,14.8,18.73,1012,0.01,6,11,161
6/12/1989,19.4,25.3,13.6,14.13,1014,0,6,12,162
6/13/1989,16.8,18.2,15.7,3.39,1009,0.5,6,13,163
6/14/1989,17.9,22.4,15.2,4.65,1013,0.19,6,14,164
6/15/1989,15.2,16.5,14.2,8.05,1017,0.38,6,15,165
6/16/1989,18.6,22.7,15.3,8.6,1016,0.69,6,16,166
6/17/1989,21.7,27.4,18.2,9.32,1017,0.04,6,17,167
6/18/1989,19.3,24.9,14.9,11.93,1019,0,6,18,168
6/19/1989,20.9,27.1,16.1,8.02,1020,0.07,6,19,169
6/20/1989,21.9,29.7,15.8,6.31,1023,0,6,20,170
6/21/1989,21.7,27.8,17.9,8.15,1020,0,6,21,171
6/22/1989,22.5,29.1,18.2,8.06,1018,0,6,22,172
6/23/1989,22.1,30.2,17.4,14.78,1014,0.3,6,23,173
6/24/1989,20.1,25.9,16.9,10.66,1013,0.07,6,24,174
6/25/1989,21.6,28.9,17,7.22,1017,0,6,25,175
6/26/1989,22.5,30.6,17,6.01,1014,0.06,6,26,176
6/27/1989,24.6,31.4,19.8,4.04,1011,0,6,27,177
6/28/1989,21.7,26,18.8,9.07,1011,0.08,6,28,178
6/29/1989,18,23.2,12.4,9.21,1015,0,6,29,179
6/30/1989,18.9,26.3,12.7,8.31,1022,0.01,6,30,180
7/1/1989,20.1,27.6,16,4.45,1020,0,7,1,181
7/2/1989,22.3,29.9,15.6,10.17,1018,0,7,2,182
7/3/1989,23.4,31.3,16.9,9.63,1018,0,7,3,184
7/4/1989,22.2,26.8,17.5,6.6,1022,0,7,4,185
7/5/1989,21.3,23.8,18.5,6.56,1023,0.85,7,5,186
7/6/1989,23.3,28.8,20,3.95,1018,0.14,7,6,187
7/7/1989,23.8,30.9,19.8,6.97,1014,0.15,7,7,188
7/8/1989,21.7,25.9,16.6,8.69,1015,0,7,8,189
7/9/1989,19.8,26.1,14.9,7.43,1016,0,7,9,190
7/10/1989,21.9,27.7,17.3,10.3,1005,0.68,7,10,191
7/11/1989,22.3,26.4,16.8,12.14,1010,0.01,7,11,192
7/12/1989,20.1,27.2,15.6,8.18,1016,0,7,12,193
7/13/1989,20.8,27.4,15.9,3.09,1011,0,7,13,194
7/14/1989,20.6,26.4,17.3,7.95,1010,0.04,7,14,195
7/15/1989,20.3,27.5,15.2,6.96,1016,0,7,15,196
7/16/1989,19.9,26,15.4,7.25,1020,0,7,16,197
7/17/1989,20.2,28.2,16.9,6.16,1017,0,7,17,198
7/18/1989,22.8,30.9,18.1,4.71,1019,0,7,18,199
7/19/1989,23.4,30.3,18.5,5.17,1015,0,7,19,200
7/20/1989,21.3,24.1,19.2,2.41,1014,0.56,7,20,201
7/21/1989,22.5,27,19.3,6.59,1019,0,7,21,202
7/22/1989,24.1,28.1,20.5,3.54,1025,0,7,22,203
7/23/1989,22.7,28.9,17.4,7.28,1025,0,7,23,204
7/24/1989,21.7,29.8,15.3,5.55,1026,0,7,24,205
7/25/1989,24.1,32.4,17.8,5.3,1023,0,7,25,206
7/26/1989,24.9,31,18.7,5.86,1020,0,7,26,207
7/27/1989,23.7,30.9,18.8,6.18,1010,0.81,7,27,208
7/28/1989,18.9,25.1,12.7,9.99,1009,0.71,7,28,209
7/29/1989,16.6,24.1,9.72,9.57,1015,0,7,29,210
7/30/1989,16.2,23.7,11.4,10.13,1019,0.02,7,30,211
7/31/1989,19.1,27.2,11.8,7.05,1021,0,7,31,212
8/1/1989,19.3,27.1,11.8,5.96,1020,0,8,1,213
8/2/1989,18.9,26.8,12.7,5.57,1013,0.04,8,2,214
8/3/1989,22.1,30.1,16.9,5.76,1011,0,8,3,215
8/4/1989,24.4,30.4,19.3,9.59,1005,0,8,4,216
