Date,Avg Temp (C),Max Temp (C),Min Temp (C),Max Wind,Min Barom,Precip,Month,Day,day#
8/5/1989,24.3,29.2,20.2,10.15,1002,0.32,8,5,217
8/6/1989,23.4,29.8,18.8,14.2,1006,0.01,8,6,218
8/7/1989,18.2,21.7,12.6,8.26,1007,0.11,8,7,219
8/8/1989,13.6,18.9,8.33,11.08,1009,0,8,8,220
8/9/1989,14,21.6,6.39,6.67,1018,0,8,9,221
8/10/1989,17.2,25.5,9,3.97,1026,0,8,10,222
8/11/1989,14.8,17.7,13.2,5.66,1025,0.55,8,11,223
8/12/1989,17.4,22.2,13.6,6.81,1022,0.94,8,12,224
8/13/1989,21.1,26.1,18.4,5.73,1020,0.45,8,13,225
8/14/1989,22.3,28.8,18.1,3.41,1020,0,8,14,226
8/15/1989,22.6,28.6,18.4,5.13,1015,0,8,15,227
8/16/1989,22.2,25.9,18.2,11.93,1013,0.03,8,16,228
8/17/1989,18.7,25.9,13.1,7.25,1016,0,8,17,229
8/18/1989,17.4,24.6,9.67,4.55,1024,0,8,18,230
8/19/1989,19.1,24.1,15.4,7.09,1020,0.03,8,19,231
8/20/1989,20.8,25.3,17.3,6.21,1014,0,8,20,232
8/21/1989,21.9,26.1,17.9,9.28,1012,0.27,8,21,233
8/22/1989,20.3,24.3,17.7,9.87,1013,0.01,8,22,234
8/23/1989,19.4,25.2,14.6,12.25,1010,0.4,8,23,235
8/24/1989,16.1,22.2,11.3,11,1014,0,8,24,236
8/25/1989,11.8,19.7,6.11,10.31,1018,0,8,25,237
8/26/1989,13.2,20.8,7,11.92,1018,0,8,26,238
8/27/1989,13.4,21.6,5.39,7.95,1020,0,8,27,239
8/28/1989,18.1,25.2,12.6,4.44,1021,0.01,8,28,240
8/29/1989,19.2,22.7,16,5.37,1013,0.13,8,29,241
8/30/1989,20.1,25.1,16.4,14.6,1009,0.05,8,30,242
8/31/1989,17.8,23.1,14.1,12.89,1012,0,8,31,243
9/1/1989,18.2,25.3,11.8,15.93,1006,0.43,9,1,244
9/2/1989,17.9,21.4,10,12.06,1007,0.01,9,2,245
9/3/1989,13.1,20.7,7.67,7.55,1021,0,9,3,246
9/4/1989,13.8,22.7,6.44,7.9,1029,0,9,4,247
9/5/1989,13.3,21.6,7.17,5.27,1028,0,9,5,248
9/6/1989,15.9,25.5,8.5,4.9,1024,0,9,6,249
9/7/1989,17.8,28.6,10.7,4.59,1020,0,9,7,250
9/8/1989,19,28.5,13.2,7.4,1017,0,9,8,251
9/9/1989,20.7,29.8,13.7,5.12,1014,0,9,9,252
9/10/1989,23.4,31.7,18.4,4.35,1013,0,9,10,253
9/11/1989,20.9,23.1,17.7,6.98,1015,0,9,11,254
9/12/1989,16.8,20.7,12.2,7.37,1019,0,9,12,255
9/13/1989,17.1,25.7,11.1,5.57,1022,0,9,13,256
9/14/1989,17.2,21.2,14.3,5.46,1014,0.15,9,14,257
9/15/1989,15.7,18.2,11,8.32,1011,0.1,9,15,258
9/16/1989,13.9,19.9,8.67,9.93,1017,0.26,9,16,259
9/17/1989,16,18.9,13.4,6.03,1014,0.3,9,17,260
9/18/1989,15.9,21.9,12.8,5.57,1019,0,9,18,261
9/19/1989,15.1,16.3,12.9,9.5,1025,0.16,9,19,262
9/20/1989,18.9,22.6,15.6,6.98,1023,0.96,9,20,263
9/21/1989,21.2,25.2,19.2,5.13,1023,0.01,9,21,264
9/22/1989,23.1,27.1,20.6,14.88,1003,0.11,9,22,265
9/23/1989,13.9,23.9,5.44,23.23,1000,0.43,9,23,266
9/24/1989,7.17,14.8,1.5,15,1013,0,9,24,267
9/25/1989,9.17,19.2,-0.56,8.21,1021,0,9,25,268
9/26/1989,12.9,18.1,7.06,14.79,1010,0.6,9,26,269
9/27/1989,6.28,13.7,1,11.37,1019,0,9,27,270
9/28/1989,7.78,20.2,-1.06,6.41,1020,0,9,28,271
9/29/1989,13.9,24.4,5.06,9.84,1012,0,9,29,272
9/30/1989,10.8,20.4,4.17,9.39,1018,0,9,30,273
10/1/1989,11.3,23.2,2.89,12.12,1023,0,10,1,274
10/2/1989,15.4,18.4,9.67,8.23,1010,0.48,10,2,275
10/3/1989,11.9,18.9,4.56,19.72,1009,0.07,10,3,276
10/4/1989,6.72,11.9,3.22,20.89,1006,0.01,10,4,277
10/5/1989,9,16.6,3.83,13.82,1007,0,10,5,278
10/6/1989,11.1,17.3,6.17,7.45,1005,0.09,10,6,279
10/7/1989,10.2,15.1,7.17,17.07,1007,0,10,7,280
10/8/1989,6.44,11.5,3.06,12.26,1011,0,10,8,281
10/9/1989,4.67,10.7,0.33,12.15,1012,0,10,9,282
10/10/1989,5.89,14.4,-2.83,11.73,1020,0,10,10,283
10/11/1989,7.61,13.4,3,9.05,1016,0.43,10,11,284
10/12/1989,11.1,21.8,1.28,12.06,1014,0,10,12,285
10/13/1989,13.9,23.1,5.33,13.67,1016,0,10,13,286
10/14/1989,9,14.9,1.44,8.98,1018,0.47,10,14,287
10/15/1989,12.1,17.8,8.83,7.34,1015,0.34,10,15,288
10/16/1989,16.2,24.4,11.9,6.92,1013,0,10,16,289
10/17/1989,10.7,16.6,6.11,10.15,1013,0.84,10,17,290
10/18/1989,5.83,7,4.06,7.53,1018,0,10,18,291
10/19/1989,4.61,5.72,3.5,11.7,1022,0.34,10,19,292
10/20/1989,10.1,15.8,5.39,17.1,1004,1.3,10,20,293
10/21/1989,5.22,8.22,2.56,10.73,1004,0.03,10,21,294
10/22/1989,5.17,9.94,0.72,15.82,1009,0.02,10,22,295
10/23/1989,6.33,19.9,-0.94,7.25,1025,0,10,23,296
10/24/1989,8.11,22.4,-1.22,4.54,1029,0,10,24,297
10/25/1989,9.72,23.3,1.06,8.68,1027,0,10,25,298
10/26/1989,10.4,23.1,1.83,6.72,1026,0,10,26,299
10/27/1989,11.9,22.7,5.11,9.05,1026,0,10,27,300
10/28/1989,12.8,23.6,7.89,7.02,1025,0,10,28,301
10/29/1989,10.4,23.3,2.67,7.74,1025,0,10,29,302
10/30/1989,11.5,22.7,4.61,8.8,1023,0,10,30,303
10/31/1989,14.8,19.4,9.39,10.97,1006,0.28,10,31,304
11/1/1989,9.44,15.3,5,20.25,1006,0.14,11,1,305
11/2/1989,6.44,12.9,0.89,8.78,1017,0,11,2,306
11/3/1989,3.22,6.06,-2,14.8,1011,0.36,11,3,307
11/4/1989,-1.61,4.5,-6.11,8.61,1017,0,11,4,308
11/5/1989,3.67,11.1,-3.44,12.74,1020,0,11,5,309
11/6/1989,9.44,12.6,6.17,21.14,1011,0.14,11,6,310
11/7/1989,8.22,13.7,1.61,7.7,1010,0.06,11,7,311
11/8/1989,9.33,12.7,7.83,10.95,1008,0.08,11,8,312
11/9/1989,8.83,14.9,3.83,15.02,995,0.44,11,9,313
11/10/1989,4.83,13.3,-0.06,14.94,1002,0.03,11,10,314
11/11/1989,5.83,9.28,0.83,15.97,1004,0.06,11,11,315
11/12/1989,3.17,9.28,-1.22,18.27,1004,0.01,11,12,316
11/13/1989,2.44,7.39,-2.83,12.1,1017,0,11,13,317
11/14/1989,12.9,23.6,3.94,10.43,1012,0.01,11,14,318
11/15/1989,15.4,18.1,13.3,11,1007,0.1,11,15,319
11/16/1989,12.7,18.4,1,24.15,988,0.62,11,16,320
11/17/1989,0.67,4.94,-3.06,15.52,999,0.01,11,17,321
11/18/1989,-0.56,5.06,-3.83,17.56,1012,0,11,18,322
11/19/1989,-2.94,2.67,-6.11,13.85,1008,0,11,19,323
11/20/1989,0.67,4.72,-2.56,32.81,980,0.45,11,20,324
11/21/1989,-5.11,1.89,-9.22,29.16,981,0.01,11,21,325
11/22/1989,-6.39,-0.78,-10.4,16.57,1008,0,11,22,326
11/23/1989,-6.78,-1.28,-9.78,8.45,1010,0.09,11,23,327
11/24/1989,-5.61,1.5,-11.4,17.05,1013,0,11,24,328
11/25/1989,-1.17,4,-8.17,6.5,1009,0,11,25,329
11/26/1989,2.5,6.83,0.56,15.45,1005,0.14,11,26,330
11/27/1989,-0.22,2.94,-4.33,22.91,1012,0.09,11,27,331
11/28/1989,5.44,14.3,-0.28,25.45,998,0.07,11,28,332
11/29/1989,-6.72,-0.33,-10.9,17.94,1010,0,11,29,333
11/30/1989,-5.22,2.22,-11.4,21.13,1002,0.04,11,30,334
12/1/1989,-11.6,-6.56,-17.2,15.59,1010,0,12,1,335
12/2/1989,-10.8,-6.11,-18,9.85,1001,0.14,12,2,336
12/3/1989,-10,-4.61,-14.6,26.17,995,0,12,3,337
12/4/1989,-14.1,-9.22,-18.3,18.45,999,0,12,4,338
12/5/1989,-12.4,-3.94,-16.9,7.13,1003,0,12,5,339
12/6/1989,-3.89,2.78,-15.8,9.26,1000,0.12,12,6,340
12/7/1989,-8.11,2.61,-13.5,21.3,1001,0,12,7,341
12/8/1989,-13,-8.94,-16.2,8.49,1022,0,12,8,342
12/9/1989,-12.6,-3.56,-17.5,8.79,1015,0,12,9,343
12/10/1989,-7.17,-1.39,-15.2,9.89,1008,0,12,10,344
12/11/1989,-2.5,-0.22,-8.44,7.57,1009,0,12,11,345
12/12/1989,-8.67,-4.56,-11.6,8.9,1013,0,12,12,346
12/13/1989,-12.7,-7.06,-17.2,9.68,1010,0,12,13,347
12/14/1989,-15.1,-7.61,-19.8,9.29,1011,0,12,14,348
12/15/1989,-11,-4.39,-17.6,10.6,1001,0.07,12,15,349
12/16/1989,-10.2,-7.72,-13.4,20.59,997,0.17,12,16,350
12/17/1989,-9.61,-4.28,-12.6,30.41,1008,0,12,17,351
12/18/1989,-10.2,-2.89,-13.4,8.92,1016,0,12,18,352
12/19/1989,-10.8,-6.5,-16.7,4.18,1013,0,12,19,353
12/20/1989,-10.9,-5.89,-15.1,16.9,1012,0,12,20,354
12/21/1989,-13.8,-9.44,-16.9,10.9,1012,0,12,21,355
12/22/1989,-18.5,-12.3,-22.5,12.47,1017,0,12,22,356
12/23/1989,-19.3,-11.2,-23.3,9.65,1030,0,12,23,357
12/24/1989,-18.3,-8.17,-24.8,9.93,1015,0,12,24,358
12/25/1989,-9.44,-5.67,-17.9,10.15,1002,0,12,25,359
12/26/1989,-9.22,-3.33,-17.1,24.97,996,0.03,12,26,360
12/27/1989,-16.2,-11.9,-22.4,15.43,1010,0,12,27,361
12/28/1989,-9.5,-4,-14.2,15.81,1010,0,12,28,362
12/29/1989,-11.9,-8.78,-17.9,4.96,1019,0.08,12,29,363
12/30/1989,-5.67,-1.56,-9.61,8.61,1022,0.05,12,30,364
12/31/1989,2.22,6.33,-1.67,10.56,997,0.16,12,31,365
,,,,,,,,,ò
