"","year","ai","sd","ainew","sdnew","idgurr","ccode"
"1958",1989,NA,NA,NA,NA,531,531
"1959",1990,NA,NA,NA,NA,531,531
"1960",1991,NA,NA,NA,NA,531,531
"1961",1992,NA,NA,NA,NA,531,531
"1962",1993,2,1,2,1,531,531
"1963",1976,3,NA,3,3,540,540
"1964",1977,NA,NA,NA,NA,540,540
"1965",1978,3,NA,3,3,540,540
"1966",1979,3,2,3,2,540,540
"1967",1980,3,3,3,3,540,540
"1968",1981,3,3,3,3,540,540
"1969",1982,3,3,3,3,540,540
"1970",1983,3,5,3,5,540,540
"1971",1984,3,3,3,3,540,540
"1972",1985,3,1,3,1,540,540
"1973",1986,4,5,4,5,540,540
"1974",1987,4,5,4,5,540,540
"1975",1988,4,4,4,4,540,540
"1976",1989,4,4,4,4,540,540
"1977",1990,4,4,4,4,540,540
"1978",1991,3,3,3,3,540,540
"1979",1992,4,5,4,5,540,540
"1980",1993,5,5,5,5,540,540
"1981",1976,4,NA,4,4,541,541
"1982",1977,3,3,3,3,541,541
"1983",1978,3,3,3,3,541,541
"1984",1979,3,3,3,3,541,541
"1985",1980,3,3,3,3,541,541
"1986",1981,3,2,3,2,541,541
"1987",1982,3,3,3,3,541,541
"1988",1983,3,5,3,5,541,541
"1989",1984,3,3,3,3,541,541
"1990",1985,4,5,4,5,541,541
"1991",1986,4,5,4,5,541,541
"1992",1987,4,5,4,5,541,541
"1993",1988,3,4,3,4,541,541
"1994",1989,3,4,3,4,541,541
"1995",1990,3,4,3,4,541,541
"1996",1991,3,4,3,4,541,541
"1997",1992,4,5,4,5,541,541
"1998",1993,3,4,3,4,541,541
"1999",1976,3,NA,3,3,551,551
"2000",1977,NA,2,2,2,551,551
"2001",1978,NA,3,3,3,551,551
"2002",1979,2,3,2,3,551,551
"2003",1980,3,3,3,3,551,551
"2004",1981,3,3,3,3,551,551
"2005",1982,3,3,3,3,551,551
"2006",1983,3,2,3,2,551,551
"2007",1984,2,2,2,2,551,551
"2008",1985,2,2,2,2,551,551
"2009",1986,3,3,3,3,551,551
"2010",1987,3,2,3,2,551,551
"2011",1988,2,3,2,3,551,551
"2012",1989,2,2,2,2,551,551
"2013",1990,3,3,3,3,551,551
"2014",1991,1,2,1,2,551,551
"2015",1992,3,2,3,2,551,551
"2016",1993,3,3,3,3,551,551
"2017",1976,NA,NA,NA,NA,552,552
"2018",1977,NA,NA,NA,NA,552,552
"2019",1978,NA,NA,NA,NA,552,552
"2020",1979,NA,NA,NA,NA,552,552
"2021",1980,3,2,3,2,552,552
"2022",1981,3,2,3,2,552,552
"2023",1982,3,3,3,3,552,552
"2024",1983,4,5,4,5,552,552
"2025",1984,5,4,5,4,552,552
"2026",1985,4,5,4,5,552,552
"2027",1986,3,3,3,3,552,552
"2028",1987,3,3,3,3,552,552
"2029",1988,2,3,2,3,552,552
"2030",1989,2,3,2,3,552,552
"2031",1990,2,3,2,3,552,552
"2032",1991,2,2,2,2,552,552
"2033",1992,2,2,2,2,552,552
"2034",1993,2,2,2,2,552,552
"2035",1976,3,NA,3,3,553,553
"2036",1977,2,3,2,3,553,553
"2037",1978,2,2,2,2,553,553
"2038",1979,2,2,2,2,553,553
"2039",1980,2,2,2,2,553,553
"2040",1981,2,2,2,2,553,553
"2041",1982,2,2,2,2,553,553
"2042",1983,3,3,3,3,553,553
"2043",1984,2,3,2,3,553,553
"2044",1985,3,3,3,3,553,553
"2045",1986,3,2,3,2,553,553
"2046",1987,2,2,2,2,553,553
"2047",1988,2,2,2,2,553,553
"2048",1989,3,2,3,2,553,553
"2049",1990,2,3,2,3,553,553
"2050",1991,3,3,3,3,553,553
"2051",1992,3,3,3,3,553,553
"2052",1993,2,2,2,2,553,553
"2053",1976,4,NA,4,4,560,560
"2054",1977,4,3,4,3,560,560
"2055",1978,3,NA,3,3,560,560
"2056",1979,3,3,3,3,560,560
"2057",1980,3,3,3,3,560,560
"2058",1981,3,2,3,2,560,560
"2059",1982,3,3,3,3,560,560
"2060",1983,4,2,4,2,560,560
"2061",1984,3,3,3,3,560,560
"2062",1985,4,4,4,4,560,560
"2063",1986,5,5,5,5,560,560
"2064",1987,4,5,4,5,560,560
"2065",1988,4,5,4,5,560,560
"2066",1989,4,4,4,4,560,560
"2067",1990,4,4,4,4,560,560
"2068",1991,5,4,5,4,560,560
"2069",1992,5,4,5,4,560,560
"2070",1993,5,5,5,5,560,560
"2071",1976,NA,NA,NA,NA,562,562
"2072",1977,NA,NA,NA,NA,562,562
"2073",1978,NA,NA,NA,NA,562,562
"2074",1979,NA,NA,NA,NA,562,562
"2075",1980,NA,NA,NA,NA,562,562
"2076",1981,NA,NA,NA,NA,562,562
"2077",1982,NA,NA,NA,NA,562,562
"2078",1983,NA,NA,NA,NA,562,562
"2079",1984,NA,NA,NA,NA,562,562
"2080",1985,NA,NA,NA,NA,562,562
"2081",1986,NA,NA,NA,NA,562,562
"2082",1987,NA,NA,NA,NA,562,562
"2083",1988,NA,NA,NA,NA,562,562
"2084",1989,4,3,4,3,562,562
"2085",1990,2,2,2,2,562,562
"2086",1991,2,2,2,2,562,562
"2087",1992,2,2,2,2,562,562
"2088",1993,1,1,1,1,562,562
"2089",1976,2,1,2,1,570,570
"2090",1977,2,1,2,1,570,570
"2091",1978,2,1,2,1,570,570
"2092",1979,3,2,3,2,570,570
"2093",1980,2,2,2,2,570,570
"2094",1981,3,2,3,2,570,570
"2095",1982,3,2,3,2,570,570
"2096",1983,2,2,2,2,570,570
"2097",1984,2,2,2,2,570,570
"2098",1985,3,3,3,3,570,570
"2099",1986,3,2,3,2,570,570
"2100",1987,2,2,2,2,570,570
"2101",1988,3,3,3,3,570,570
"2102",1989,2,2,2,2,570,570
"2103",1990,2,2,2,2,570,570
"2104",1991,3,2,3,2,570,570
"2105",1992,NA,3,3,3,570,570
"2106",1993,2,3,2,3,570,570
"2107",1976,2,1,2,1,571,571
"2108",1977,NA,1,1,1,571,571
"2109",1978,NA,1,1,1,571,571
"2110",1979,NA,1,1,1,571,571
"2111",1980,1,1,1,1,571,571
"2112",1981,1,1,1,1,571,571
"2113",1982,NA,1,1,1,571,571
"2114",1983,NA,1,1,1,571,571
"2115",1984,1,1,1,1,571,571
"2116",1985,NA,1,1,1,571,571
"2117",1986,1,1,1,1,571,571
"2118",1987,NA,1,1,1,571,571
"2119",1988,NA,1,1,1,571,571
"2120",1989,NA,1,1,1,571,571
"2121",1990,NA,1,1,1,571,571
"2122",1991,NA,1,1,1,571,571
"2123",1992,2,1,2,1,571,571
"2124",1993,NA,1,1,1,571,571
"2125",1976,1,2,1,2,572,572
"2126",1977,2,2,2,2,572,572
"2127",1978,2,1,2,1,572,572
"2128",1979,2,2,2,2,572,572
"2129",1980,2,1,2,1,572,572
"2130",1981,2,1,2,1,572,572
"2131",1982,2,1,2,1,572,572
"2132",1983,2,2,2,2,572,572
"2133",1984,3,2,3,2,572,572
"2134",1985,2,2,2,2,572,572
"2135",1986,2,1,2,1,572,572
"2136",1987,2,2,2,2,572,572
"2137",1988,1,2,1,2,572,572
"2138",1989,2,2,2,2,572,572
"2139",1990,2,2,2,2,572,572
"2140",1991,2,2,2,2,572,572
"2141",1992,1,2,1,2,572,572
"2142",1993,3,2,3,2,572,572
"2143",1976,3,NA,3,3,580,580
"2144",1977,NA,NA,NA,NA,580,580
"2145",1978,NA,1,1,1,580,580
"2146",1979,2,2,2,2,580,580
"2147",1980,2,2,2,2,580,580
"2148",1981,2,2,2,2,580,580
"2149",1982,2,2,2,2,580,580
"2150",1983,2,2,2,2,580,580
"2151",1984,NA,2,2,2,580,580
"2152",1985,2,2,2,2,580,580
"2153",1986,2,2,2,2,580,580
"2154",1987,2,2,2,2,580,580
"2155",1988,4,3,4,3,580,580
"2156",1989,3,3,3,3,580,580
"2157",1990,2,2,2,2,580,580
"2158",1991,3,3,3,3,580,580
"2159",1992,3,3,3,3,580,580
"2160",1993,NA,3,3,3,580,580
"2161",1976,2,NA,2,2,581,581
"2162",1977,3,NA,3,3,581,581
"2163",1978,3,2,3,2,581,581
"2164",1979,2,2,2,2,581,581
"2165",1980,2,2,2,2,581,581
"2166",1981,2,2,2,2,581,581
"2167",1982,2,2,2,2,581,581
"2168",1983,2,2,2,2,581,581
"2169",1984,NA,2,2,2,581,581
"2170",1985,3,2,3,2,581,581
"2171",1986,3,2,3,2,581,581
"2172",1987,3,3,3,3,581,581
"2173",1988,2,2,2,2,581,581
"2174",1989,2,2,2,2,581,581
"2175",1990,2,1,2,1,581,581
"2176",1991,2,1,2,1,581,581
"2177",1992,3,2,3,2,581,581
"2178",1993,3,1,3,1,581,581
"2179",1976,NA,NA,NA,NA,590,590
"2180",1977,NA,NA,NA,NA,590,590
"2181",1978,2,1,2,1,590,590
"2182",1979,NA,1,1,1,590,590
"2183",1980,NA,1,1,1,590,590
"2184",1981,NA,1,1,1,590,590
"2185",1982,NA,1,1,1,590,590
"2186",1983,NA,1,1,1,590,590
"2187",1984,1,1,1,1,590,590
"2188",1985,NA,1,1,1,590,590
"2189",1986,1,1,1,1,590,590
"2190",1987,1,1,1,1,590,590
"2191",1988,1,1,1,1,590,590
"2192",1989,1,1,1,1,590,590
"2193",1990,2,1,2,1,590,590
"2194",1991,1,1,1,1,590,590
"2195",1992,1,1,1,1,590,590
"2196",1993,1,1,1,1,590,590
"2197",1976,1,NA,1,1,591,591
"2198",1977,NA,NA,NA,NA,591,591
"2199",1978,NA,1,1,1,591,591
"2200",1979,2,2,2,2,591,591
"2201",1980,NA,2,2,2,591,591
"2202",1981,2,2,2,2,591,591
"2203",1982,2,2,2,2,591,591
"2204",1983,NA,2,2,2,591,591
"2205",1984,2,2,2,2,591,591
"2206",1985,2,2,2,2,591,591
"2207",1986,2,2,2,2,591,591
"2208",1987,2,2,2,2,591,591
"2209",1988,NA,2,2,2,591,591
"2210",1989,NA,2,2,2,591,591
"2211",1990,NA,2,2,2,591,591
"2212",1991,2,2,2,2,591,591
"2213",1992,NA,2,2,2,591,591
"2214",1993,NA,1,1,1,591,591
"2215",1976,3,3,3,3,600,600
"2216",1977,4,2,4,2,600,600
"2217",1978,3,2,3,2,600,600
"2218",1979,3,2,3,2,600,600
"2219",1980,3,2,3,2,600,600
"2220",1981,3,3,3,3,600,600
"2221",1982,4,3,4,3,600,600
"2222",1983,4,3,4,3,600,600
"2223",1984,4,3,4,3,600,600
"2224",1985,4,3,4,3,600,600
"2225",1986,3,3,3,3,600,600
"2226",1987,3,3,3,3,600,600
"2227",1988,3,3,3,3,600,600
"2228",1989,3,3,3,3,600,600
"2229",1990,3,3,3,3,600,600
"2230",1991,3,3,3,3,600,600
"2231",1992,3,3,3,3,600,600
"2232",1993,3,3,3,3,600,600
"2233",1976,2,NA,2,2,615,615
"2234",1977,2,NA,2,2,615,615
"2235",1978,NA,NA,NA,NA,615,615
"2236",1979,4,2,4,2,615,615
"2237",1980,2,1,2,1,615,615
"2238",1981,2,1,2,1,615,615
"2239",1982,2,1,2,1,615,615
"2240",1983,2,1,2,1,615,615
"2241",1984,2,2,2,2,615,615
"2242",1985,2,2,2,2,615,615
"2243",1986,2,2,2,2,615,615
"2244",1987,2,2,2,2,615,615
"2245",1988,4,3,4,3,615,615
"2246",1989,2,2,2,2,615,615
"2247",1990,2,2,2,2,615,615
"2248",1991,3,3,3,3,615,615
"2249",1992,4,4,4,4,615,615
"2250",1993,4,5,4,5,615,615
"2251",1976,2,2,2,2,616,616
"2252",1977,3,1,3,1,616,616
"2253",1978,3,2,3,2,616,616
"2254",1979,3,3,3,3,616,616
"2255",1980,3,1,3,1,616,616
"2256",1981,3,2,3,2,616,616
"2257",1982,3,2,3,2,616,616
"2258",1983,3,3,3,3,616,616
"2259",1984,3,3,3,3,616,616
"2260",1985,3,2,3,2,616,616
"2261",1986,3,3,3,3,616,616
"2262",1987,3,3,3,3,616,616
"2263",1988,2,2,2,2,616,616
"2264",1989,2,2,2,2,616,616
"2265",1990,3,3,3,3,616,616
"2266",1991,4,3,4,3,616,616
"2267",1992,3,3,3,3,616,616
"2268",1993,3,3,3,3,616,616
"2269",1976,3,NA,3,3,620,620
"2270",1977,3,NA,3,3,620,620
"2271",1978,3,NA,3,3,620,620
"2272",1979,3,2,3,2,620,620
"2273",1980,4,4,4,4,620,620
"2274",1981,3,4,3,4,620,620
"2275",1982,3,3,3,3,620,620
"2276",1983,3,3,3,3,620,620
"2277",1984,3,4,3,4,620,620
"2278",1985,3,3,3,3,620,620
"2279",1986,3,4,3,4,620,620
"2280",1987,4,4,4,4,620,620
"2281",1988,3,3,3,3,620,620
"2282",1989,3,3,3,3,620,620
"2283",1990,3,3,3,3,620,620
"2284",1991,3,3,3,3,620,620
"2285",1992,3,3,3,3,620,620
"2286",1993,3,3,3,3,620,620
"2287",1976,4,3,4,3,625,625
"2288",1977,3,2,3,2,625,625
"2289",1978,3,2,3,2,625,625
"2290",1979,3,3,3,3,625,625
"2291",1980,3,2,3,2,625,625
"2292",1981,3,3,3,3,625,625
"2293",1982,3,2,3,2,625,625
"2294",1983,3,2,3,2,625,625
"2295",1984,3,3,3,3,625,625
"2296",1985,3,3,3,3,625,625
"2297",1986,3,4,3,4,625,625
"2298",1987,4,4,4,4,625,625
"2299",1988,5,5,5,5,625,625
"2300",1989,4,3,4,3,625,625
"2301",1990,4,4,4,4,625,625
"2302",1991,4,5,4,5,625,625
"2303",1992,5,5,5,5,625,625
"2304",1993,5,5,5,5,625,625
"2305",1976,4,3,4,3,630,630
"2306",1977,3,4,3,4,630,630
"2307",1978,NA,NA,NA,NA,630,630
"2308",1979,3,4,3,4,630,630
"2309",1980,5,5,5,5,630,630
"2310",1981,4,5,4,5,630,630
"2311",1982,5,5,5,5,630,630
"2312",1983,5,5,5,5,630,630
"2313",1984,5,5,5,5,630,630
"2314",1985,5,5,5,5,630,630
"2315",1986,4,5,4,5,630,630
"2316",1987,5,5,5,5,630,630
"2317",1988,5,5,5,5,630,630
"2318",1989,4,5,4,5,630,630
"2319",1990,4,4,4,4,630,630
"2320",1991,4,4,4,4,630,630
"2321",1992,4,4,4,4,630,630
"2322",1993,3,4,3,4,630,630
"2323",1976,3,2,3,2,640,640
"2324",1977,3,1,3,1,640,640
"2325",1978,2,1,2,1,640,640
"2326",1979,3,1,3,1,640,640
"2327",1980,4,3,4,3,640,640
"2328",1981,4,3,4,3,640,640
"2329",1982,4,3,4,3,640,640
"2330",1983,4,3,4,3,640,640
"2331",1984,3,3,3,3,640,640
"2332",1985,4,3,4,3,640,640
"2333",1986,4,3,4,3,640,640
"2334",1987,4,3,4,3,640,640
"2335",1988,4,3,4,3,640,640
"2336",1989,4,3,4,3,640,640
"2337",1990,4,3,4,3,640,640
"2338",1991,4,4,4,4,640,640
"2339",1992,5,4,5,4,640,640
"2340",1993,4,5,4,5,640,640
"2341",1976,4,NA,4,4,645,645
"2342",1977,4,NA,4,4,645,645
"2343",1978,4,NA,4,4,645,645
"2344",1979,4,3,4,3,645,645
"2345",1980,4,4,4,4,645,645
"2346",1981,4,4,4,4,645,645
"2347",1982,4,4,4,4,645,645
"2348",1983,4,5,4,5,645,645
"2349",1984,5,4,5,4,645,645
"2350",1985,5,5,5,5,645,645
"2351",1986,4,4,4,4,645,645
"2352",1987,5,4,5,4,645,645
"2353",1988,5,5,5,5,645,645
"2354",1989,4,4,4,4,645,645
"2355",1990,5,5,5,5,645,645
"2356",1991,5,5,5,5,645,645
"2357",1992,5,5,5,5,645,645
"2358",1993,5,5,5,5,645,645
"2359",1976,3,1,3,1,651,651
"2360",1977,3,2,3,2,651,651
"2361",1978,3,2,3,2,651,651
"2362",1979,3,2,3,2,651,651
"2363",1980,3,1,3,1,651,651
"2364",1981,3,3,3,3,651,651
"2365",1982,3,3,3,3,651,651
"2366",1983,3,3,3,3,651,651
"2367",1984,3,2,3,2,651,651
"2368",1985,3,2,3,2,651,651
"2369",1986,3,3,3,3,651,651
"2370",1987,3,2,3,2,651,651
"2371",1988,3,3,3,3,651,651
"2372",1989,4,3,4,3,651,651
"2373",1990,3,3,3,3,651,651
"2374",1991,4,3,4,3,651,651
"2375",1992,3,3,3,3,651,651
"2376",1993,4,4,4,4,651,651
"2377",1976,4,3,4,3,652,652
"2378",1977,3,3,3,3,652,652
"2379",1978,3,3,3,3,652,652
"2380",1979,3,3,3,3,652,652
"2381",1980,5,4,5,4,652,652
"2382",1981,5,5,5,5,652,652
"2383",1982,5,5,5,5,652,652
"2384",1983,4,4,4,4,652,652
"2385",1984,4,4,4,4,652,652
"2386",1985,3,4,3,4,652,652
"2387",1986,5,4,5,4,652,652
"2388",1987,5,4,5,4,652,652
"2389",1988,4,4,4,4,652,652
"2390",1989,4,3,4,3,652,652
"2391",1990,4,4,4,4,652,652
"2392",1991,4,3,4,3,652,652
"2393",1992,3,3,3,3,652,652
"2394",1993,3,4,3,4,652,652
"2395",1976,NA,NA,NA,NA,660,660
"2396",1977,NA,2,2,2,660,660
"2397",1978,NA,2,2,2,660,660
"2398",1979,NA,2,2,2,660,660
"2399",1980,NA,NA,NA,NA,660,660
"2400",1981,NA,NA,NA,NA,660,660
"2401",1982,NA,NA,NA,NA,660,660
"2402",1983,NA,NA,NA,NA,660,660
"2403",1984,NA,NA,NA,NA,660,660
"2404",1985,NA,NA,NA,NA,660,660
"2405",1986,NA,NA,NA,NA,660,660
"2406",1987,NA,NA,NA,NA,660,660
"2407",1988,NA,NA,NA,NA,660,660
"2408",1989,3,NA,3,3,660,660
"2409",1990,4,4,4,4,660,660
"2410",1991,3,3,3,3,660,660
"2411",1992,4,3,4,3,660,660
"2412",1993,3,4,3,4,660,660
"2413",1976,2,2,2,2,663,663
"2414",1977,NA,2,2,2,663,663
"2415",1978,3,2,3,2,663,663
"2416",1979,3,2,3,2,663,663
"2417",1980,3,2,3,2,663,663
"2418",1981,3,2,3,2,663,663
"2419",1982,3,3,3,3,663,663
"2420",1983,NA,2,2,2,663,663
"2421",1984,2,2,2,2,663,663
"2422",1985,3,2,3,2,663,663
"2423",1986,3,2,3,2,663,663
"2424",1987,3,2,3,2,663,663
"2425",1988,3,2,3,2,663,663
"2426",1989,3,2,3,2,663,663
"2427",1990,3,2,3,2,663,663
"2428",1991,3,2,3,2,663,663
"2429",1992,2,2,2,2,663,663
"2430",1993,2,2,2,2,663,663
"2431",1976,4,1,4,1,666,666
"2432",1977,2,2,2,2,666,666
"2433",1978,3,2,3,2,666,666
"2434",1979,2,1,2,1,666,666
"2435",1980,2,2,2,2,666,666
"2436",1981,2,2,2,2,666,666
"2437",1982,2,2,2,2,666,666
"2438",1983,2,2,2,2,666,666
"2439",1984,3,2,3,2,666,666
"2440",1985,3,2,3,2,666,666
"2441",1986,3,2,3,2,666,666
"2442",1987,3,2,3,2,666,666
"2443",1988,3,2,3,2,666,666
"2444",1989,3,2,3,2,666,666
"2445",1990,2,2,2,2,666,666
"2446",1991,2,2,2,2,666,666
"2447",1992,NA,2,2,2,666,666
"2448",1993,NA,2,2,2,666,666
"2449",1976,3,1,3,1,670,670
"2450",1977,NA,2,2,2,670,670
"2451",1978,NA,1,1,1,670,670
"2452",1979,NA,2,2,2,670,670
"2453",1980,3,2,3,2,670,670
"2454",1981,NA,2,2,2,670,670
"2455",1982,NA,2,2,2,670,670
"2456",1983,3,2,3,2,670,670
"2457",1984,3,2,3,2,670,670
"2458",1985,3,2,3,2,670,670
"2459",1986,3,2,3,2,670,670
"2460",1987,3,3,3,3,670,670
"2461",1988,3,2,3,2,670,670
"2462",1989,3,2,3,2,670,670
"2463",1990,3,2,3,2,670,670
"2464",1991,3,2,3,2,670,670
"2465",1992,2,3,2,3,670,670
"2466",1993,3,3,3,3,670,670
"2467",1976,NA,2,2,2,678,678
"2468",1977,NA,2,2,2,678,678
"2469",1978,NA,2,2,2,678,678
"2470",1979,NA,3,3,3,678,678
"2471",1980,NA,3,3,3,678,678
"2472",1981,NA,3,3,3,678,678
"2473",1982,NA,3,3,3,678,678
"2474",1983,NA,3,3,3,678,678
"2475",1984,NA,3,3,3,678,678
"2476",1985,2,2,2,2,678,678
"2477",1986,NA,4,4,4,678,678
"2478",1987,3,3,3,3,678,678
"2479",1988,3,4,3,4,678,678
"2480",1989,3,3,3,3,678,678
"2481",1990,2,3,2,3,678,678
"2482",1991,2,3,2,3,678,678
"2483",1992,3,3,3,3,678,678
"2484",1993,3,3,3,3,678,678
"2485",1976,3,NA,3,3,680,680
"2486",1977,3,NA,3,3,680,680
"2487",1978,NA,NA,NA,NA,680,680
"2488",1979,NA,3,3,3,680,680
"2489",1980,3,3,3,3,680,680
"2490",1981,3,2,3,2,680,680
"2491",1982,2,3,2,3,680,680
"2492",1983,2,3,2,3,680,680
"2493",1984,2,3,2,3,680,680
"2494",1985,3,3,3,3,680,680
"2495",1986,4,5,4,5,680,680
"2496",1987,3,3,3,3,680,680
"2497",1988,3,3,3,3,680,680
"2498",1989,3,3,3,3,680,680
"2499",1990,NA,NA,NA,NA,680,680
"2500",1991,NA,NA,NA,NA,680,680
"2501",1992,NA,NA,NA,NA,680,680
"2502",1993,NA,NA,NA,NA,680,680
"2503",1976,1,1,1,1,690,690
"2504",1977,NA,1,1,1,690,690
"2505",1978,NA,1,1,1,690,690
"2506",1979,NA,1,1,1,690,690
"2507",1980,NA,1,1,1,690,690
"2508",1981,NA,1,1,1,690,690
"2509",1982,NA,1,1,1,690,690
"2510",1983,3,1,3,1,690,690
"2511",1984,2,NA,2,2,690,690
"2512",1985,3,2,3,2,690,690
"2513",1986,2,2,2,2,690,690
"2514",1987,2,2,2,2,690,690
"2515",1988,1,2,1,2,690,690
"2516",1989,2,2,2,2,690,690
"2517",1990,5,5,5,5,690,690
"2518",1991,4,5,4,5,690,690
"2519",1992,3,NA,3,3,690,690
"2520",1993,3,3,3,3,690,690
"2521",1976,3,2,3,2,692,692
"2522",1977,3,2,3,2,692,692
"2523",1978,3,2,3,2,692,692
"2524",1979,3,2,3,2,692,692
"2525",1980,3,2,3,2,692,692
"2526",1981,3,2,3,2,692,692
"2527",1982,3,3,3,3,692,692
"2528",1983,3,3,3,3,692,692
"2529",1984,3,3,3,3,692,692
"2530",1985,3,2,3,2,692,692
"2531",1986,3,2,3,2,692,692
"2532",1987,3,3,3,3,692,692
"2533",1988,3,3,3,3,692,692
"2534",1989,3,3,3,3,692,692
"2535",1990,3,3,3,3,692,692
"2536",1991,3,2,3,2,692,692
"2537",1992,2,2,2,2,692,692
"2538",1993,2,2,2,2,692,692
"2539",1976,NA,NA,NA,NA,694,694
"2540",1977,NA,NA,NA,NA,694,694
"2541",1978,NA,1,1,1,694,694
"2542",1979,NA,1,1,1,694,694
"2543",1980,NA,1,1,1,694,694
"2544",1981,NA,1,1,1,694,694
"2545",1982,NA,2,2,2,694,694
"2546",1983,NA,2,2,2,694,694
"2547",1984,NA,2,2,2,694,694
"2548",1985,NA,2,2,2,694,694
"2549",1986,NA,2,2,2,694,694
"2550",1987,NA,1,1,1,694,694
"2551",1988,NA,1,1,1,694,694
"2552",1989,NA,1,1,1,694,694
"2553",1990,NA,1,1,1,694,694
"2554",1991,NA,2,2,2,694,694
"2555",1992,1,1,1,1,694,694
"2556",1993,1,1,1,1,694,694
"2557",1976,NA,NA,NA,NA,696,696
"2558",1977,NA,1,1,1,696,696
"2559",1978,NA,1,1,1,696,696
"2560",1979,NA,1,1,1,696,696
"2561",1980,NA,1,1,1,696,696
"2562",1981,NA,1,1,1,696,696
"2563",1982,NA,1,1,1,696,696
"2564",1983,NA,1,1,1,696,696
"2565",1984,1,1,1,1,696,696
"2566",1985,1,1,1,1,696,696
"2567",1986,1,1,1,1,696,696
"2568",1987,2,1,2,1,696,696
"2569",1988,2,1,2,1,696,696
"2570",1989,2,1,2,1,696,696
"2571",1990,2,1,2,1,696,696
"2572",1991,2,2,2,2,696,696
"2573",1992,1,2,1,2,696,696
"2574",1993,1,1,1,1,696,696
"2575",1976,1,1,1,1,698,698
"2576",1977,NA,1,1,1,698,698
"2577",1978,NA,2,2,2,698,698
"2578",1979,NA,2,2,2,698,698
"2579",1980,NA,2,2,2,698,698
"2580",1981,NA,2,2,2,698,698
"2581",1982,NA,2,2,2,698,698
"2582",1983,NA,2,2,2,698,698
"2583",1984,NA,2,2,2,698,698
"2584",1985,NA,2,2,2,698,698
"2585",1986,NA,2,2,2,698,698
"2586",1987,NA,2,2,2,698,698
"2587",1988,NA,1,1,1,698,698
"2588",1989,NA,2,2,2,698,698
"2589",1990,NA,1,1,1,698,698
"2590",1991,NA,1,1,1,698,698
"2591",1992,NA,NA,NA,NA,698,698
"2592",1993,NA,1,1,1,698,698
"2593",1976,2,2,2,2,700,700
"2594",1977,4,2,4,2,700,700
"2595",1978,4,3,4,3,700,700
"2596",1979,5,5,5,5,700,700
"2597",1980,5,5,5,5,700,700
"2598",1981,5,5,5,5,700,700
"2599",1982,5,5,5,5,700,700
"2600",1983,5,5,5,5,700,700
"2601",1984,4,5,4,5,700,700
"2602",1985,5,5,5,5,700,700
"2603",1986,5,5,5,5,700,700
"2604",1987,4,5,4,5,700,700
"2605",1988,4,5,4,5,700,700
"2606",1989,4,5,4,5,700,700
"2607",1990,4,4,4,4,700,700
"2608",1991,4,5,4,5,700,700
"2609",1992,4,5,4,5,700,700
"2610",1993,4,5,4,5,700,700
"2611",1976,NA,NA,NA,NA,701,701
"2612",1977,NA,NA,NA,NA,701,701
"2613",1978,NA,NA,NA,NA,701,701
"2614",1979,NA,NA,NA,NA,701,701
"2615",1980,NA,NA,NA,NA,701,701
"2616",1981,NA,NA,NA,NA,701,701
"2617",1982,NA,NA,NA,NA,701,701
"2618",1983,NA,NA,NA,NA,701,701
"2619",1984,NA,NA,NA,NA,701,701
"2620",1985,NA,NA,NA,NA,701,701
"2621",1986,NA,NA,NA,NA,701,701
"2622",1987,NA,NA,NA,NA,701,701
"2623",1988,NA,NA,NA,NA,701,701
"2624",1989,NA,NA,NA,NA,701,701
"2625",1990,NA,NA,NA,NA,701,701
"2626",1991,NA,NA,NA,NA,701,701
"2627",1992,1,2,1,2,701,701
"2628",1993,1,1,1,1,701,701
"2629",1976,NA,NA,NA,NA,702,702
"2630",1977,NA,NA,NA,NA,702,702
"2631",1978,NA,NA,NA,NA,702,702
"2632",1979,NA,NA,NA,NA,702,702
"2633",1980,NA,NA,NA,NA,702,702
"2634",1981,NA,NA,NA,NA,702,702
"2635",1982,NA,NA,NA,NA,702,702
"2636",1983,NA,NA,NA,NA,702,702
"2637",1984,NA,NA,NA,NA,702,702
"2638",1985,NA,NA,NA,NA,702,702
"2639",1986,NA,NA,NA,NA,702,702
"2640",1987,NA,NA,NA,NA,702,702
"2641",1988,NA,NA,NA,NA,702,702
"2642",1989,NA,NA,NA,NA,702,702
"2643",1990,NA,NA,NA,NA,702,702
"2644",1991,NA,NA,NA,NA,702,702
"2645",1992,5,4,5,4,702,702
"2646",1993,4,5,4,5,702,702
"2647",1976,NA,NA,NA,NA,703,703
"2648",1977,NA,NA,NA,NA,703,703
"2649",1978,NA,NA,NA,NA,703,703
"2650",1979,NA,NA,NA,NA,703,703
"2651",1980,NA,NA,NA,NA,703,703
"2652",1981,NA,NA,NA,NA,703,703
"2653",1982,NA,NA,NA,NA,703,703
"2654",1983,NA,NA,NA,NA,703,703
"2655",1984,NA,NA,NA,NA,703,703
"2656",1985,NA,NA,NA,NA,703,703
"2657",1986,NA,NA,NA,NA,703,703
"2658",1987,NA,NA,NA,NA,703,703
"2659",1988,NA,NA,NA,NA,703,703
"2660",1989,NA,NA,NA,NA,703,703
"2661",1990,NA,NA,NA,NA,703,703
"2662",1991,NA,NA,NA,NA,703,703
"2663",1992,NA,1,1,1,703,703
"2664",1993,1,1,1,1,703,703
"2665",1976,NA,NA,NA,NA,704,704
