herbicide,field,weight
control,Field 1,1.05
control,Field 2,1.53
control,Field 3,1.62
control,Field 4,1.11
24D TCA,Field 1,2.05
24D TCA,Field 2,1.86
24D TCA,Field 3,1.68
24D TCA,Field 4,1.69
Dn/CR,Field 1,1.95
Dn/CR,Field 2,2
Dn/CR,Field 3,1.82
Dn/CR,Field 4,1.81
Sesin,Field 1,1.75
Sesin,Field 2,1.93
Sesin,Field 3,1.7
Sesin,Field 4,1.59
