Height,Nests,Successful
2.0,4,0
3.0,3,0
2.5,5,0
3.3,3,2
4.7,4,1
3.9,2,0
5.2,4,2
10.5,5,5
4.7,4,2
6.8,5,3
7.3,3,3
8.4,4,3
9.2,3,2
8.5,4,4
10.0,3,3
12.0,6,6
15.0,4,4
12.2,3,3
13.0,5,5
12.9,4,4
