Diet,TumorWeight
High Fat,12.3
High Fat,10.2
High Fat,11.8
High Fat,11.7
High Fat,11.1
High Fat,14.6
High Fat,11.9
High Fat,9.8
High Fat,11.3
High Fat,10.3
Low Fat,12.2
Low Fat,9.7
Low Fat,9.2
Low Fat,8.2
Low Fat,11.2
Low Fat,9.5
Low Fat,8.4
Low Fat,9.3
Low Fat,11.1
Low Fat,10.8
