phosphor,variety
0.35,var1
0.4,var1
0.58,var1
0.5,var1
0.47,var1
0.65,var2
0.7,var2
0.9,var2
0.84,var2
0.79,var2
0.6,var3
0.8,var3
0.75,var3
0.73,var3
0.66,var3
