Year,OT Departure%,Late Arrival%,OT Arrival%,Cancelled%,Diverted%,#Flights
1995.5455,83.75,18.39,80.08,1.29,0.24,449856
1999.8182,83.54,17.77,80.06,2.04,0.13,478294
2005.9091,82.89,18.82,80.03,0.99,0.16,566138
1995.6364,83.34,18.27,79.85,1.66,0.22,457423
1997.2727,84.01,18.38,79.85,1.58,0.19,447294
2002.5455,82.29,18.75,79.66,1.34,0.24,465573
2003.5455,83.46,18.72,79.66,1.4,0.22,558568
1999.7273,83.28,17.17,79.35,3.31,0.17,460251
1995.1818,83.49,18.95,79.3,1.59,0.16,461503
2001.2727,82.31,18.31,79.29,2.22,0.18,514187
1998.2727,83.4,19.09,79.12,1.57,0.22,442644
2004.9091,82.11,19.45,79.12,1.26,0.18,584610
2003.6364,83.2,19.09,79,1.64,0.27,556984
1998.7273,81.44,13.51,78.94,7.41,0.15,443901
1996.3636,83.49,19.29,78.92,1.57,0.22,448923
1995.0909,82.86,18.53,78.91,2.38,0.18,418312
1999.0909,82.14,17.43,78.91,3.48,0.19,417627
1998.5455,81.7,18.89,78.86,2.02,0.23,462429
2006,80.99,19.32,78.76,1.68,0.24,581287
1996.7273,84.03,19.34,78.69,1.76,0.21,438352
2002.4545,81.6,19.42,78.64,1.71,0.23,448333
2002.1818,82.11,19.9,78.59,1.35,0.17,447896
1997.6364,82.68,19.73,78.56,1.48,0.23,466608
2006.2727,80.78,20.28,78.41,1.13,0.18,585359
2003,81.08,19.71,78.34,1.72,0.22,427125
2004.6364,81.33,19.88,78.29,1.63,0.2,623107
2006.3636,80.52,20.35,78.27,1.17,0.21,602919
1997.9091,83.38,20.02,78.22,1.55,0.2,432725
2001.5455,81.04,19.56,78.12,2.1,0.22,538440
1997.1818,82.16,19.88,78.1,1.81,0.21,460986
2000.7273,82.03,19.45,78.1,2.24,0.21,463097
1999.1818,81.37,19.03,78.09,2.66,0.22,466267
2000,81.58,20.07,78,1.74,0.19,469944
