"EXPONSAL"	"HIGHTECH"	"LOWTECH"	"MEDTECH"	"RD"	"RDINTENS"	"SALES"	"WORKERS"
6.2265	0	0	1	0	0	41200000	275
29.2811	0	0	1	42270240	1.2732	33200000	172
15.3866	0	0	1	217455400	1.3763	158000000	279
20.819	0	0	1	0	0	21000000	80
17.8663	0	1	0	12341100	1.9905	6200000	33
0	0	1	0	6336537.000000001	1.5123	4190000.000000001	50
47.0318	0	1	0	11929240	1.324	9010000	85
0	0	1	0	0	0	2280000	28
61.13570000000001	0	1	0	20547000	0.1522	135000000	280
10.624	0	0	1	82180400	0.5011	164000000	847
42.5098	0	0	1	2159352.000000001	0.3076	7020000	17
44.6256	0	1	0	16604020	0.3698	44900000	294
0	0	1	0	0	0	1040000	47
9.8818	0	1	0	0	0	1280000	19
13.493	1	0	0	0	0	9770000	75
0	0	1	0	2308956.000000001	2.0254	1140000	19
0.8987999999999999	1	0	0	16891200	0.1656	102000000	380
61.09090000000001	1	0	0	529181400	4.3734	121000000	317
2.1871	0	0	1	0	0	16600000	47
19.1806	1	0	0	15912380	1.0538	15100000	74
13.6448	0	0	1	0	0	1490000	12
27.5365	0	1	0	0	0	3120000	22
0	0	1	0	0	0	324000	3
8.330299999999999	0	1	0	9133229.999999998	0.5468999999999999	16700000	237
73.89790000000001	0	1	0	32031720	0.9365999999999999	34200000	312
9.0161	0	1	0	35341900	1.8601	19000000	138
0.1854	0	1	0	0	0	1460000	11
2.3439	1	0	0	22542867	2.6001	8670000	58
70.542	0	0	1	244295400	3.6462	67000000	403
1.27	0	0	1	297141000	0.7619	390000000	634
17.5768	0	1	0	9853410	1.3406	7350000	45
2.9524	0	1	0	0	0	4750000	38
37.0443	1	0	0	75152640	3.9142	19200000	110
5.3377	0	1	0	0	0	7610000	62
0	0	1	0	0	0	413999.9999999999	6
11.0844	0	1	0	0	0	17700000	61
52.0024	0	0	1	44654880.00000001	0.6002000000000001	74400000	287
4.6678	0	0	1	30476440	0.5793999999999999	52600000	122
3.902	0	0	1	0	0	32900000	389
47.9779	0	1	0	0	0	7830000	48
30.0365	0	0	1	20799800	0.581	35800000	358
4.5286	0	1	0	0	0	27200000	120
2.6072	0	0	1	0	0	1550000	16
21.7188	0	1	0	0	0	23900000	177
50.89360000000001	0	1	0	21181900	0.5545	38200000	172
5.2678	0	1	0	11657590	0.1813	64300000	370
15.6271	0	1	0	0	0	3200000	27
30.5152	0	1	0	29195400.00000001	0.1182	247000000	476
0	0	1	0	0	0	4710000	25
73.95270000000001	0	0	1	76109800	0.9490000000000001	80200000	390
76.7294	0	0	1	12320640	0.4464	27600000	223
0	0	1	0	0	0	185000000	775
0	0	1	0	0	0	1470000	13
0	1	0	0	6915498	1.5402	4490000	42
31.354	1	0	0	0	0	2780000	30
0	0	0	1	0	0	661000	16
32.4719	0	1	0	0	0	679000	13
8.838200000000001	0	1	0	0	0	511000.0000000001	12
29.3179	1	0	0	36125699.99999999	2.301	15700000	42
0	0	1	0	0	0	1280000	48
3.3309	0	1	0	0	0	2550000	32
12.7843	0	0	1	3500076.799999999	4.971699999999999	704000	6
4.2461	0	1	0	150234	0.04380000000000001	3430000	32
63.8915	0	1	0	0	0	4340000	10
0	0	1	0	4258800	0.0273	156000000	473
4.4724	1	0	0	0	0	9280000	58
38.4885	1	0	0	10906170	3.3049	3300000	25
88.61790000000001	0	1	0	7893840.000000001	0.4244000000000001	18600000	135
42.5257	0	0	1	55719730	1.7467	31900000	240
55.2238	0	1	0	193362000	5.772	33500000	229
54.9766	0	0	1	199633350	2.3079	86500000	378
24.143	1	0	0	19066960	0.4136	46100000	139
90.9242	0	0	1	161108660	2.6282	61300000	303
76.8822	0	1	0	14349870	0.5763	24900000	199
11.19	0	1	0	0	0	15700000	252
6.2492	0	1	0	71568540	0.8198000000000001	87300000	264
5.6147	0	1	0	0	0	13000000	247
0	0	1	0	0	0	1440000	44
26.7436	0	1	0	0	0	13600000	67
10.2993	0	0	1	235257500	0.3385	695000000	1352
46.9402	0	1	0	93132000	0.9360000000000001	99500000	392
0	0	0	1	0	0	2080000	20
65.9481	0	1	0	105745500	0.7833	135000000	923
1.049	0	1	0	0	0	1150000	16
0	0	1	0	0	0	1110000	5
76.1668	0	1	0	4334679.999999999	0.3836	11300000	43
41.0484	0	1	0	66463199.99999999	0.6516	102000000	578
68.22829999999999	0	1	0	36236500	0.2645	137000000	782
52.4181	0	1	0	91431180	1.8813	48600000	481
66.91500000000001	0	1	0	10622740	0.1942	54700000	429
0	1	0	0	0	0	1950000	12
54.39230000000001	1	0	0	182965000	0.989	185000000	758
85.33110000000001	0	1	0	0	0	11000000	46
28.5732	0	0	1	0	0	121000000	157
0	0	1	0	0	0	92600	2
0	0	1	0	0	0	338000	10
86.4648	0	0	1	0	0	50500000	248
0	0	1	0	698492	0.4061	1720000	21
62.1399	0	1	0	0	0	5460000	43
6.1158	0	0	1	1410500	0.0065	217000000	498
0	0	0	1	0	0	91600000	247
0	0	1	0	0	0	3850000	50
14.4036	0	0	1	999539.9999999999	0.162	6170000	12
0	1	0	0	0	0	2500000	38
4.8834	0	0	1	10009600	0.07820000000000001	128000000	434
11.0042	0	1	0	0	0	7030000	142
33.1469	0	1	0	0	0	1200000	11
1.4418	0	0	1	0	0	4620000	24
93.9115	0	1	0	85584400	0.8074	106000000	147
4.6409	0	0	1	0	0	111000000	331
0.5881	0	1	0	0	0	170000000	335
4.6331	0	1	0	40995960	10.198	4020000	92
10.3497	0	0	1	52090090	1.3817	37700000	404
0	0	1	0	0	0	2260000	54
1.659	1	0	0	0	0	2530000	36
0	0	0	1	0	0	5740000	26
0	0	0	1	0	0	1370000	32
0.5678	0	0	1	0	0	276000000	511
0	0	0	1	0	0	2230000	16
43.6149	0	1	0	0	0	9240000	24
21.7839	0	1	0	0	0	1600000	10
74.6987	0	1	0	34341780	0.5118	67100000	293
10.1952	0	0	1	1202800	0.0485	24800000	44
2.8318	0	0	1	0	0	3890000	47
21.1451	0	0	1	0	0	85399999.99999999	153
60.6667	0	0	1	0	0	23200000	285
26.7422	0	1	0	1200166	0.3209	3740000	32
0	0	1	0	0	0	807000	8
76.39580000000001	0	0	1	47319330	0.6789	69700000	627
61.9124	1	0	0	18246600	0.5886	31000000	117
0	0	0	1	0	0	6660000	50
0	0	1	0	0	0	1580000	16
0	0	1	0	0	0	3120000	42
0	0	1	0	0	0	799000	12
0	0	0	1	0	0	3600000	32
48.0961	1	0	0	175979700	6.590999999999999	26700000	178
54.5281	0	0	1	49486200	0.2462	201000000	293
51.8348	0	0	1	0	0	7490000	188
80.3227	0	0	1	46739999.99999999	1.425	32800000	265
41.6785	0	0	1	0	0	123000000	501
54.5644	0	0	1	8004959.999999999	0.5559	14400000	141
0	0	0	1	0	0	32000000	265
65.23259999999999	1	0	0	698164079.9999999	11.0469	63200000	426
15.745	1	0	0	67384400	0.9106	74000000	309
0	0	0	1	0	0	2280000	20
60.67630000000001	1	0	0	37947920	1.0936	34700000	181
0	0	0	1	3408954.000000001	1.3213	2580000	29
84.3027	0	0	1	39654400	1.2392	32000000	235
38.8929	0	1	0	19145400	0.1877	102000000	602
74.3981	0	0	1	61463799.99999999	0.1609	382000000	445
14.1941	0	0	1	92008000	0.3286	280000000	493
2.559	0	0	1	0	0	1910000	25
11.2518	0	0	1	0	0	40700000	143
28.5073	0	0	1	0	0	33500000	176
41.7646	0	1	0	0	0	32900000	120
50.901	0	0	1	134125600	0.7798000000000001	172000000	775
52.0533	0	0	1	360884160	3.9312	91800000	363
33.83920000000001	0	1	0	28026940	0.9974000000000001	28100000	242
3.0946	0	0	1	0	0	2690000	109
53.6471	1	0	0	1907500	0.0109	175000000	308
42.172	0	1	0	0	0	831000	23
0	0	1	0	0	0	8770000	36
14.3828	0	0	1	0	0	2260000	14
28.6369	1	0	0	21960900	0.1877	117000000	450
0.4763	0	0	1	0	0	2580000	45
0	0	1	0	0	0	902000	10
14.313	0	0	1	0	0	5520000	16
6.4219	0	0	1	0	0	5290000	58
3.13	0	1	0	0	0	4350000	30
4.5008	0	0	1	0	0	6670000	43
4.9238	0	0	1	0	0	1640000	14
0	1	0	0	0	0	335000	8
22.0675	0	0	1	0	0	2750000	15
25.194	0	0	1	2082590	0.1843	11300000	29
12.0941	0	1	0	0	0	1640000	14
0	0	1	0	0	0	22500000	66
0	0	1	0	0	0	2150000	22
54.22	0	0	1	3260400	0.0572	57000000	215
13.215	1	0	0	0	0	101000000	532
5.0656	0	1	0	182812500	0.8125	225000000	1084
0	0	1	0	0	0	24300000	201
20.9673	0	1	0	2329291800	4.5054	517000000	1674
0.0201	0	1	0	32383200	0.06179999999999999	524000000	887
11.4899	0	1	0	0	0	213000000	593
24.3944	1	0	0	194556600	1.0294	189000000	610
61.8222	1	0	0	160938360	2.7324	58900000	308
0	1	0	0	3969160000	3.0532	1300000000	799
9.365600000000001	0	1	0	0	0	45599999.99999999	280
37.7184	1	0	0	508650100.0000001	1.0619	479000000	1088
0	0	1	0	0	0	868000	15
50.5638	0	0	1	287362900	1.5367	187000000	504
66.6468	0	0	1	29037800	0.1474	197000000	361
0	0	0	1	0	0	1930000	16
30.8513	0	0	1	0	0	58800000	90
36.9316	0	1	0	27820800	1.728	16100000	116
12.0148	0	0	1	165283020	2.5119	65800000	143
59.0051	1	0	0	21438900	0.3403000000000001	63000000	273
0	0	1	0	0	0	610000	9
50.4461	0	0	1	37992500	0.2171	175000000	533
31.1143	0	0	1	810303499.9999999	3.9527	205000000	563
99.36	0	0	1	0	0	389000000	317
59.3897	1	0	0	31259520000	28.944	1080000000	4990
0	0	0	1	0	0	2460000	43
63.98779999999999	0	0	1	53767020	1.2741	42200000	532
0.1693	0	1	0	62677500	0.0915	685000000	934
13.9019	0	0	1	427689600	0.4784	894000000	2556
11.2688	0	1	0	0	0	501000000	2766
0	0	1	0	0	0	1320000	15
0	0	1	0	0	0	1570000	30
0	0	1	0	0	0	1550000	32
0	0	1	0	0	0	100000	4
0.1438	0	1	0	0	0	1960000	15
0	0	1	0	0	0	4860000	30
5.8499	0	1	0	0	0	36300000	221
0	0	1	0	0	0	10000000	122
0	0	1	0	0	0	226000000	511
11.5461	0	1	0	0	0	121000000	680
2.411	0	1	0	0	0	391000000	983
8.952499999999999	0	1	0	510962400.0000001	2.1836	234000000	1652
17.3285	0	1	0	0	0	50199999.99999999	258
0	0	0	1	0	0	23500000	246
0	0	1	0	0	0	11000000	28
77.48650000000001	0	1	0	414568630	5.9479	69700000	330
78.82719999999999	0	1	0	37613160.00000001	2.4111	15600000	308
6.5694	1	0	0	111064590	5.214300000000001	21300000	256
12.9461	0	0	1	12986050	3.7103	3500000	54
