NAME	BOOKVAL	CONSUMP	DIF	ENERGY	FINANCE	IBEX35	INDUSTRY	ITC	MARKTVAL	MRKTBOOK	SERVICES
Indra Sistemas, S.A., Serie A	4654.66	0	-2448.66	0	0	1	0	1	2206	2.11	0
"Industria de Diseño Textil,S.A.inditex"""""	205104.8	1	-168994.8	0	0	1	0	0	36110	5.68	0
Jazztel, P.L.C.	3959.78	0	-3081.78	0	0	0	0	1	878	4.51	0
Mapfre, S.A.	6565.02	0	133.98	0	1	1	0	0	6699	0.98	0
Metrovacesa S.A.	212	0	318	0	1	0	0	0	530	0.4	0
Miquel y Costas & Miquel, S.A.	259.84	1	-56.84	0	0	0	0	0	203	1.28	0
Natra S.A.	95.06	1	2.94	0	0	0	0	0	98	0.97	0
Natraceutical,S.A.	145.18	1	-26.18	0	0	0	0	0	119	1.22	0
Nh Hoteles, S.A.	662.25	0	220.75	0	0	0	0	0	883	0.75	1
Obrascon Huarte Lain, S.A.	5321.52	0	-2987.52	0	0	1	1	0	2334	2.28	0
Pescanova, S.A.	483.48	1	-9.48	0	0	0	0	0	474	1.02	0
Promotora de Informaciones,S.A.	117.88	0	303.12	0	0	0	0	0	421	0.28	1
Prosegur S.A., Cia. de Seguridad	11947.32	0	-9175.32	0	0	0	0	0	2772	4.31	1
Realia Business, S.A.	351.54	0	82.46	0	1	0	0	0	434	0.81	0
Red Electrica Corporacion, S.A.	15086.37	0	-10107.37	1	0	1	0	0	4979	3.03	0
Renta Corporacion Real Estate, S.A.	45.72	0	-9.72	0	1	0	0	0	36	1.27	0
Repsol Ypf,S.A.	27035.16	0	-2679.16	1	0	1	0	0	24356	1.11	0
ROVI	597.08	1	-344.08	0	0	0	0	0	253	2.36	0
Sacyr Vallehermoso, S.A.	700.7	0	729.3	0	0	1	1	0	1430	0.49	0
Service Point Solutions,S.A.	41.3	0	28.7	0	0	0	0	0	70	0.59	1
Sol Melia,S.A.	1530.65	0	-265.65	0	0	0	0	0	1265	1.21	1
Solaria Energia y Medio Ambiente, S.A.	91.64	0	66.36	1	0	0	0	0	158	0.58	0
Sos Corporacion Alimentaria, S.A.	253.68	1	48.32	0	0	0	0	0	302	0.84	0
Tecnicas Reunidas, S.A.	15238.4	0	-12857.4	0	0	1	1	0	2381	6.4	0
Tecnocom,Telecomunicaciones y Energia,S.	220.18	0	-18.18	0	0	0	0	1	202	1.09	0
Telefonica, S.A.	286692.14	0	-203833.14	0	0	1	0	1	82859	3.46	0
Tubacex,S.A.	422.4	0	-102.4	0	0	0	1	0	320	1.32	0
Tubos Reunidos,S.A.	454.4	0	-134.4	0	0	0	1	0	320	1.42	0
Unipapel, S.A.	121.03	1	11.97	0	0	0	0	0	133	0.91	0
Uralita, S.A.	1676.96	0	-924.96	0	0	0	1	0	752	2.23	0
Vertice Trescientos Sesenta Grados, S.A.	27.14	0	31.86	0	0	0	0	0	59	0.46	1
Vidrala S.A.	777.84	1	-314.84	0	0	0	0	0	463	1.68	0
Viscofan, S.A.	3741.99	1	-2530.99	0	0	0	0	0	1211	3.09	0
Vocento, S.A.	468.3	0	-22.3	0	0	0	0	0	446	1.05	1
Vueling Airlines, S.A.	421.67	0	-138.67	0	0	0	0	0	283	1.49	1
Zardoya Otis, S.A.	72750.3	0	-68508.3	0	0	0	1	0	4242	17.15	0
Zeltia, S.A.	17608.8	1	-16941.8	0	0	0	0	0	667	26.4	0
