AGE	CAREPROV	CARESELF	CHILDU15	CHILDUP3	CHILDUP5	CHRONDIS	CIVILSTAT	CLOTHPRV	EDUC	EMPLOYEE	FEMALE	FLEXSCHED	FOODPROV	FULLTIME	GOODHLTH	HELPOTHF	HHINC	HHSIZE	HOBBIES	HOMEMNT	HOUSWIFE	HOUSWORK	LABFORCE	LEISURE	MEDTIME	NORESDOM	PAIDWORK	PERSINC	PRIVEMPL	PUBEMPL	REGION	RESDMSTC	RETIRED	SATURDAY	SLEEP	SOCLIFE	SPANIARD	SPORT	STUDY	SUNDAY	TOTALWRK	UNEMPLYD	UNPAIDWK	VOLWORK	WEEKDOMH	WEEKWRKH	WORKDAY	WORKNOPR
65	0	160	0	0	0	1	1	0	2,5	0	1	0	20	0	0	0	1248,25	3	0	0	0	20	0	710	90	0	0	0	0	0	7	0	1	0	710	30	1	430	0	0	20	0	20	0	0	0	1	0
44	0	50	0	0	0	0	2	0	12	1	1	1	60	1	1	0	2235,26	1	0	30	0	90	1	260	120	1	570	2205,47	1	0	9	0	0	0	520	0	1	0	90	1	660	0	90	0	2	40	0	0
68	0	40	0	0	0	0	1	0	6,5	0	1	0	0	0	1	0	313,4	3	130	120	0	120	0	670	190	0	0	0	0	0	3	0	1	0	650	0	1	310	0	1	120	0	120	0	0	0	0	0
22	0	230	0	0	0	0	2	0	11	1	0	0	10	0	1	0	1740,81	4	30	40	0	50	1	650	170	0	0	342,621	1	0	1	0	0	0	740	190	1	30	0	0	50	0	50	0	0	25	1	0
39	0	210	2	0	1	0	1	0	8	1	1	0	20	1	1	0	1248,25	4	0	0	0	20	1	420	80	0	660	769,759	1	0	14	0	0	0	340	130	1	0	0	0	680	0	20	0	0	40	1	0
73	0	170	0	0	0	0	1	0	8	0	0	0	200	0	1	0	760,95	3	0	30	1	230	0	590	300	0	0	0	0	0	1	0	0	0	620	0	1	120	0	0	230	0	230	0	0	0	1	0
71	0	110	0	0	0	0	2	0	2,5	0	1	0	10	0	1	0	313,4	1	0	0	0	10	0	940	280	0	0	0	0	0	13	0	1	0	490	330	1	220	0	0	10	0	10	0	0	0	1	0
17	0	120	0	0	0	0	2	0	6,5	0	1	0	0	0	1	0	1740,81	5	0	0	0	0	0	920	140	0	0	0	0	0	13	0	0	0	520	240	1	0	420	0	0	0	0	0	0	0	1	0
45	0	190	1	1	1	1	1	0	8	1	1	0	0	1	1	0	1248,25	6	0	0	0	0	1	430	170	0	650	769,759	1	0	18	0	0	0	360	70	1	0	0	1	650	0	0	0	0	40	0	0
31	308,5365854	230	1	1	1	0	1	0	17	1	0	0	241,4634146	1	0	0	2249,32	3	0	0	0	550	1	370	50	1	0	1124,66	0	1	9	0	0	0	520	30	1	60	0	0	550	0	550	0	5	30	1	0
