AGE	CAREPROV	CARSELF	CHILD35	CHILD515	CHILDU15	CHILDUP3	CHILDUP5	CHRONDIS	CIVILSTAT	CLOTHPRV	DOMESTIC	EDUC	EMPLOYEE	FEMALE	FLEXSCHD	FOODPROV	FULLTIME	GOODHLTH	HELPOTHF	HHINC	HHSIZE	HOBBIES	HOMEMNT	HOUSWIFE	LABFORCE	MEDTIME	NONRESDOM	PAIDWORK	PERSINC	PRIVEMPL	PUBEMPL	REGION	RESDMSTC	RETIRED	SATURDAY	SLEEP	SOCLIFE	SPANIARD	SPORT	STUDY	SUNDAY	UNEMPL	WATCHTV	WEEKDOMH	WEEKWRKH	WORKDAY	WORKNOPR	Y2009
45	0	180	0	1	1	0	0		2	0	0	12	1	0	1	0	1	1	0	2433.18	4	0	30	0	1	180		360	1392.46			1		0	0	510	180	1	0	0	0	0	180		35	1	0	1
31	0	150	0	0	1	1	1		1	0	0	12	1	1	0	100	0	1	0	1212.93	4	0	0	0	1	230		0	0			10		0	0	950	10	0	0	0	0	1	230		0	1	0	1
28	0	50	0	0	0	0	0	0	2	0	0	9	1	1	0	0	1	1	180	1740.81	5	0	0	0	1	120	0	460	769.759	0	1	2	0	0	0	510	120	1	0	0	0	0	120	0	40	1	0	0
68	0	140	0	0	0	0	0		2	250	1	2.5	0	1	0	240	0	0	0	313.399	2	0	170	1	0	0		0	0			11		0	0	540	100	1	0	0	0	0	0		0	1	0	1
86	0	150	0	0	0	0	0		3	0	0	2.5	0	0	0	0	0	1	0	1212.93	4	0	0	0	0	400		0	0			14		1	0	590	300	1	0	0	0	0	400		0	1	0	1
72	0	140	0	0	0	0	0		2	0	0	8	0	1	0	0	0	1	0	0	2	0	260	1	0	620		0	0			8		0	0	420	0	1	0	0	0	0	620		0	1	0	1
45	0	120	0	0	0	0	0	1	2	0	0	11	0	0	0	0	0	1	0	2235.26	3	130	0	0	0	150	0	0	0	0	0	16	0	1	0	480	30	1	150	380	0	0	70	0	0	1	0	0
19	0	160	0	1	1	0	0	0	2	0	0	8	0	0	0	20	0	1	0	2235.26	4	130	0	0	0	50	0	0	0	0	0	9	0	0	0	450	0	1	160	470	0	0	50	0	0	1	0	0
39	0	100	0	0	0	0	0	0	2	0	0	15	0	1	0	60	0	1	0	1248.25	2	0	0	0	0	0	0	0	0	0	0	7	0	0	0	510	190	1	20	560	0	0	0	0	0	1	0	0
51	0	130	0	0	0	0	0	0	2	0	1	20	1	1	1	0	1	1	0	2730.65	1	110	20	0	1	30	1	500	2688.84	0	1	9	0	0	0	490	90	1	70	0	0	0	0	2	40	1	0	0
22	403.9655172	70	0	2	3	1	1		1	24.48275862	0	8	1	1	0	257.0689655	0	1	0	399.004	5	0	24.48275862	0	1	240		0	399.004			13		0	0	420	0	1	0	0	0	0	240		20	1	0	1
50	0	120	0	0	0	0	0		2	0	0	12	1	0	0	0	1	1	0	911.388	3	30	70	0	1	50		470	911.388			10		0	0	550	150	1	0	0	0	0	50		40	1	0	1
77	0	110	0	0	0	0	0	1	1	0	1	0	0	1	0	120	0	0	0	313.4	2	0	30	0	0	530	1	0	0	0	0	17	0	1	0	590	60	1	0	0	1	0	530	3	0	0	0	0
18	90	140	0	0	0	0	0		1	0	1	12	1	0	0	70	0	1	0	0	4	0	30	0	0	0		0	0			9		0	0	510	330	1	0	270	0	0	0		0	1	0	1
36	138.4615385	140	0	2	2	0	0	0	1	46.15384615	0	8	0	1	0	415.3846154	0	1	0	1740.81	5	0	0	1	0	80	0	0	0	0	0	1	0	0	0	460	70	1	90	0	0	0	80	0	0	1	0	0
33	15	150	0	0	0	0	0		1	15	1	17	1	0	1	15	1	1	0	0	3	200	15	0	1	140		20	0			13		0	0	630	240	1	0	0	0	0	140		50	1	0	1
80	0	300	0	0	0	0	0	0	3	0	0	2.5	0	1	0	50	0	1	0	1740.81	5	0	0	0	0	130	0	0	0	0	0	1	0	1	0	690	270	1	0	0	1	0	130	0	0	0	0	0
62	0	140	0	0	0	0	0	0	1	114.893617	0	6.5	0	1	0	331.9148936	0	1	0	313.4	2	0	153.1914894	1	0	140	0	0	0	0	0	16	0	0	0	380	180	1	0	0	0	0	140	0	0	1	0	0
77	0	160	0	0	0	0	0	0	1	0	1	17	0	0	0	0	0	1	0	760.95	2	0	160	0	0	260	1	0	0	0	0	1	0	1	0	520	100	1	70	170	0	0	80	8	0	1	0	0
50	180	160	0	0	0	0	0		2	0	0	8	1	0	0	0	0	1	0	1212.93	4	190	150	0	1	190		0	0			1		0	0	540	30	1	0	0	0	1	190		0	1	0	1
44	0	100	1	1	2	0	1	0	4	0	0	12	0	0	0	0	0	1	0	1371.9	4	0	0	0	1	120	0	780	1371.9	0	0	6	0	0	1	390	50	1	0	0	0	0	120	0	0	0	0	0
27	0	220	0	0	0	0	0		1	0	0	11	1	0	0	144.4444444	1	1	0	1392.46	2	0	115.5555556	0	1	360		0	1392.46			3		0	1	600	0	1	0	0	0	0	300		40	0	0	1
70	61.9047619	100	0	0	0	0	0	1	1	123.8095238	0	6.5	0	1	0	247.6190476	0	0	0	1248.25	3	0	86.66666667	0	0	50	0	0	0	0	0	1	0	1	0	590	120	1	60	0	0	0	50	0	0	1	0	0
