Name,Long Jump (meters),Shot Put (meters)
KLUFT  Carolina,6.78,14.77
SKUJYTE  Austra,6.3,16.4
SOTHERTON  Kelly,6.51,13.29
BURRELL  Shelia,6.25,13.14
PROKHOROVA  Yelena,6.21,13.67
KESSELSCHLAEGER  Sonja,6.42,14.53
COLLONVILLE  Marie,6.19,12.35
DOBRYNSKA  Natalya,6.23,14.7
SIMPSON  Margaret,6.02,12.41
SOKOLOVA  Svetlana,5.84,14.61
SHOBHA J  J,6.36,12.52
TONN  Claudia,6.35,11.92
GOMES  Naide,6.1,14.71
PERRY  Michelle,6.02,11.28
STRATAKI  Aryiro,5.97,13.52
RUCKSTUHL  Karin,5.9,13.37
ERTL  Karin,6.03,13.92
WHEELER  Kylie,6.36,13.18
JOSEPHS  Janice,6.21,12.48
LOTT HOGAN  Tiffany,6.15,14.43
SZCZEPANSKA  Magdalena,5.98,13.79
NAUMENKO  Irina,6.16,12.95
AKULENKO  Yuliya,6.02,13.15
BISWAS  Soma,5.92,12.01
MARK-BAIRD  Marsha,6.22,11.2
HEJNOVA  Michaela,5.7,12.13
SHEN  Shengfei,.,14.22
NAKATA  Yuki,.,11.54
