 Roll       Pitch     Heave    Surge      Sway      Yaw       Wave     Wind
-2.49400   1.48600   0.01492   0.23710  -0.09590   0.22070  -0.04190  15.971
-2.52300   0.74780   0.01331   0.23340  -0.08910   0.17340   0.04090  15.990
-2.64700   0.09324   0.00522   0.23370  -0.07990   0.15540   0.00754  16.125
-2.65100  -0.03178  -0.01098   0.24610  -0.07370   0.21950  -0.01803  15.251
-2.65300   0.67830  -0.03146   0.26740  -0.06970   0.19130   0.03809  15.666
-2.66800   1.90000  -0.04824   0.28960  -0.06680   0.18320   0.41160  15.982
-2.26100   3.22300  -0.05350   0.30230  -0.06250   0.13990   0.29590  16.523
-2.19800   4.17900  -0.03967   0.29430  -0.05980   0.11460   0.10680  16.683
-2.07100   4.60700  -0.00731   0.26230  -0.05706   0.22380  -0.20520  17.059
-1.71000   4.23100   0.03315   0.21310  -0.04950   0.21670  -0.24580  16.966
-1.61600   3.32600   0.07476   0.14940  -0.03462   0.23700  -0.30170  16.909
-1.61600   2.25000   0.09360   0.10580  -0.01804   0.24730  -0.88910  16.597
-1.61200   0.98500   0.09600   0.07510   0.00569   0.12480  -1.10420  16.748
-1.96200  -0.04915   0.07770   0.06530   0.03958   0.00119  -0.58010  15.540
-2.10000  -0.88400   0.04625   0.07430   0.07662   0.06339   0.16160  14.834
-2.15000  -0.73570   0.01823   0.08860   0.10780   0.23480   0.70580  15.452
-2.45700   0.02674  -0.00158   0.10520   0.13080   0.06994   0.57650  15.848
-2.65300   1.17200  -0.00468   0.12320   0.13650  -0.29880   0.05650  16.599
-2.82200   2.32700   0.00624   0.13710   0.12840  -0.07999  -0.32720  16.598
-3.11600   3.21600   0.02677   0.14280   0.11160   0.31860  -0.41680  16.255
-3.11700   3.74200   0.05037   0.13050   0.09410   0.69920  -0.00365  16.470
-2.87800   3.99500   0.06149   0.10790   0.08650   0.59410   0.65000  16.914
-2.77900   3.96600   0.06385   0.07340   0.07740   0.30150   1.15430  16.456
-2.65100   3.70200   0.05242   0.04499   0.06860   0.15420   1.23760  16.189
-2.59800   2.58100   0.02843   0.02983   0.06610   0.19190   1.12070  15.353
-2.35800   1.18300  -0.00456   0.02537   0.07770   0.19360   1.17820  14.329
-2.24100   0.26410  -0.03311   0.02211   0.09720   0.32950   0.55640  14.198
-2.19800  -0.02423  -0.05280   0.01173   0.11650   0.09651   0.13860  14.964
-2.24700   0.44070  -0.05423  -0.00715   0.12810  -0.19350   0.02266  16.501
-2.45200   1.17300  -0.03472  -0.03606   0.12910  -0.14540  -0.19430  16.534
-2.58200   2.36500   0.00895  -0.08130   0.12430   0.22110  -0.42130  17.184
-2.61600   3.19800   0.04639  -0.11620   0.12520   0.36600  -0.67760  17.246
-2.65900   3.59700   0.07920  -0.15010   0.13310   0.35570  -0.32810  17.027
-2.65000   3.55900   0.09360  -0.17550   0.14480   0.26680   0.33470  16.019
-2.65000   3.08300   0.08750  -0.19590   0.15460   0.08421   0.84930  15.541
-2.65100   2.36100   0.06410  -0.21250   0.15420   0.04876   1.05500  15.396
-2.45700   1.59600   0.02994  -0.21860   0.14470   0.09460   0.93850  16.412
-2.10200   0.72970  -0.00433  -0.20790   0.13530   0.28030   0.04920  15.400
-1.61400  -0.07080  -0.02870  -0.18420   0.13060   0.63050  -0.61740  14.621
-1.16800  -0.52980  -0.04106  -0.15270   0.13100   0.67160  -1.39000  14.292
-1.12200  -0.01131  -0.03615  -0.12000   0.13080   0.41360  -1.78440  15.188
-1.16100   1.06600  -0.01636  -0.10600   0.12520   0.13640  -1.63370  15.174
-1.25000   2.84400   0.01761  -0.11160   0.11500  -0.11030  -0.79950  16.252
-1.61500   4.60500   0.05834  -0.14540   0.10040  -0.07252  -0.68490  17.114
-1.70900   5.61000   0.09300  -0.19780   0.08920   0.08560  -0.39860  16.939
-2.10400   5.67200   0.10920  -0.24810   0.08900   0.46000   0.18600  16.112
-2.28900   4.72600   0.10250  -0.29080   0.10250   0.52660   0.71780  15.863
-2.64700   2.84700   0.07190  -0.31850   0.12890   0.23670   0.30780  14.619
-3.11700   0.70190   0.02671  -0.33050   0.15220  -0.32090  -0.07920  14.296
-3.29000  -1.13400  -0.01925  -0.32860   0.15690  -0.54410   0.06590  14.258
-3.23900  -1.99000  -0.05880  -0.31650   0.13820  -0.28580   0.54250  14.783
-3.19500  -1.87400  -0.07083  -0.30590   0.11320   0.27390   0.90020  15.611
-3.08100  -0.47850  -0.06359  -0.29540   0.08320   0.82310   0.49810  16.066
-2.59900   1.63200  -0.03801  -0.28370   0.05813   0.95310   0.00492  16.076
-2.20000   3.45400  -0.00691  -0.26880   0.04609   0.90720   0.07950  16.145
-2.05400   4.70400   0.02287  -0.25610   0.04627   0.68520   0.22310  15.966
-1.62100   5.23200   0.04517  -0.25030   0.05724   0.39430   0.29780  15.112
-1.61100   5.13100   0.05791  -0.25920   0.07554   0.08264   0.42220  13.216
-1.61400   4.60200   0.06303  -0.28490   0.09740  -0.09755   0.60610  14.773
-1.61000   3.65500   0.06437  -0.32330   0.11960  -0.15830   0.43160  15.015
-1.61600   2.11800   0.06387  -0.37070   0.14220   0.09640  -0.38210  15.364
-1.61200   0.81700   0.06074  -0.40240   0.15700   0.28660  -0.66760  15.239
-1.63000  -0.08850   0.05170  -0.42730   0.16850   0.25430  -0.27640  14.658
-2.00500  -0.73520   0.03589  -0.43560   0.17070   0.34370   0.21570  15.141
-2.00500  -0.52940   0.01433  -0.42790   0.16140   0.25250   0.89360  15.287
-2.05300   0.43820  -0.00876  -0.40270   0.13780   0.28180   1.10980  16.307
-2.00900   1.84100  -0.02739  -0.36200   0.10240   0.25150   0.83340  16.335
-1.66800   2.98400  -0.03646  -0.31510   0.06103   0.31970   0.78230  16.012
