Education,Age
4 years or more college,25-34
4 years or more college,25-34
4 years or more college,25-34
4 years or more college,25-34
4 years or more college,25-34
4 years or more college,25-34
4 years or more college,25-34
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
Not HS grad,35-44
H.S.,35-44
H.S.,35-44
H.S.,35-44
H.S.,35-44
H.S.,35-44
H.S.,35-44
H.S.,35-44
H.S.,35-44
H.S.,35-44
H.S.,35-44
H.S.,35-44
H.S.,35-44
H.S.,35-44
H.S.,35-44
H.S.,35-44
H.S.,35-44
H.S.,35-44
H.S.,35-44
H.S.,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
1-3 years college,35-44
4 years or more college,35-44
4 years or more college,35-44
4 years or more college,35-44
4 years or more college,35-44
4 years or more college,35-44
4 years or more college,35-44
4 years or more college,35-44
4 years or more college,35-44
