Date,Open,High,Low,Close,Volume,Adj Close
2008-06-02,582.50,588.04,535.10,551.00,4613000,551.00
2008-05-01,578.31,602.45,537.81,585.80,5136000,585.80
2008-04-01,447.74,584.86,441.00,574.29,6859900,574.29
2008-03-03,471.51,472.72,412.11,440.47,7501800,440.47
2008-02-01,528.67,541.04,446.85,471.18,9329400,471.18
2008-01-02,692.87,697.37,519.00,564.30,8206000,564.30
2007-12-03,691.01,724.80,652.50,691.48,4383200,691.48
2007-11-01,702.79,747.24,616.02,693.00,8538400,693.00
2007-10-01,569.97,707.00,569.61,707.00,7049500,707.00
2007-09-04,515.02,571.79,510.88,567.27,3776200,567.27
2007-08-01,510.50,526.82,480.46,515.25,3985700,515.25
2007-07-02,525.49,558.58,498.88,510.00,5757200,510.00
2007-06-01,501.00,534.99,497.59,522.70,6329900,522.70
2007-05-01,472.19,508.78,457.41,497.91,4932000,497.91
2007-04-02,457.76,492.50,452.12,471.38,4829900,471.38
2007-03-01,442.67,466.00,437.00,458.16,5522500,458.16
2007-02-01,506.00,506.01,443.04,449.45,6418200,449.45
2007-01-03,466.00,513.00,461.11,501.50,6839600,501.50
2006-12-01,485.98,492.40,452.34,460.48,4711100,460.48
2006-11-01,478.76,513.00,465.06,484.81,5905600,484.81
2006-10-02,401.90,491.96,398.19,476.39,7490800,476.39
2006-09-01,380.99,418.69,376.72,401.90,6243100,401.90
2006-08-01,385.11,390.00,363.36,378.53,4779600,378.53
2006-07-03,420.04,427.89,377.69,386.60,6605800,386.60
2006-06-01,373.54,419.33,371.60,419.33,6756300,419.33
2006-05-01,418.47,419.44,360.57,371.82,8360000,371.82
2006-04-03,389.53,450.72,387.93,417.94,10143900,417.94
2006-03-01,368.56,399.00,331.55,390.00,14925400,390.00
2006-02-01,389.03,406.50,337.83,362.62,17734800,362.62
2006-01-03,422.52,475.11,394.74,432.66,16055300,432.66
2005-12-01,409.20,446.21,399.01,414.86,9826200,414.86
2005-11-01,371.86,431.24,369.01,404.91,10822000,404.91
2005-10-03,313.63,374.75,290.68,372.14,9871600,372.14
2005-09-01,285.91,320.95,285.00,316.46,8538300,316.46
2005-08-01,288.12,299.72,273.35,286.00,6435000,286.00
2005-07-01,295.04,317.80,286.99,287.76,10665600,287.76
2005-06-01,283.20,309.25,267.43,294.15,18368000,294.15
2005-05-02,222.05,278.40,220.21,277.27,13143100,277.27
2005-04-01,181.76,224.74,179.84,220.00,11231400,220.00
2005-03-01,189.29,189.85,172.57,180.51,8123500,180.51
2005-02-01,194.38,216.80,181.00,187.99,17548800,187.99
2005-01-03,197.40,205.30,176.29,195.62,10738000,195.62
