# viscosity of liquids at 25 degrees Celsius (measured in Pa*s)

liquid nitrogen at 77K 	0.158 × 10^{-3}
acetone 	0.306*10**(-3) 	
methanol 	0.544*10**(-3) 	
benzene 	0.604*10**(-3) 	
ethanol 	1.074*10**(-3)
water 	        0.894*10**(-3) 	
mercury 	1.526*10**(-3)
nitrobenzene 	1.863*10**(-3)	
propanol 	1.945*10**(-3)	
sulfuric acid 	24.2*10**(-3)
olive oil 	0.081 	
glycerol 	0.934 	
castor oil 	985*10**(-3)
HFO-380 	2.022
pitch 	        2.3*10**8

# Source: Wikipedia (Viscosity)

