Date,Open,High,Low,Close,Volume,Adj Close
2008-06-02,12.91,13.06,10.76,10.88,16945700,10.88
2008-05-01,15.50,16.37,12.37,12.95,26140700,12.95
2008-04-01,15.78,16.23,14.62,15.66,10330100,15.66
2008-03-03,16.35,17.38,15.41,15.53,12238800,15.53
2008-02-01,17.47,18.03,16.06,16.40,12147900,16.40
2008-01-02,17.98,18.14,14.20,17.50,15156100,17.50
2007-12-03,20.61,21.55,17.96,18.13,9869900,18.13
2007-11-01,5.65,21.60,5.10,20.78,17081500,20.78
2007-10-01,5.63,6.26,5.57,5.71,16226100,22.84
2007-09-04,5.37,5.87,5.32,5.62,20551800,22.48
2007-08-01,5.14,5.42,4.50,5.36,25203000,21.44
2007-07-02,5.31,5.49,4.78,5.10,20897800,20.40
2007-06-01,5.12,5.33,4.83,5.26,22781700,21.04
2007-05-01,5.23,5.43,4.96,5.10,18908600,20.40
2007-04-02,5.92,6.09,5.17,5.22,17970500,20.88
2007-03-01,6.05,6.51,5.90,6.01,17269500,24.04
2007-02-01,6.74,6.78,5.96,6.13,16141100,24.52
2007-01-03,5.45,6.66,5.44,6.64,20654100,26.56
2006-12-01,5.41,5.88,5.34,5.42,13499400,21.68
2006-11-01,5.48,5.64,5.21,5.42,13046700,21.68
2006-10-02,4.97,5.62,4.89,5.43,17065500,21.72
2006-09-01,5.00,5.33,4.81,4.95,13896700,19.80
2006-08-01,4.31,5.15,4.17,4.99,10851200,19.96
2006-07-03,4.15,4.40,3.74,4.35,12546600,17.40
2006-06-01,4.49,4.55,3.93,4.15,13495900,16.60
2006-05-01,5.03,5.19,4.17,4.63,18125700,18.52
2006-04-03,5.18,5.35,4.70,5.00,18193200,20.00
2006-03-01,4.18,5.40,4.16,5.13,16919200,20.52
2006-02-01,4.47,4.68,4.14,4.17,11971000,16.68
2006-01-03,4.20,5.00,4.17,4.50,17973500,18.00
2005-12-01,3.80,4.50,3.78,4.19,13164100,16.76
2005-11-01,3.97,3.98,3.62,3.77,13464900,15.08
2005-10-03,3.91,4.56,3.85,4.00,12741800,16.00
2005-09-01,3.83,4.29,3.77,3.93,9213300,15.72
2005-08-01,3.85,3.88,3.57,3.80,9549100,15.20
2005-07-01,3.73,4.00,3.57,3.84,10199100,15.36
2005-06-01,3.82,3.95,3.56,3.73,13127500,14.92
2005-05-02,3.71,4.01,3.66,3.81,7972500,15.24
2005-04-01,4.07,4.16,3.42,3.62,11742200,14.48
2005-03-01,4.20,4.53,3.87,4.04,10610600,16.16
2005-02-01,4.41,4.51,4.02,4.22,9517400,16.88
2005-01-03,5.21,5.26,4.07,4.36,17357200,17.44
2004-12-01,5.59,5.65,5.10,5.39,10582900,21.56
2004-11-01,4.55,5.62,4.38,5.55,11854500,22.20
2004-10-01,4.07,4.55,3.95,4.50,9342600,18.00
2004-09-01,3.85,4.28,3.83,4.04,8484700,16.16
2004-08-02,3.87,3.98,3.29,3.87,6469700,15.48
2004-07-01,4.32,4.33,3.58,3.95,10064300,15.80
2004-06-01,4.20,4.55,4.03,4.33,7605300,17.32
2004-05-03,3.95,4.28,3.64,4.17,9629100,16.68
2004-04-01,4.20,5.12,3.88,3.90,12324100,15.60
2004-03-01,5.38,5.41,3.87,4.17,13148800,16.68
2004-02-02,5.31,5.93,5.09,5.31,12007100,21.24
2004-01-02,4.49,5.75,4.47,5.29,16426500,21.16
2003-12-01,4.27,4.59,4.11,4.47,8838700,17.88
2003-11-03,4.05,4.48,3.99,4.26,12503900,17.04
2003-10-01,3.33,4.00,3.14,3.95,16960000,15.80
2003-09-02,3.97,4.25,3.24,3.31,15347400,13.24
2003-08-01,3.79,4.00,3.39,3.90,10682100,15.60
2003-07-01,4.65,5.18,3.68,3.76,15275400,15.04
2003-06-02,4.41,5.64,4.25,4.65,14702600,18.60
2003-05-01,3.31,4.48,3.26,4.35,16430700,17.40
2003-04-01,3.34,3.60,3.13,3.31,13178200,13.24
2003-03-03,3.45,3.85,3.06,3.26,12902800,13.04
2003-02-03,3.14,3.54,3.02,3.44,11868600,13.76
2003-01-02,3.24,3.95,3.03,3.09,12717700,12.36
2002-12-02,4.56,4.58,2.91,3.11,12950300,12.44
2002-11-01,2.96,4.39,2.92,4.29,17249300,17.16
2002-10-01,2.70,3.13,2.34,2.96,17404800,11.84
