Date,Open,High,Low,Close,Volume,Adj Close
2008-06-02,28.24,29.57,27.11,28.35,79237800,28.35
2008-05-01,28.50,30.53,27.95,28.32,69931800,28.32
2008-04-01,28.83,32.10,27.93,28.52,69066000,28.42
2008-03-03,27.24,29.59,26.87,28.38,74958500,28.28
2008-02-01,31.06,33.25,27.02,27.20,122053500,27.10
2008-01-02,35.79,35.96,31.04,32.60,97806800,32.35
2007-12-03,33.50,36.72,32.63,35.60,55002300,35.33
2007-11-01,36.53,37.50,32.68,33.60,90498800,33.35
2007-10-01,29.46,37.00,29.29,36.81,85080900,36.41
2007-09-04,28.50,29.85,28.27,29.46,61223000,29.14
2007-08-01,28.95,30.10,27.51,28.73,55264800,28.42
2007-07-02,29.67,31.84,28.95,28.99,64862000,28.58
2007-06-01,30.79,30.90,29.04,29.47,59647900,29.05
2007-05-01,29.94,31.16,29.90,30.69,64202000,30.25
2007-04-02,27.89,30.74,27.56,29.94,51337600,29.42
2007-03-01,27.82,28.55,26.60,27.87,59843900,27.38
2007-02-01,30.84,30.94,27.79,28.17,72483300,27.68
2007-01-03,29.91,31.48,29.40,30.86,69924300,30.22
2006-12-01,29.23,30.26,28.80,29.86,58945000,29.24
2006-11-01,28.78,30.00,28.58,29.36,61544700,28.75
2006-10-02,27.32,28.85,27.15,28.71,61492200,28.02
2006-09-01,25.89,27.52,25.39,27.35,56588300,26.69
2006-08-01,24.02,26.25,23.85,25.70,50459500,25.08
2006-07-03,23.53,24.60,22.23,24.06,68627600,23.39
2006-06-01,22.74,23.65,21.46,23.30,92940200,22.65
2006-05-01,24.32,25.00,22.45,22.65,110427000,22.02
2006-04-03,27.67,27.94,24.00,24.15,107219900,23.39
2006-03-01,26.98,28.22,26.62,27.21,65223100,26.35
2006-02-01,27.96,28.07,26.34,26.87,58565000,26.02
2006-01-03,26.25,28.38,26.10,28.15,74173200,27.17
2005-12-01,27.73,28.10,26.10,26.15,62892300,25.24
2005-11-01,25.61,28.25,25.61,27.68,71469100,26.72
2005-10-03,25.71,25.80,24.25,25.70,72132400,24.73
2005-09-01,27.38,27.39,25.12,25.73,66976400,24.76
2005-08-01,25.81,27.94,25.76,27.38,65529900,26.35
2005-07-01,24.85,26.48,24.50,25.61,69046600,24.57
2005-06-01,25.73,26.00,24.82,24.84,62956700,23.83
2005-05-02,25.23,26.09,24.64,25.80,62699700,24.76
2005-04-01,24.24,25.45,23.94,25.30,77090200,24.20
2005-03-01,25.19,25.79,23.82,24.17,72899700,23.12
2005-02-01,26.25,26.50,25.13,25.16,75992300,24.07
2005-01-03,26.80,27.10,25.64,26.28,79642800,25.06
2004-12-01,26.95,27.44,26.68,26.72,84488000,25.48
2004-11-01,28.16,30.20,26.10,26.81,86446000,25.57
2004-10-01,27.82,28.89,27.55,27.97,65742900,23.93
2004-09-01,27.23,27.79,26.74,27.65,57725200,23.66
2004-08-02,28.27,28.55,26.85,27.30,52104600,23.36
2004-07-01,28.70,29.89,27.25,28.49,76666600,24.30
2004-06-01,26.13,28.80,25.86,28.56,77068200,24.36
2004-05-03,26.19,26.60,25.42,26.23,58942400,22.38
2004-04-01,24.95,27.72,24.85,26.13,77386600,22.29
2004-03-01,26.63,26.72,24.01,24.93,77111900,21.27
2004-02-02,27.61,27.80,26.35,26.53,57385900,22.63
2004-01-02,27.58,28.83,27.26,27.65,63635800,23.59
2003-12-01,25.90,27.55,25.50,27.37,69030000,23.35
2003-11-03,26.35,26.75,24.84,25.71,77670400,21.93
2003-10-01,28.03,29.46,25.91,26.14,63898000,22.30
2003-09-02,26.70,30.00,26.47,27.80,62697200,23.58
2003-08-01,26.33,26.95,25.43,26.52,47667100,22.50
2003-07-01,25.59,27.81,25.39,26.41,61659800,22.40
2003-06-02,24.98,26.51,23.60,25.64,77050900,21.75
2003-05-01,25.54,26.50,23.89,24.61,66480900,20.88
2003-04-01,24.46,26.43,23.95,25.57,62151600,21.69
2003-03-03,24.02,26.80,22.55,24.21,68727900,20.54
2003-02-03,47.93,49.10,23.30,23.70,73871300,20.10
2003-01-02,52.30,57.32,47.03,47.46,86929500,20.07
2002-12-02,58.65,58.96,51.26,51.70,63170400,21.86
2002-11-01,52.43,58.64,51.90,57.68,79219500,24.39
2002-10-01,44.32,54.07,43.19,53.47,112232300,22.61
2002-09-03,48.52,51.10,43.11,43.74,90564100,18.49
2002-08-01,47.58,53.45,43.80,49.08,80631600,20.75
2002-07-01,54.12,54.93,41.41,47.98,114821000,20.29
2002-06-03,50.99,56.44,49.17,54.70,96181400,23.13
2002-05-01,52.16,56.44,48.35,50.91,67578800,21.52
2002-04-01,59.83,60.40,51.44,52.26,67948300,22.09
2002-03-01,59.05,65.00,58.31,60.31,55857200,25.50
2002-02-01,64.15,64.50,57.15,58.34,63117200,24.67
2002-01-02,66.65,70.62,61.33,63.71,68080000,26.94
2001-12-03,63.83,69.89,63.80,66.25,51004700,28.01
2001-11-01,60.08,68.34,59.60,64.21,65676300,27.15
2001-10-01,50.94,63.63,50.41,58.15,78938700,24.59
2001-09-04,57.19,59.08,47.50,51.17,108497700,21.63
2001-08-01,66.80,67.54,56.30,57.05,52686800,24.12
2001-07-02,72.05,73.15,64.20,66.19,72106300,27.98
2001-06-01,69.60,76.15,66.01,73.00,73498100,30.86
2001-05-01,67.66,72.15,67.25,69.18,83999400,29.25
2001-04-02,54.81,71.10,51.06,67.75,107508700,28.64
2001-03-01,58.56,61.13,49.75,54.69,90297700,23.12
2001-02-01,60.81,65.06,53.88,59.00,85342300,24.94
2001-01-02,44.13,64.75,42.88,61.06,99401400,25.82
2000-12-01,58.06,60.63,40.31,43.38,107832200,18.34
2000-11-01,68.50,72.37,57.00,57.38,103841100,24.26
2000-10-02,60.50,70.12,48.44,68.87,116994900,29.12
2000-09-01,70.00,72.06,58.63,60.31,74979300,25.50
2000-08-01,69.94,74.87,68.12,69.81,56172800,29.51
2000-07-03,79.69,82.87,67.25,69.81,65223400,29.51
2000-06-01,64.37,82.19,63.81,80.00,69063900,33.82
2000-05-01,72.87,74.00,60.38,62.56,63609000,26.45
2000-04-03,94.44,96.50,65.00,69.75,122959400,29.49
2000-03-01,89.62,115.00,88.94,106.25,90976900,44.92
2000-02-01,98.50,110.00,88.12,89.37,69646200,37.78
2000-01-03,117.37,118.62,94.87,97.87,67403400,41.38
1999-12-01,91.06,119.94,90.87,116.75,57886100,49.36
1999-11-01,93.25,94.50,84.37,91.05,72828600,38.49
1999-10-01,90.19,95.25,85.06,92.56,54369300,39.13
1999-09-01,92.31,97.87,88.81,90.56,48796600,38.29
1999-08-02,85.69,96.37,81.62,92.56,63403500,39.13
1999-07-01,89.87,100.75,85.50,85.81,56944200,36.28
1999-06-01,80.62,90.25,76.12,90.19,42956400,38.13
1999-05-03,81.44,81.81,75.50,80.69,58290200,34.11
1999-04-01,91.25,95.62,79.87,81.31,58198000,34.38
1999-03-01,149.56,180.38,87.87,89.62,70789600,37.89
1999-02-01,175.44,175.94,143.98,150.13,87282900,31.74
1999-01-04,139.61,175.13,136.00,175.00,81688900,36.99
1998-12-01,120.25,144.00,120.12,138.69,51152500,29.32
1998-11-02,106.37,130.27,104.75,122.00,61680300,25.79
1998-10-01,108.06,110.12,87.75,105.87,77380500,22.38
1998-09-01,95.25,114.62,94.50,110.06,58628500,23.27
1998-08-03,109.12,113.75,95.75,95.94,70606100,20.28
1998-07-01,109.12,119.62,105.37,109.94,58318300,23.24
1998-06-01,83.87,108.56,83.12,108.37,59552800,22.91
1998-05-01,90.19,91.00,81.87,84.81,56473600,17.93
1998-04-01,89.81,99.12,86.62,90.12,51116700,19.05
1998-03-02,85.87,90.94,79.25,89.50,51732000,18.92
1998-02-02,151.75,160.06,79.37,84.75,76292100,17.92
1998-01-02,129.63,150.13,124.37,149.19,76808900,15.77
1997-12-01,141.94,146.63,118.00,129.25,67425900,13.66
1997-11-03,131.63,142.25,129.00,141.50,49124300,14.96
1997-10-01,132.50,139.63,123.50,130.00,68703800,13.74
1997-09-02,133.13,140.25,130.63,132.31,57024100,13.98
1997-08-01,141.38,144.63,131.00,132.19,57472700,13.97
1997-07-01,126.44,150.75,123.25,141.38,78917500,14.94
1997-06-02,125.00,134.94,118.25,126.37,48022600,13.36
1997-05-01,122.00,129.06,114.87,124.00,65770100,13.11
1997-04-01,90.12,122.62,89.75,121.50,90802500,12.84
1997-03-03,97.00,101.00,87.62,91.69,78573200,9.69
1997-02-03,102.62,103.50,94.00,97.50,72398100,10.31
1997-01-02,83.12,103.25,80.75,102.00,75104400,10.78
1996-12-02,157.50,159.50,76.37,82.62,71113800,8.73
1996-11-01,137.25,158.00,136.50,156.88,81906000,8.29
1996-10-01,131.75,139.13,130.88,137.25,59898400,7.25
1996-09-03,122.00,138.63,120.62,131.88,69450400,6.97
1996-08-01,117.87,126.12,117.37,122.50,53270500,6.47
1996-07-01,120.25,122.87,107.50,117.87,101509800,6.23
1996-06-03,118.75,125.87,116.25,120.12,66605100,6.35
1996-05-01,112.87,120.00,109.62,118.75,56708500,6.28
1996-04-01,103.14,113.87,99.62,113.25,65463000,5.99
1996-03-01,98.37,107.06,94.62,103.12,83450400,5.45
1996-02-01,92.25,103.62,92.00,98.69,84932600,5.22
1996-01-02,87.87,93.25,79.87,92.50,96608600,4.89
1995-12-01,87.12,94.75,85.12,87.75,85297800,4.64
1995-11-01,100.12,101.00,84.25,87.12,93544300,4.60
1995-10-02,90.50,103.37,80.37,100.00,105458800,5.28
1995-09-01,91.75,97.87,83.37,90.50,85874400,4.78
1995-08-01,90.75,100.75,87.00,92.50,94326500,4.89
1995-07-03,90.87,109.25,88.50,90.50,121614700,4.78
1995-06-01,85.00,92.37,81.75,90.37,60169600,4.78
1995-05-01,81.87,89.50,78.87,84.69,66036200,4.48
1995-04-03,71.00,82.12,68.75,81.75,73246000,4.32
1995-03-01,63.13,74.12,62.75,71.12,64295800,3.76
1995-02-01,59.38,63.25,58.38,63.00,55326400,3.33
1995-01-03,61.50,65.25,58.25,59.38,55788300,3.14
1994-12-01,62.63,64.25,58.75,61.13,51430400,3.23
1994-11-01,62.75,65.12,60.75,62.88,50724800,3.32
1994-10-03,56.13,63.75,53.88,63.00,60337500,3.33
1994-09-01,57.00,58.25,54.88,56.13,47593200,2.97
1994-08-01,51.63,59.25,51.50,58.13,58781100,3.07
1994-07-01,51.63,51.75,46.88,51.50,79751500,2.72
1994-06-01,53.50,54.63,49.25,51.63,112728200,2.73
1994-05-02,92.75,99.25,48.50,53.75,81232900,2.84
1994-04-04,82.50,95.25,82.00,92.50,101490600,2.44
1994-03-01,83.00,89.25,79.75,84.75,63035100,2.24
1994-02-01,85.00,85.75,78.00,82.50,74958600,2.18
1994-01-03,80.50,87.00,79.25,85.12,61724600,2.25
1993-12-01,80.50,86.50,79.25,80.62,43535400,2.13
1993-11-01,80.25,83.00,76.00,80.00,48127000,2.11
1993-10-01,82.50,85.75,78.00,80.12,67171200,2.12
1993-09-01,75.25,84.25,73.25,82.50,57183800,2.18
1993-08-02,74.75,79.25,70.37,75.12,89295500,1.98
1993-07-01,88.25,88.50,72.00,74.00,106730900,1.96
1993-06-01,93.00,98.00,86.75,88.00,57846900,2.33
1993-05-03,85.50,95.50,84.50,92.62,66979200,2.45
1993-04-01,92.50,94.75,79.75,85.50,64069400,2.26
1993-03-01,83.75,94.25,81.25,92.50,59896400,2.44
1993-02-01,86.25,90.25,76.75,83.37,83061800,2.20
1993-01-04,85.00,94.00,84.50,86.50,72537700,2.29
1992-12-01,92.75,94.00,85.25,85.37,52917200,2.26
1992-11-02,89.00,95.00,87.25,93.12,63120600,2.46
1992-10-01,80.00,90.25,75.75,88.75,53259900,2.35
1992-09-01,74.00,82.00,73.25,80.50,50607800,2.13
1992-08-03,72.75,75.00,68.00,74.50,43570200,1.97
1992-07-01,70.25,74.75,65.50,72.75,58204900,1.92
1992-06-01,120.50,124.50,65.75,70.00,75038100,1.85
1992-05-01,110.50,122.25,109.25,121.00,57956800,2.13
1992-04-01,117.25,129.25,107.00,110.25,106419800,1.94
1992-03-02,123.75,130.25,116.75,118.50,58679800,2.09
1992-02-03,118.25,129.00,113.00,123.50,76436200,2.18
1992-01-02,110.75,133.25,109.50,120.25,69039400,2.12
1991-12-02,96.25,112.00,96.00,111.25,40441200,1.96
1991-11-01,93.50,101.75,90.75,97.25,45387300,1.71
1991-10-01,89.00,95.25,86.25,93.87,47956400,1.65
