Team (American),Average Runs (American),Team (National),Average Runs (National)
Royals,11.4,Rockies,10.5
White Sox,10.5,Phillies,10.3
Rangers,10.4,Cincinnati,10
Red Sox,10.3,Diamondbacks,10
Orioles,10.2,Braves,9.7
Blue Jays,10,Dodgers,9.7
Yankees,9.9,Cubs,9.6
Indians,9.9,Giants,9.5
Devil Rays,9.7,Nationals,9.5
Tigers,9.1,Brewers,9.4
Twins,9,Pirates,9.1
Mariners,9,Marlins,9
Athletics,8.9,Cardinals,9
Angels,8.8,Astros,8.9
,,Mets,8.9
,,Padres,7.9
