,ewc,ewa,ige
0,22.95,16.1,31.76
1,22.78,15.98,31.32
2,22.94,16.1,31.81
3,23.05,16.31,32.26
4,23.32,16.29,32.97
5,23.12,16.32,32.54
6,23.01,16.27,32.42
7,23.33,16.56,32.82
8,23.23,16.63,32.69
9,23.54,16.96,33.16
10,23.56,16.87,33.52
11,23.17,16.86,33.0
12,22.76,16.3,31.86
13,22.2,15.79,30.92
14,22.29,16.08,30.98
15,21.79,15.39,30.14
16,21.47,15.44,29.51
17,21.55,15.31,29.68
18,21.35,14.81,29.36
19,21.37,15.09,29.51
20,21.15,14.84,29.11
21,21.99,15.11,30.23
22,22.2,15.25,30.48
23,22.1,15.15,30.01
24,22.38,14.96,30.72
25,22.38,14.87,30.79
26,22.6,15.11,31.37
27,22.09,14.88,30.25
28,21.86,14.52,30.03
29,21.44,14.36,28.96
30,21.04,14.08,28.97
31,21.32,14.33,28.85
32,21.02,14.19,27.95
33,20.23,13.34,27.06
34,20.41,13.75,27.72
35,21.0,14.29,28.97
36,20.78,14.11,28.77
37,20.32,13.86,27.76
38,20.29,13.85,27.66
39,20.82,14.23,28.31
40,20.66,14.19,28.46
41,20.78,14.18,29.04
42,21.09,14.22,29.4
43,20.95,14.11,29.39
44,20.93,14.05,29.75
45,21.63,14.86,30.86
46,21.83,14.91,31.0
47,22.07,15.05,31.52
48,21.89,14.79,31.43
49,21.82,15.03,31.39
50,21.82,15.34,31.04
51,21.64,15.32,30.93
52,21.8,15.34,31.36
53,21.67,15.05,31.28
54,21.38,14.87,30.87
55,21.41,14.45,31.19
56,21.0,14.41,30.2
57,21.06,14.32,30.22
58,21.42,14.66,30.63
59,21.09,14.59,29.76
60,20.93,14.48,29.21
61,21.29,14.91,30.12
62,21.56,14.88,30.76
63,21.9,14.78,31.33
64,21.6,15.06,31.18
65,21.83,15.29,31.22
66,21.86,15.12,31.75
67,21.98,15.04,31.86
68,22.24,14.99,32.02
69,22.23,14.95,31.8
70,22.16,14.97,31.46
71,22.19,14.88,31.65
72,22.41,15.05,31.52
73,22.43,14.94,31.74
74,22.26,15.01,31.55
75,22.28,14.86,31.38
76,22.01,14.91,30.78
77,22.36,15.21,31.04
78,22.53,15.27,31.0
79,22.45,15.33,30.76
80,22.4,15.32,31.04
81,22.82,15.55,31.43
82,23.01,15.42,31.61
83,23.04,15.33,31.17
84,22.85,15.03,31.3
85,22.87,15.11,31.5
86,22.94,15.25,31.08
87,22.88,15.56,30.92
88,22.82,15.56,30.52
89,22.83,15.7,30.47
90,23.05,15.81,30.87
91,23.03,16.17,31.16
92,22.63,15.72,30.35
93,22.32,15.5,30.07
94,22.08,15.47,29.44
