Asse$$,SqFt
61055,1610
56300,1652
52290,1677
60125,1708
53850,1818
58040,1860
66180,1866
56200,1890
62000,2000
66000,2040
54000,2070
62000,2070
64000,2150
59000,2220
62000,2250
71000,2240
61000,2440
72000,2500
