Power,Cost
525,60
630,60
630,80
650,80
700,80
650,90
700,80
750,90
675,80
850,80
850,90
480,60
570,80
570,75
550,75
525,40
550,80
500,60
570,40
640,41
640,70
540,60
525,60
800,80
900,75
850,100
770,60
800,75
770,70
900,90
850,90
900,60
630,40
